Mild,Severe
0.700116388,0.945564993
0.699560219,0.945239247
0.699001827,0.944910695
0.698441208,0.944579319
0.697878361,0.944245102
0.697313284,0.943908026
0.696745975,0.943568074
0.696176433,0.943225229
0.695604655,0.942879474
0.69503064,0.94253079
0.694454387,0.942179161
0.693875894,0.94182457
0.693295159,0.941466999
0.692712182,0.941106431
0.69212696,0.94074285
0.691539493,0.940376238
0.690949779,0.940006577
0.690357818,0.939633852
0.689763607,0.939258044
0.689167146,0.938879138
0.688568435,0.938497115
0.687967471,0.93811196
0.687364255,0.937723656
0.686758785,0.937332186
0.686151061,0.936937532
0.685541082,0.936539679
0.684928847,0.93613861
0.684314356,0.935734309
0.683697608,0.935326758
0.683078603,0.934915943
0.682457341,0.934501845
0.681833821,0.93408445
0.681208043,0.93366374
0.680580006,0.9332397
0.679949712,0.932812315
0.679317159,0.932381567
0.678682347,0.931947441
0.678045277,0.931509921
0.67740595,0.931068992
0.676764364,0.930624637
0.67612052,0.930176842
0.675474419,0.929725591
0.674826061,0.929270869
0.674175447,0.92881266
0.673522577,0.92835095
0.672867451,0.927885722
0.672210071,0.927416963
0.671550437,0.926944658
0.670888549,0.926468791
0.670224409,0.925989348
0.669558018,0.925506315
0.668889377,0.925019677
0.668218486,0.92452942
0.667545347,0.92403553
0.666869961,0.923537993
0.66619233,0.923036794
0.665512454,0.922531921
0.664830335,0.922023359
0.664145975,0.921511094
0.663459375,0.920995115
0.662770536,0.920475406
0.662079461,0.919951956
0.661386151,0.919424751
0.660690608,0.918893778
0.659992834,0.918359024
0.659292831,0.917820478
0.658590601,0.917278126
0.657886145,0.916731957
0.657179467,0.916181958
0.656470568,0.915628117
0.655759451,0.915070423
0.655046118,0.914508863
0.654330572,0.913943427
0.653612814,0.913374104
0.652892848,0.912800881
0.652170677,0.912223748
0.651446303,0.911642695
0.650719729,0.91105771
0.649990957,0.910468784
0.649259991,0.909875905
0.648526834,0.909279065
0.647791489,0.908678252
0.647053959,0.908073458
0.646314248,0.907464672
0.645572358,0.906851886
0.644828292,0.90623509
0.644082056,0.905614276
0.643333651,0.904989434
0.642583082,0.904360556
0.641830353,0.903727634
0.641075466,0.903090659
0.640318427,0.902449624
0.639559238,0.901804521
0.638797904,0.901155342
0.638034428,0.90050208
0.637268816,0.899844728
0.636501071,0.899183279
0.635731197,0.898517726
0.634959199,0.897848064
0.63418508,0.897174285
0.633408847,0.896496384
0.632630503,0.895814354
0.631850052,0.895128191
0.6310675,0.894437889
0.630282851,0.893743443
0.62949611,0.893044848
0.628707283,0.8923421
0.627916373,0.891635194
0.627123386,0.890924126
0.626328328,0.890208891
0.625531203,0.889489488
0.624732017,0.888765911
0.623930775,0.888038158
0.623127482,0.887306226
0.622322144,0.886570113
0.621514767,0.885829815
0.620705356,0.885085331
0.619893918,0.884336659
0.619080456,0.883583797
0.618264979,0.882826744
0.617447491,0.882065499
0.616627999,0.88130006
0.615806508,0.880530428
0.614983025,0.879756602
0.614157557,0.878978581
0.613330108,0.878196367
0.612500687,0.877409959
0.611669298,0.876619358
0.610835949,0.875824566
0.610000647,0.875025583
0.609163397,0.874222412
0.608324208,0.873415053
0.607483084,0.87260351
0.606640034,0.871787785
0.605795065,0.870967879
0.604948182,0.870143797
0.604099394,0.869315542
0.603248708,0.868483116
0.602396131,0.867646525
0.601541669,0.866805771
0.600685332,0.86596086
0.599827125,0.865111796
0.598967056,0.864258584
0.598105134,0.86340123
0.597241365,0.862539738
0.596375758,0.861674116
0.59550832,0.860804368
0.594639059,0.859930501
0.593767983,0.859052523
0.5928951,0.85817044
0.592020418,0.85728426
0.591143945,0.85639399
0.590265689,0.855499638
0.58938566,0.854601212
0.588503864,0.853698721
0.587620311,0.852792174
0.586735009,0.85188158
0.585847966,0.850966949
0.584959191,0.850048289
0.584068693,0.849125612
0.58317648,0.848198927
0.582282562,0.847268245
0.581386947,0.846333577
0.580489644,0.845394935
0.579590662,0.84445233
0.57869001,0.843505773
0.577787698,0.842555278
0.576883734,0.841600856
0.575978128,0.84064252
0.575070889,0.839680284
0.574162027,0.838714161
0.57325155,0.837744164
0.572339469,0.836770307
0.571425793,0.835792606
0.570510532,0.834811073
0.569593696,0.833825726
0.568675293,0.832836577
0.567755335,0.831843644
0.566833831,0.830846942
0.56591079,0.829846487
0.564986224,0.828842296
0.564060141,0.827834385
0.563132553,0.826822772
0.562203469,0.825807473
0.561272899,0.824788506
0.560340855,0.82376589
0.559407346,0.822739643
0.558472382,0.821709782
0.557535975,0.820676328
0.556598135,0.819639299
0.555658872,0.818598714
0.554718197,0.817554594
0.553776121,0.816506959
0.552832654,0.815455828
0.551887808,0.814401223
0.550941593,0.813343164
0.54999402,0.812281672
0.549045101,0.81121677
0.548094846,0.810148478
0.547143266,0.80907682
0.546190373,0.808001817
0.545236178,0.806923492
0.544280692,0.805841868
0.543323926,0.804756968
0.542365892,0.803668816
0.541406601,0.802577435
0.540446065,0.80148285
0.539484295,0.800385085
0.538521303,0.799284165
0.5375571,0.798180114
0.536591698,0.797072958
0.535625109,0.795962722
0.534657345,0.794849432
0.533688417,0.793733114
0.532718338,0.792613794
0.531747119,0.791491499
0.530774772,0.790366255
0.529801309,0.78923809
0.528826742,0.78810703
0.527851084,0.786973104
0.526874346,0.785836339
0.525896541,0.784696763
0.524917681,0.783554405
0.523937778,0.782409294
0.522956845,0.781261457
0.521974894,0.780110924
0.520991937,0.778957725
0.520007987,0.777801889
0.519023056,0.776643445
0.518037157,0.775482425
0.517050302,0.774318857
0.516062505,0.773152773
0.515073777,0.771984203
0.514084132,0.770813179
0.513093581,0.76963973
0.512102139,0.76846389
0.511109817,0.767285689
0.510116629,0.76610516
0.509122587,0.764922333
0.508127705,0.763737243
0.507131994,0.76254992
0.506135469,0.761360398
0.505138143,0.76016871
0.504140027,0.758974888
0.503141137,0.757778966
0.502141483,0.756580978
0.501141081,0.755380956
0.500139942,0.754178936
0.49913808,0.752974951
0.498135509,0.751769034
0.497132241,0.750561222
0.496128291,0.749351547
0.49512367,0.748140045
0.494118393,0.746926752
0.493112474,0.745711701
0.492105924,0.744494928
0.491098759,0.743276469
0.490090991,0.742056359
0.489082633,0.740834634
0.4880737,0.739611329
0.487064205,0.738386482
0.486054161,0.737160127
0.485043583,0.735932302
0.484032483,0.734703042
0.483020875,0.733472385
0.482008773,0.732240367
0.480996191,0.731007025
0.479983143,0.729772396
0.478969641,0.728536516
0.4779557,0.727299424
0.476941334,0.726061157
0.475926556,0.724821751
0.47491138,0.723581245
0.47389582,0.722339677
0.472879889,0.721097083
0.471863603,0.719853502
0.470846973,0.718608972
0.469830015,0.717363531
0.468812743,0.716117216
0.467795169,0.714870067
0.466777308,0.713622121
0.465759175,0.712373418
0.464740782,0.711123994
0.463722144,0.709873889
0.462703274,0.708623142
0.461684188,0.707371791
0.460664898,0.706119874
0.459645418,0.704867431
0.458625764,0.7036145
0.457605948,0.70236112
0.456585985,0.70110733
0.455565888,0.69985317
0.454545672,0.698598677
0.453525351,0.69734389
0.452504939,0.69608885
0.451484449,0.694833595
0.450463896,0.693578164
0.449443294,0.692322596
0.448422657,0.69106693
0.447401999,0.689811205
0.446381334,0.688555461
0.445360676,0.687299737
