"CENSUS_YEAR","GEO_CODE (POR)","GEO_LEVEL","GEO_NAME","GNR","DATA_QUALITY_FLAG","CSD_TYPE_NAME","ALT_GEO_CODE","DIM: Age (in single years) and average age (127)","Member ID: Age (in single years) and average age (127)","Notes: Age (in single years) and average age (127)","Dim: Sex (3): Member ID: [1]: Total - Sex","Dim: Sex (3): Member ID: [2]: Male","Dim: Sex (3): Member ID: [3]: Female"
2016,"35","1","Ontario",3.7,"20000"," ","35","0 to 14 years",2,,2207975,1131615,1076355
2016,"35","1","Ontario",3.7,"20000"," ","35","0 to 4 years",3,,697360,357300,340060
2016,"35","1","Ontario",3.7,"20000"," ","35","5 to 9 years",9,,756085,387320,368765
2016,"35","1","Ontario",3.7,"20000"," ","35","10 to 14 years",15,,754530,386995,367530
2016,"35","1","Ontario",3.7,"20000"," ","35","15 to 64 years",21,,8988870,4412120,4576750
2016,"35","1","Ontario",3.7,"20000"," ","35","15 to 19 years",22,,811665,416730,394940
2016,"35","1","Ontario",3.7,"20000"," ","35","20 to 24 years",28,,894390,457820,436570
2016,"35","1","Ontario",3.7,"20000"," ","35","25 to 29 years",34,,874350,436340,438005
2016,"35","1","Ontario",3.7,"20000"," ","35","30 to 34 years",40,,864765,420800,443970
2016,"35","1","Ontario",3.7,"20000"," ","35","35 to 39 years",46,,842485,402900,439585
2016,"35","1","Ontario",3.7,"20000"," ","35","40 to 44 years",52,,871875,418465,453415
2016,"35","1","Ontario",3.7,"20000"," ","35","45 to 49 years",58,,937385,453110,484275
2016,"35","1","Ontario",3.7,"20000"," ","35","50 to 54 years",64,,1056345,517170,539175
2016,"35","1","Ontario",3.7,"20000"," ","35","55 to 59 years",70,,989460,482280,507180
2016,"35","1","Ontario",3.7,"20000"," ","35","60 to 64 years",76,,846145,406500,439645
2016,"35","1","Ontario",3.7,"20000"," ","35","65 years and over",82,,2251655,1015655,1236000
2016,"35","1","Ontario",3.7,"20000"," ","35","65 to 69 years",83,,737745,352475,385270
2016,"35","1","Ontario",3.7,"20000"," ","35","70 to 74 years",89,,528640,250460,278185
2016,"35","1","Ontario",3.7,"20000"," ","35","75 to 79 years",95,,393005,179810,213195
2016,"35","1","Ontario",3.7,"20000"," ","35","80 to 84 years",101,,291185,126825,164360
2016,"35","1","Ontario",3.7,"20000"," ","35","85 years and over",107,,301075,106090,194985
2016,"35","1","Ontario",3.7,"20000"," ","35","85 to 89 years",108,,188470,73045,115420
2016,"35","1","Ontario",3.7,"20000"," ","35","90 to 94 years",114,,88385,27400,60990
2016,"35","1","Ontario",3.7,"20000"," ","35","95 to 99 years",120,,21210,5150,16055
2016,"35","1","Ontario",3.7,"20000"," ","35","100 years and over",126,,3005,490,2520
