Geo Code,Geo Name,Line Number
"01","Canada",2
"10","Newfoundland and Labrador",129
"1001","Division No. 1",256
"1001105","Portugal Cove South, T",383
"10011050734","10010734",510
"1001113","Trepassey, T",637
"10011130735","10010735",764
"10011130736","10010736",891
"1001120","St. Shott's, T",1018
"10011200733","10010733",1145
"1001124","Division No. 1, Subd. U, SNO",1272
"10011240737","10010737",1399
"10011240741","10010741",1526
"10011240743","10010743",1653
"1001126","Cape Broyle, T",1780
"10011260742","10010742",1907
"1001131","Renews-Cappahayden, T",2034
"10011310740","10010740",2161
"1001136","Fermeuse, T",2288
"10011360738","10010738",2415
"1001140","Port Kirwan, T",2542
"10011400739","10010739",2669
"1001144","Aquaforte, T",2796
"10011440745","10010745",2923
"1001149","Ferryland, T",3050
"10011490744","10010744",3177
"1001155","Division No. 1, Subd. W, SNO",3304
"10011550724","10010724",3431
"1001169","St. Vincent's-St. Stephen's-Peter's River, T",3558
"10011690731","10010731",3685
"1001174","Gaskiers-Point La Haye, T",3812
"10011740730","10010730",3939
"1001178","St. Mary's, T",4066
"10011780729","10010729",4193
"1001181","Riverhead, T",4320
"10011810728","10010728",4447
"1001186","Admirals Beach, T",4574
"10011860725","10010725",4701
"1001192","St. Joseph's, T",4828
"10011920727","10010727",4955
"1001197","Mount Carmel-Mitchells Brook-St. Catherine's, T",5082
"10011970726","10010726",5209
"1001203","Division No. 1, Subd. X, SNO",5336
"10012030722","10010722",5463
"1001207","Colinet, T",5590
"10012070723","10010723",5717
"1001214","Division No. 1, Subd. C, SNO",5844
"10012140746","10010746",5971
"1001219","Branch, T",6098
"10012190747","10010747",6225
"1001225","Point Lance, T",6352
"10012250749","10010749",6479
"1001228","St. Bride's, T",6606
"10012280748","10010748",6733
"1001234","Division No. 1, Subd. B, SNO",6860
"10012340750","10010750",6987
"1001240","Placentia, T",7114
"10012400753","10010753",7241
"10012400754","10010754",7368
"10012400755","10010755",7495
"10012400756","10010756",7622
"10012400757","10010757",7749
"10012400758","10010758",7876
"10012400759","10010759",8003
"10012400760","10010760",8130
"10012400761","10010761",8257
"1001254","Fox Harbour, T",8384
"10012540752","10010752",8511
"1001259","Division No. 1, Subd. A, SNO",8638
"10012590709","10010709",8765
"10012590714","10010714",8892
"1001263","Long Harbour-Mount Arlington Heights, T",9019
"10012630751","10010751",9146
"1001267","Southern Harbour, T",9273
"10012670716","10010716",9400
"1001270","Arnold's Cove, T",9527
"10012700712","10010712",9654
"10012700713","10010713",9781
"1001274","Come By Chance, T",9908
"10012740711","10010711",10035
"1001277","Sunnyside, T",10162
"10012770710","10010710",10289
"1001281","Chance Cove, T",10416
"10012810715","10010715",10543
"1001285","Norman's Cove-Long Cove, T",10670
"10012850717","10010717",10797
"1001289","Chapel Arm, T",10924
"10012890718","10010718",11051
"1001293","Division No. 1, Subd. Y, SNO",11178
"10012930694","10010694",11305
"10012930719","10010719",11432
"1001298","Whitbourne, T",11559
"10012980720","10010720",11686
"10012980721","10010721",11813
"1001304","Division No. 1, Subd. E, SNO",11940
"10013040695","10010695",12067
"10013040696","10010696",12194
"10013040697","10010697",12321
"10013040698","10010698",12448
"10013040699","10010699",12575
"10013040700","10010700",12702
"1001308","Whiteway, T",12829
"10013080701","10010701",12956
"1001312","Heart's Delight-Islington, T",13083
"10013120702","10010702",13210
"1001316","Heart's Desire, T",13337
"10013160703","10010703",13464
"1001321","Division No. 1, Subd. F, SNO",13591
"10013210706","10010706",13718
"1001325","Heart's Content, T",13845
"10013250704","10010704",13972
"1001328","New Perlican, T",14099
"10013280705","10010705",14226
"1001332","Winterton, T",14353
"10013320707","10010707",14480
"1001335","Hant's Harbour, T",14607
"10013350708","10010708",14734
"1001339","Division No. 1, Subd. G, SNO",14861
"10013390497","10010497",14988
"10013390499","10010499",15115
"10013390500","10010500",15242
"10013390501","10010501",15369
"10013390503","10010503",15496
"1001343","Old Perlican, T",15623
"10013430498","10010498",15750
"1001347","Bay de Verde, T",15877
"10013470496","10010496",16004
"1001352","Small Point-Adam's Cove-Blackhead-Broad Cove, T",16131
"10013520502","10010502",16258
"1001357","Division No. 1, Subd. H, SNO",16385
"10013570504","10010504",16512
"1001361","Salmon Cove, T",16639
"10013610505","10010505",16766
"1001365","Victoria, T",16893
"10013650506","10010506",17020
"10013650507","10010507",17147
"10013650508","10010508",17274
"10013650509","10010509",17401
"1001370","Carbonear, T",17528
"10013700510","10010510",17655
"10013700511","10010511",17782
"10013700512","10010512",17909
"10013700513","10010513",18036
"10013700514","10010514",18163
"10013700515","10010515",18290
"10013700516","10010516",18417
"10013700517","10010517",18544
"10013700518","10010518",18671
"10013700519","10010519",18798
"1001374","Division No. 1, Subd. I, SNO",18925
