"CENSUS_YEAR","GEO_CODE (POR)","GEO_LEVEL","GEO_NAME","GNR","DATA_QUALITY_FLAG","CSD_TYPE_NAME","ALT_GEO_CODE","DIM: Age (in single years) and average age (127)","Member ID: Age (in single years) and average age (127)","Notes: Age (in single years) and average age (127)","Dim: Sex (3): Member ID: [1]: Total - Sex","Dim: Sex (3): Member ID: [2]: Male","Dim: Sex (3): Member ID: [3]: Female"
2016,"3501","2","Stormont, Dundas and Glengarry",4.5,"00000"," ","3501","0 to 14 years",2,,17765,9080,8680
2016,"3501","2","Stormont, Dundas and Glengarry",4.5,"00000"," ","3501","0 to 4 years",3,,5740,2945,2795
2016,"3501","2","Stormont, Dundas and Glengarry",4.5,"00000"," ","3501","5 to 9 years",9,,6135,3135,3000
2016,"3501","2","Stormont, Dundas and Glengarry",4.5,"00000"," ","3501","10 to 14 years",15,,5890,3005,2885
2016,"3501","2","Stormont, Dundas and Glengarry",4.5,"00000"," ","3501","15 to 64 years",21,,70985,35105,35875
2016,"3501","2","Stormont, Dundas and Glengarry",4.5,"00000"," ","3501","15 to 19 years",22,,6180,3235,2945
2016,"3501","2","Stormont, Dundas and Glengarry",4.5,"00000"," ","3501","20 to 24 years",28,,6360,3260,3105
2016,"3501","2","Stormont, Dundas and Glengarry",4.5,"00000"," ","3501","25 to 29 years",34,,5890,2885,3000
2016,"3501","2","Stormont, Dundas and Glengarry",4.5,"00000"," ","3501","30 to 34 years",40,,5780,2840,2945
2016,"3501","2","Stormont, Dundas and Glengarry",4.5,"00000"," ","3501","35 to 39 years",46,,5715,2780,2940
2016,"3501","2","Stormont, Dundas and Glengarry",4.5,"00000"," ","3501","40 to 44 years",52,,6210,2990,3215
2016,"3501","2","Stormont, Dundas and Glengarry",4.5,"00000"," ","3501","45 to 49 years",58,,6965,3405,3565
2016,"3501","2","Stormont, Dundas and Glengarry",4.5,"00000"," ","3501","50 to 54 years",64,,9430,4635,4795
2016,"3501","2","Stormont, Dundas and Glengarry",4.5,"00000"," ","3501","55 to 59 years",70,,9750,4835,4910
2016,"3501","2","Stormont, Dundas and Glengarry",4.5,"00000"," ","3501","60 to 64 years",76,,8700,4240,4460
2016,"3501","2","Stormont, Dundas and Glengarry",4.5,"00000"," ","3501","65 years and over",82,,24685,11380,13305
2016,"3501","2","Stormont, Dundas and Glengarry",4.5,"00000"," ","3501","65 to 69 years",83,,8135,3990,4145
2016,"3501","2","Stormont, Dundas and Glengarry",4.5,"00000"," ","3501","70 to 74 years",89,,5885,2870,3015
2016,"3501","2","Stormont, Dundas and Glengarry",4.5,"00000"," ","3501","75 to 79 years",95,,4340,2055,2280
2016,"3501","2","Stormont, Dundas and Glengarry",4.5,"00000"," ","3501","80 to 84 years",101,,3085,1355,1730
2016,"3501","2","Stormont, Dundas and Glengarry",4.5,"00000"," ","3501","85 years and over",107,,3245,1105,2135
2016,"3501","2","Stormont, Dundas and Glengarry",4.5,"00000"," ","3501","85 to 89 years",108,,1965,725,1235
2016,"3501","2","Stormont, Dundas and Glengarry",4.5,"00000"," ","3501","90 to 94 years",114,,980,315,665
2016,"3501","2","Stormont, Dundas and Glengarry",4.5,"00000"," ","3501","95 to 99 years",120,,265,65,205
2016,"3501","2","Stormont, Dundas and Glengarry",4.5,"00000"," ","3501","100 years and over",126,,30,0,30
2016,"3502","2","Prescott and Russell",3.9,"00000"," ","3502","0 to 14 years",2,,15000,7625,7375
2016,"3502","2","Prescott and Russell",3.9,"00000"," ","3502","0 to 4 years",3,,4840,2405,2435
2016,"3502","2","Prescott and Russell",3.9,"00000"," ","3502","5 to 9 years",9,,5170,2640,2530
2016,"3502","2","Prescott and Russell",3.9,"00000"," ","3502","10 to 14 years",15,,4990,2580,2410
2016,"3502","2","Prescott and Russell",3.9,"00000"," ","3502","15 to 64 years",21,,58850,29240,29615
2016,"3502","2","Prescott and Russell",3.9,"00000"," ","3502","15 to 19 years",22,,5095,2625,2470
2016,"3502","2","Prescott and Russell",3.9,"00000"," ","3502","20 to 24 years",28,,4730,2455,2280
2016,"3502","2","Prescott and Russell",3.9,"00000"," ","3502","25 to 29 years",34,,4805,2370,2435
2016,"3502","2","Prescott and Russell",3.9,"00000"," ","3502","30 to 34 years",40,,5035,2510,2525
2016,"3502","2","Prescott and Russell",3.9,"00000"," ","3502","35 to 39 years",46,,5220,2525,2695
2016,"3502","2","Prescott and Russell",3.9,"00000"," ","3502","40 to 44 years",52,,5615,2695,2920
2016,"3502","2","Prescott and Russell",3.9,"00000"," ","3502","45 to 49 years",58,,6195,3080,3115
2016,"3502","2","Prescott and Russell",3.9,"00000"," ","3502","50 to 54 years",64,,8020,4035,3985
2016,"3502","2","Prescott and Russell",3.9,"00000"," ","3502","55 to 59 years",70,,7600,3755,3850
2016,"3502","2","Prescott and Russell",3.9,"00000"," ","3502","60 to 64 years",76,,6535,3185,3350
2016,"3502","2","Prescott and Russell",3.9,"00000"," ","3502","65 years and over",82,,15480,7255,8225
2016,"3502","2","Prescott and Russell",3.9,"00000"," ","3502","65 to 69 years",83,,5415,2710,2705
2016,"3502","2","Prescott and Russell",3.9,"00000"," ","3502","70 to 74 years",89,,4055,1980,2075
2016,"3502","2","Prescott and Russell",3.9,"00000"," ","3502","75 to 79 years",95,,2545,1220,1325
2016,"3502","2","Prescott and Russell",3.9,"00000"," ","3502","80 to 84 years",101,,1735,795,945
2016,"3502","2","Prescott and Russell",3.9,"00000"," ","3502","85 years and over",107,,1730,555,1175
