"CENSUS_YEAR","GEO_CODE (POR)","GEO_LEVEL","GEO_NAME","GNR","DATA_QUALITY_FLAG","CSD_TYPE_NAME","ALT_GEO_CODE","DIM: Age (in single years) and average age (127)","Member ID: Age (in single years) and average age (127)","Notes: Age (in single years) and average age (127)","Dim: Sex (3): Member ID: [1]: Total - Sex","Dim: Sex (3): Member ID: [2]: Male","Dim: Sex (3): Member ID: [3]: Female"
2016,"3501005","3","South Glengarry, TP",3.9,"00000","TP","3501005","0 to 14 years",2,,1880,990,890
2016,"3501005","3","South Glengarry, TP",3.9,"00000","TP","3501005","0 to 4 years",3,,515,275,240
2016,"3501005","3","South Glengarry, TP",3.9,"00000","TP","3501005","5 to 9 years",9,,620,315,305
2016,"3501005","3","South Glengarry, TP",3.9,"00000","TP","3501005","10 to 14 years",15,,745,400,345
2016,"3501005","3","South Glengarry, TP",3.9,"00000","TP","3501005","15 to 64 years",21,,8365,4170,4195
2016,"3501005","3","South Glengarry, TP",3.9,"00000","TP","3501005","15 to 19 years",22,,810,445,365
2016,"3501005","3","South Glengarry, TP",3.9,"00000","TP","3501005","20 to 24 years",28,,660,345,315
2016,"3501005","3","South Glengarry, TP",3.9,"00000","TP","3501005","25 to 29 years",34,,525,260,260
2016,"3501005","3","South Glengarry, TP",3.9,"00000","TP","3501005","30 to 34 years",40,,505,235,265
2016,"3501005","3","South Glengarry, TP",3.9,"00000","TP","3501005","35 to 39 years",46,,645,300,340
2016,"3501005","3","South Glengarry, TP",3.9,"00000","TP","3501005","40 to 44 years",52,,750,365,385
2016,"3501005","3","South Glengarry, TP",3.9,"00000","TP","3501005","45 to 49 years",58,,825,410,420
2016,"3501005","3","South Glengarry, TP",3.9,"00000","TP","3501005","50 to 54 years",64,,1170,570,595
2016,"3501005","3","South Glengarry, TP",3.9,"00000","TP","3501005","55 to 59 years",70,,1275,635,640
2016,"3501005","3","South Glengarry, TP",3.9,"00000","TP","3501005","60 to 64 years",76,,1200,605,595
2016,"3501005","3","South Glengarry, TP",3.9,"00000","TP","3501005","65 years and over",82,,2905,1475,1435
2016,"3501005","3","South Glengarry, TP",3.9,"00000","TP","3501005","65 to 69 years",83,,1080,565,520
2016,"3501005","3","South Glengarry, TP",3.9,"00000","TP","3501005","70 to 74 years",89,,780,405,375
2016,"3501005","3","South Glengarry, TP",3.9,"00000","TP","3501005","75 to 79 years",95,,475,235,235
2016,"3501005","3","South Glengarry, TP",3.9,"00000","TP","3501005","80 to 84 years",101,,295,160,140
2016,"3501005","3","South Glengarry, TP",3.9,"00000","TP","3501005","85 years and over",107,,270,105,170
2016,"3501005","3","South Glengarry, TP",3.9,"00000","TP","3501005","85 to 89 years",108,,150,65,85
2016,"3501005","3","South Glengarry, TP",3.9,"00000","TP","3501005","90 to 94 years",114,,95,30,60
2016,"3501005","3","South Glengarry, TP",3.9,"00000","TP","3501005","95 to 99 years",120,,25,10,15
2016,"3501005","3","South Glengarry, TP",3.9,"00000","TP","3501005","100 years and over",126,,0,0,5
2016,"3501007","3","Akwesasne (Part) 59, IRI",34.1,"03300","IRI","3501007","0 to 14 years",2,,380,190,195
2016,"3501007","3","Akwesasne (Part) 59, IRI",34.1,"03300","IRI","3501007","0 to 4 years",3,,135,55,80
2016,"3501007","3","Akwesasne (Part) 59, IRI",34.1,"03300","IRI","3501007","5 to 9 years",9,,135,65,70
2016,"3501007","3","Akwesasne (Part) 59, IRI",34.1,"03300","IRI","3501007","10 to 14 years",15,,110,65,40
2016,"3501007","3","Akwesasne (Part) 59, IRI",34.1,"03300","IRI","3501007","15 to 64 years",21,,940,420,515
2016,"3501007","3","Akwesasne (Part) 59, IRI",34.1,"03300","IRI","3501007","15 to 19 years",22,,130,70,65
2016,"3501007","3","Akwesasne (Part) 59, IRI",34.1,"03300","IRI","3501007","20 to 24 years",28,,115,45,70
2016,"3501007","3","Akwesasne (Part) 59, IRI",34.1,"03300","IRI","3501007","25 to 29 years",34,,110,55,65
2016,"3501007","3","Akwesasne (Part) 59, IRI",34.1,"03300","IRI","3501007","30 to 34 years",40,,75,35,40
2016,"3501007","3","Akwesasne (Part) 59, IRI",34.1,"03300","IRI","3501007","35 to 39 years",46,,75,35,40
2016,"3501007","3","Akwesasne (Part) 59, IRI",34.1,"03300","IRI","3501007","40 to 44 years",52,,85,35,55
2016,"3501007","3","Akwesasne (Part) 59, IRI",34.1,"03300","IRI","3501007","45 to 49 years",58,,80,45,45
2016,"3501007","3","Akwesasne (Part) 59, IRI",34.1,"03300","IRI","3501007","50 to 54 years",64,,70,35,35
2016,"3501007","3","Akwesasne (Part) 59, IRI",34.1,"03300","IRI","3501007","55 to 59 years",70,,90,35,55
2016,"3501007","3","Akwesasne (Part) 59, IRI",34.1,"03300","IRI","3501007","60 to 64 years",76,,100,35,60
2016,"3501007","3","Akwesasne (Part) 59, IRI",34.1,"03300","IRI","3501007","65 years and over",82,,175,70,105
2016,"3501007","3","Akwesasne (Part) 59, IRI",34.1,"03300","IRI","3501007","65 to 69 years",83,,45,25,20
2016,"3501007","3","Akwesasne (Part) 59, IRI",34.1,"03300","IRI","3501007","70 to 74 years",89,,30,15,20
2016,"3501007","3","Akwesasne (Part) 59, IRI",34.1,"03300","IRI","3501007","75 to 79 years",95,,25,5,15
2016,"3501007","3","Akwesasne (Part) 59, IRI",34.1,"03300","IRI","3501007","80 to 84 years",101,,35,10,25
2016,"3501007","3","Akwesasne (Part) 59, IRI",34.1,"03300","IRI","3501007","85 years and over",107,,35,20,20
2016,"3501007","3","Akwesasne (Part) 59, IRI",34.1,"03300","IRI","3501007","85 to 89 years",108,,15,5,15
2016,"3501007","3","Akwesasne (Part) 59, IRI",34.1,"03300","IRI","3501007","90 to 94 years",114,,15,10,5
2016,"3501007","3","Akwesasne (Part) 59, IRI",34.1,"03300","IRI","3501007","95 to 99 years",120,,0,0,0
2016,"3501007","3","Akwesasne (Part) 59, IRI",34.1,"03300","IRI","3501007","100 years and over",126,,0,0,0
2016,"3501011","3","South Stormont, TP",3.2,"00000","TP","3501011","0 to 14 years",2,,2090,1130,965
2016,"3501011","3","South Stormont, TP",3.2,"00000","TP","3501011","0 to 4 years",3,,595,335,265
2016,"3501011","3","South Stormont, TP",3.2,"00000","TP","3501011","5 to 9 years",9,,770,405,365
2016,"3501011","3","South Stormont, TP",3.2,"00000","TP","3501011","10 to 14 years",15,,735,390,340
2016,"3501011","3","South Stormont, TP",3.2,"00000","TP","3501011","15 to 64 years",21,,8500,4285,4220
2016,"3501011","3","South Stormont, TP",3.2,"00000","TP","3501011","15 to 19 years",22,,745,400,345
2016,"3501011","3","South Stormont, TP",3.2,"00000","TP","3501011","20 to 24 years",28,,730,420,315
2016,"3501011","3","South Stormont, TP",3.2,"00000","TP","3501011","25 to 29 years",34,,505,250,255
2016,"3501011","3","South Stormont, TP",3.2,"00000","TP","3501011","30 to 34 years",40,,635,310,325
2016,"3501011","3","South Stormont, TP",3.2,"00000","TP","3501011","35 to 39 years",46,,780,390,390
2016,"3501011","3","South Stormont, TP",3.2,"00000","TP","3501011","40 to 44 years",52,,770,370,400
2016,"3501011","3","South Stormont, TP",3.2,"00000","TP","3501011","45 to 49 years",58,,895,430,465
2016,"3501011","3","South Stormont, TP",3.2,"00000","TP","3501011","50 to 54 years",64,,1150,570,575
2016,"3501011","3","South Stormont, TP",3.2,"00000","TP","3501011","55 to 59 years",70,,1195,595,605
2016,"3501011","3","South Stormont, TP",3.2,"00000","TP","3501011","60 to 64 years",76,,1090,545,550
2016,"3501011","3","South Stormont, TP",3.2,"00000","TP","3501011","65 years and over",82,,2515,1215,1300
2016,"3501011","3","South Stormont, TP",3.2,"00000","TP","3501011","65 to 69 years",83,,900,460,440
2016,"3501011","3","South Stormont, TP",3.2,"00000","TP","3501011","70 to 74 years",89,,645,320,320
2016,"3501011","3","South Stormont, TP",3.2,"00000","TP","3501011","75 to 79 years",95,,435,220,210
2016,"3501011","3","South Stormont, TP",3.2,"00000","TP","3501011","80 to 84 years",101,,290,135,155
2016,"3501011","3","South Stormont, TP",3.2,"00000","TP","3501011","85 years and over",107,,250,75,170
2016,"3501011","3","South Stormont, TP",3.2,"00000","TP","3501011","85 to 89 years",108,,160,55,100
2016,"3501011","3","South Stormont, TP",3.2,"00000","TP","3501011","90 to 94 years",114,,75,20,60
2016,"3501011","3","South Stormont, TP",3.2,"00000","TP","3501011","95 to 99 years",120,,15,0,15
2016,"3501011","3","South Stormont, TP",3.2,"00000","TP","3501011","100 years and over",126,,0,0,0
2016,"3501012","3","Cornwall, CY",4.2,"00000","CY","3501012","0 to 14 years",2,,7220,3625,3595
