AF,rural,others,0 to 4,0 to 4,1.84371
AF,rural,others,5 to 9,0 to 4,0.76101
AF,rural,others,10 to 14,0 to 4,0.22541
AF,rural,others,15 to 19,0 to 4,0.12264
AF,rural,others,20 to 24,0 to 4,0.16559
AF,rural,others,25 to 29,0 to 4,0.21921
AF,rural,others,30 to 34,0 to 4,0.16462
AF,rural,others,35 to 39,0 to 4,0.11662
AF,rural,others,40 to 44,0 to 4,0.06964
AF,rural,others,45 to 49,0 to 4,0.01729
AF,rural,others,50 to 54,0 to 4,0.021
AF,rural,others,55 to 59,0 to 4,0.02428
AF,rural,others,60 to 64,0 to 4,0.01537
AF,rural,others,65 to 69,0 to 4,0.01177
AF,rural,others,70 to 74,0 to 4,0.0039
AF,rural,others,75+,0 to 4,0.00439
AF,rural,others,0 to 4,5 to 9,0.80799
AF,rural,others,5 to 9,5 to 9,2.90185
AF,rural,others,10 to 14,5 to 9,1.21318
AF,rural,others,15 to 19,5 to 9,0.39082
AF,rural,others,20 to 24,5 to 9,0.21352
AF,rural,others,25 to 29,5 to 9,0.11536
AF,rural,others,30 to 34,5 to 9,0.11846
AF,rural,others,35 to 39,5 to 9,0.13916
AF,rural,others,40 to 44,5 to 9,0.09149
AF,rural,others,45 to 49,5 to 9,0.02877
AF,rural,others,50 to 54,5 to 9,0.0399
AF,rural,others,55 to 59,5 to 9,0.02188
AF,rural,others,60 to 64,5 to 9,0.01701
AF,rural,others,65 to 69,5 to 9,0.01575
AF,rural,others,70 to 74,5 to 9,0.00837
AF,rural,others,75+,5 to 9,0.00452
AF,rural,others,0 to 4,10 to 14,0.42355
AF,rural,others,5 to 9,10 to 14,1.0894
AF,rural,others,10 to 14,10 to 14,4.39586
AF,rural,others,15 to 19,10 to 14,1.86281
AF,rural,others,20 to 24,10 to 14,0.32609
AF,rural,others,25 to 29,10 to 14,0.10639
AF,rural,others,30 to 34,10 to 14,0.18432
AF,rural,others,35 to 39,10 to 14,0.10738
AF,rural,others,40 to 44,10 to 14,0.14683
AF,rural,others,45 to 49,10 to 14,0.03839
AF,rural,others,50 to 54,10 to 14,0.0464
AF,rural,others,55 to 59,10 to 14,0.02411
AF,rural,others,60 to 64,10 to 14,0.015
AF,rural,others,65 to 69,10 to 14,0.01025
AF,rural,others,70 to 74,10 to 14,0.01235
AF,rural,others,75+,10 to 14,0.00684
AF,rural,others,0 to 4,15 to 19,0.33008
AF,rural,others,5 to 9,15 to 19,0.31881
AF,rural,others,10 to 14,15 to 19,0.72488
AF,rural,others,15 to 19,15 to 19,5.89372
AF,rural,others,20 to 24,15 to 19,2.21535
AF,rural,others,25 to 29,15 to 19,0.43878
AF,rural,others,30 to 34,15 to 19,0.15501
AF,rural,others,35 to 39,15 to 19,0.08385
AF,rural,others,40 to 44,15 to 19,0.09947
AF,rural,others,45 to 49,15 to 19,0.07721
AF,rural,others,50 to 54,15 to 19,0.07275
AF,rural,others,55 to 59,15 to 19,0.03018
AF,rural,others,60 to 64,15 to 19,0.02513
AF,rural,others,65 to 69,15 to 19,0.01138
AF,rural,others,70 to 74,15 to 19,0.02431
AF,rural,others,75+,15 to 19,0.00398
AF,rural,others,0 to 4,20 to 24,0.57562
AF,rural,others,5 to 9,20 to 24,0.27853
AF,rural,others,10 to 14,20 to 24,0.49459
AF,rural,others,15 to 19,20 to 24,1.4719
AF,rural,others,20 to 24,20 to 24,3.69576
AF,rural,others,25 to 29,20 to 24,1.26454
AF,rural,others,30 to 34,20 to 24,0.42337
AF,rural,others,35 to 39,20 to 24,0.20605
AF,rural,others,40 to 44,20 to 24,0.1842
AF,rural,others,45 to 49,20 to 24,0.10949
AF,rural,others,50 to 54,20 to 24,0.13706
AF,rural,others,55 to 59,20 to 24,0.07796
AF,rural,others,60 to 64,20 to 24,0.05465
AF,rural,others,65 to 69,20 to 24,0.03428
AF,rural,others,70 to 74,20 to 24,0.02326
AF,rural,others,75+,20 to 24,0.009
AF,rural,others,0 to 4,25 to 29,0.93509
AF,rural,others,5 to 9,25 to 29,0.58799
AF,rural,others,10 to 14,25 to 29,0.44493
AF,rural,others,15 to 19,25 to 29,0.73231
