"date","icu_unvac","icu_partial_vac","icu_full_vac","hospitalnonicu_unvac","hospitalnonicu_partial_vac","hospitalnonicu_full_vac"
"2021-12-29",77,5,42,176,36,375
"2021-12-30",78,6,45,224,42,425
"2021-12-31",87,8,48,232,54,572
"2022-01-01",85,8,56,270,60,677
"2022-01-02",94,8,64,287,64,736
"2022-01-03",86,7,62,322,82,814
"2022-01-04",99,10,76,371,99,978
"2022-01-05",111,13,93,413,108,1107
"2022-01-06",121,28,87,437,96,1157
"2022-01-07",118,17,106,444,99,1331
"2022-01-08",122,18,138,457,115,1367
"2022-01-09",125,14,142,484,125,1488
"2022-01-10",126,15,153,549,136,1572
"2022-01-11",139,15,159,555,125,1643
"2022-01-12",159,19,169,674,163,1817
"2022-01-13",166,15,183,695,179,1897
"2022-01-14",170,19,187,683,167,2040
"2022-01-15",196,17,197,740,191,2059
"2022-01-16",194,24,192,730,175,2052
"2022-01-17",207,23,220,760,174,2119
"2022-01-18",198,20,212,760,187,2087
"2022-01-19",185,18,224,771,172,2037
"2022-01-20",208,16,263,740,176,2104
"2022-01-21",232,18,281,749,187,2103
"2022-01-22",216,17,227,784,191,2081
"2022-01-23",216,20,244,739,173,1991
"2022-01-24",204,18,246,760,172,1953
"2022-01-25",202,18,210,783,191,1981
"2022-01-26",210,20,244,762,219,1884
"2022-01-27",204,19,221,710,163,1864
"2022-01-28",211,22,230,682,161,1795
"2022-01-29",199,18,231,669,153,1753
"2022-01-30",183,17,233,632,141,1649
"2022-01-31",196,17,221,623,139,1661
"2022-02-01",184,13,217,589,151,1670
"2022-02-02",179,19,207,573,127,1497
"2022-02-03",185,16,214,538,114,1395
"2022-02-04",161,19,179,522,111,1333
"2022-02-05",158,10,174,484,100,1265
"2022-02-06",144,9,170,411,87,1141
"2022-02-07",141,11,201,396,79,1082
"2022-02-08",144,16,173,452,81,1159
"2022-02-09",140,11,180,424,84,1067
"2022-02-10",122,12,168,408,81,966
"2022-02-11",118,15,160,379,87,980
"2022-02-12",117,15,151,359,85,883
"2022-02-13",114,12,140,302,73,800
"2022-02-14",111,11,126,286,65,823
"2022-02-15",117,13,138,283,67,795
"2022-02-16",101,12,114,286,58,743
"2022-02-17",105,14,115,282,55,723
"2022-02-18",102,10,111,273,51,687
"2022-02-19",92,10,100,226,42,648
"2022-02-20",88,10,85,218,42,598
"2022-02-21",86,6,98,254,42,582
"2022-02-22",85,7,94,228,37,599
"2022-02-23",85,5,90,253,37,576
"2022-02-24",75,8,98,242,34,597
"2022-02-25",71,7,92,242,29,561
"2022-02-26",71,6,86,228,26,591
"2022-02-27",64,6,81,207,31,540
"2022-02-28",71,8,104,210,30,503
"2022-03-01",63,5,88,222,38,514
"2022-03-02",65,6,77,199,39,476
"2022-03-03",63,4,79,191,33,442
"2022-03-04",58,6,73,195,35,425
"2022-03-05",62,5,66,182,36,432
"2022-03-06",54,5,61,147,35,412
"2022-03-07",55,8,61,150,34,402
"2022-03-08",50,8,69,167,27,412
"2022-03-09",51,5,71,153,31,405
"2022-03-10",49,4,77,157,30,381
"2022-03-11",47,4,73,154,29,376
"2022-03-12",46,6,79,150,24,392
"2022-03-13",39,6,68,138,18,374
"2022-03-14",39,5,67,128,25,371
"2022-03-15",42,5,66,118,24,382
"2022-03-16",36,4,62,128,18,380
"2022-03-17",35,4,66,113,17,390
"2022-03-18",34,3,61,120,18,375
"2022-03-19",34,5,60,118,18,367
"2022-03-20",32,4,53,103,17,376
"2022-03-21",38,4,55,119,26,383
"2022-03-22",39,3,54,130,26,390
"2022-03-23",33,2,57,123,27,381
"2022-03-24",33,3,63,133,23,409
"2022-03-25",32,3,65,126,23,404
"2022-03-26",29,3,65,133,22,444
"2022-03-27",26,1,65,123,29,411
"2022-03-28",27,2,65,135,35,462
"2022-03-29",25,2,61,154,32,472
"2022-03-30",25,3,63,148,27,485
"2022-03-31",27,6,69,182,28,495
"2022-04-01",36,3,63,143,28,504
"2022-04-02",29,3,65,142,27,545
"2022-04-03",33,2,83,141,21,557
"2022-04-04",31,4,65,158,24,616
"2022-04-05",34,4,68,188,33,698
"2022-04-06",27,2,71,181,30,700
"2022-04-07",29,3,68,185,28,726
"2022-04-08",26,2,71,188,38,708
"2022-04-09",30,3,66,176,45,792
"2022-04-10",25,2,67,175,39,756
"2022-04-11",29,2,69,182,45,833
"2022-04-12",30,4,69,220,44,862
"2022-04-13",30,6,70,201,37,879
"2022-04-14",27,5,73,215,48,915
"2022-04-15",30,8,72,207,49,961
"2022-04-16",31,2,88,211,49,964
"2022-04-17",24,4,83,213,55,955
"2022-04-18",30,2,94,209,62,933
"2022-04-19",31,3,87,206,69,1014
"2022-04-20",34,6,90,226,78,1027
"2022-04-21",33,4,85,223,81,1054
"2022-04-22",29,1,103,232,67,1039
"2022-04-23",28,6,88,233,66,1085
"2022-04-24",28,5,81,211,69,1045
"2022-04-25",31,6,90,217,72,1057
"2022-04-26",27,4,102,237,76,1084
"2022-04-27",29,5,112,228,66,1077
"2022-04-28",28,7,105,237,80,1021
"2022-04-29",30,8,95,229,69,1101
"2022-04-30",27,8,88,258,66,1095
"2022-05-01",30,6,95,254,64,1011
"2022-05-02",23,9,73,255,80,1005
"2022-05-03",27,7,90,253,76,1021
"2022-05-04",30,5,81,240,66,1054
"2022-05-05",30,4,85,228,80,1079
"2022-05-06",33,9,89,227,79,1021
"2022-05-07",33,11,85,228,73,990
"2022-05-08",33,11,69,224,75,965
"2022-05-09",33,8,81,227,68,899
"2022-05-10",31,10,75,228,73,969
"2022-05-11",25,10,76,249,66,957
"2022-05-12",24,8,73,229,57,925
"2022-05-13",24,11,63,208,51,936
"2022-05-14",27,12,69,188,48,911
"2022-05-15",26,8,61,166,43,870
"2022-05-16",28,5,60,165,44,840
"2022-05-17",25,11,67,174,52,842
"2022-05-18",26,10,69,145,49,822
"2022-05-19",22,7,74,133,51,790
"2022-05-20",20,6,74,133,40,763
"2022-05-21",18,8,73,137,35,714
"2022-05-22",19,8,62,145,30,677
"2022-05-23",24,8,69,135,37,705
"2022-05-24",18,7,62,146,42,668
"2022-05-25",16,7,69,159,37,676
"2022-05-26",15,7,64,156,29,625
"2022-05-27",17,8,62,136,34,576
"2022-05-28",15,7,57,130,34,518
"2022-05-29",14,4,60,107,32,466
"2022-05-30",13,3,56,108,31,472
"2022-05-31",15,2,56,105,34,480
"2022-06-01",13,3,51,101,33,439
"2022-06-02",10,6,61,89,27,428
"2022-06-03",10,5,61,81,26,414
"2022-06-04",10,4,60,76,35,412
"2022-06-05",12,3,49,69,28,373
"2022-06-06",9,3,51,74,25,346
"2022-06-07",9,3,53,75,23,348
"2022-06-08",9,3,42,59,26,356
"2022-06-09",9,3,43,70,21,364
"2022-06-10",14,1,39,67,22,337
"2022-06-11",8,3,41,76,24,337
"2022-06-12",6,2,42,59,16,306
"2022-06-13",7,3,37,60,17,314
"2022-06-14",9,7,37,68,16,320
"2022-06-15",8,5,35,70,16,304
"2022-06-16",12,6,34,67,18,298
"2022-06-17",9,7,36,63,16,289
"2022-06-18",8,6,35,67,12,302
"2022-06-19",8,6,37,68,7,276
"2022-06-20",8,6,34,72,9,271
"2022-06-21",6,6,43,84,12,286
"2022-06-22",7,8,38,75,16,278
"2022-06-23",7,7,38,73,12,270
"2022-06-24",7,7,44,76,17,270
"2022-06-25",7,5,36,91,14,276
"2022-06-26",9,4,35,88,20,276
"2022-06-27",10,4,36,94,19,273
"2022-06-28",9,3,37,101,21,289
"2022-06-29",8,2,37,98,19,288
"2022-06-30",9,1,37,98,17,321
