"Date","covid19_cases_unvac","covid19_cases_partial_vac","covid19_cases_notfull_vac","covid19_cases_full_vac","covid19_cases_boost_vac","covid19_cases_vac_unknown","cases_unvac_rate_per100K","cases_partial_vac_rate_per100K","cases_notfull_vac_rate_per100K","cases_full_vac_rate_per100K","cases_boost_vac_rate_per100K","cases_unvac_rate_7ma","cases_partial_vac_rate_7ma","cases_notfull_vac_rate_7ma","cases_full_vac_rate_7ma","cases_boost_vac_rate_7ma"
2021-11-13,315,22,,273,,51,9.76,4.57,,2.48,,8.59,3.49,,2.03,
2021-11-14,300,24,,300,,42,9.31,5.04,,2.72,,8.49,3.80,,2.09,
2021-11-15,286,23,,212,,31,8.88,4.86,,1.92,,8.69,4.13,,2.12,
2021-11-16,236,18,,189,,38,7.34,3.83,,1.71,,8.76,4.14,,2.14,
2021-11-17,250,19,,202,,41,7.79,4.08,,1.83,,8.94,4.41,,2.13,
2021-11-18,322,28,,314,,47,10.05,6.08,,2.84,,8.91,4.77,,2.22,
2021-11-19,385,22,,323,,63,12.04,4.83,,2.91,,9.31,4.76,,2.34,
2021-11-20,370,17,,287,,54,11.59,3.79,,2.59,,9.57,4.64,,2.36,
2021-11-21,350,20,,331,,40,10.98,4.51,,2.98,,9.81,4.57,,2.40,
2021-11-22,282,23,,286,,36,8.85,5.21,,2.57,,9.81,4.62,,2.49,
2021-11-23,288,30,,266,,29,9.06,6.86,,2.39,,10.05,5.05,,2.59,
2021-11-24,293,14,,237,,47,9.23,3.23,,2.13,,10.26,4.93,,2.63,
2021-11-25,356,19,,329,,44,11.23,4.43,,2.95,,10.43,4.69,,2.65,
2021-11-26,467,27,,378,,55,14.76,6.35,,3.39,,10.81,4.91,,2.71,
2021-11-27,451,23,,349,,31,14.28,5.49,,3.13,,11.20,5.15,,2.79,
2021-11-28,498,21,,396,,49,15.79,5.06,,3.55,,11.89,5.23,,2.87,
2021-11-29,412,27,,315,,34,13.07,6.54,,2.82,,12.49,5.42,,2.91,
2021-11-30,310,19,,308,,50,9.85,4.64,,2.76,,12.60,5.11,,2.96,
2021-12-01,369,24,,336,,51,11.75,5.91,,3.00,,12.96,5.49,,3.09,
2021-12-02,446,23,,429,,61,14.22,5.71,,3.83,,13.39,5.67,,3.21,
2021-12-03,504,27,,442,,58,16.09,6.77,,3.95,,13.58,5.73,,3.29,
2021-12-04,469,25,,499,,60,15.00,6.33,,4.45,,13.68,5.85,,3.48,
2021-12-05,557,22,,536,,69,17.84,5.62,,4.78,,13.97,5.93,,3.66,
2021-12-06,373,24,,426,,64,11.95,6.16,,3.80,,13.81,5.88,,3.80,
2021-12-07,424,26,,401,,77,13.61,6.71,,3.57,,14.35,6.17,,3.91,
2021-12-08,421,22,,502,,64,13.53,5.72,,4.47,,14.61,6.15,,4.12,
2021-12-09,548,42,,617,,83,17.64,10.99,,5.49,,15.09,6.90,,4.36,
2021-12-10,613,26,,718,,96,19.81,6.71,,6.38,,15.63,6.89,,4.71,
2021-12-11,623,31,,864,,89,20.29,7.69,,7.67,,16.38,7.09,,5.17,
2021-12-12,576,36,,771,,93,18.93,8.46,,6.84,,16.54,7.49,,5.46,
2021-12-13,601,33,,809,,93,19.88,7.47,,7.18,,17.67,7.68,,5.94,
2021-12-14,493,33,,809,,94,16.42,7.21,,7.18,,18.07,7.75,,6.46,
2021-12-15,625,39,,1046,,98,21.01,8.15,,9.27,,19.14,8.10,,7.14,
2021-12-16,686,72,,1530,,133,23.28,14.40,,13.56,,19.95,8.58,,8.30,
2021-12-17,778,96,,2120,,130,26.63,18.47,,18.77,,20.92,10.26,,10.07,
2021-12-18,718,104,,2338,,141,24.82,19.20,,20.69,,21.57,11.91,,11.93,
2021-12-19,905,142,,2977,,153,31.64,24.94,,26.34,,23.38,14.26,,14.71,
2021-12-20,746,119,,2781,,138,26.26,20.31,,24.60,,24.29,16.10,,17.20,
2021-12-21,673,132,,2500,,148,23.82,22.13,,22.10,,25.35,18.23,,19.33,
2021-12-22,746,172,,3243,,222,26.60,28.15,,28.65,,26.15,21.09,,22.10,
2021-12-23,971,222,,4392,,205,34.86,35.52,,38.79,,27.80,24.10,,25.71,
2021-12-24,1536,356,,7425,,254,55.53,55.78,,65.54,,31.93,29.43,,32.39,
2021-12-25,1548,368,,8222,,274,56.40,56.35,,72.53,,36.44,34.74,,39.79,
2021-12-26,1429,357,,7855,,185,52.50,53.13,,69.27,,39.42,38.77,,45.93,
2021-12-27,1326,357,,7575,,160,48.92,52.40,,66.79,,42.66,43.35,,51.95,
2021-12-28,1209,362,,7048,,206,44.77,52.71,,62.11,,45.65,47.72,,57.67,
2021-12-29,1514,425,,8221,,276,56.35,61.15,,72.42,,49.90,52.43,,63.92,
2021-12-30,1971,562,,11010,,264,73.70,79.85,,96.95,,55.45,58.77,,72.23,
2021-12-31,2278,647,,13436,,352,85.58,90.83,,118.3,,59.75,63.77,,79.77,
2022-01-01,2679,732,,14703,,331,101.2,101.4,,129.4,,66.15,70.21,,87.89,
2022-01-02,2406,695,,13371,,242,91.54,94.38,,117.6,,71.72,76.10,,94.80,
2022-01-03,1971,488,,10853,,266,75.31,65.55,,95.43,,75.49,77.98,,98.89,
2022-01-04,1647,445,,9040,,219,63.27,59.03,,79.46,,78.14,78.88,,101.4,
2022-01-05,1554,386,,9255,,387,60.08,50.53,,81.30,,78.67,77.37,,102.6,
2022-01-06,1797,452,,10648,,442,69.86,58.59,,93.48,,78.12,74.33,,102.1,
2022-01-07,1543,375,,9515,,466,60.26,48.26,,83.49,,74.50,68.25,,97.17,
2022-01-08,1714,398,,10865,,384,67.10,51.11,,95.30,,69.63,61.06,,92.29,
2022-01-09,1643,414,,9522,,380,64.34,53.15,,83.51,,65.75,55.17,,87.42,
2022-01-10,1307,263,,7789,,347,51.23,33.74,,68.31,,62.31,50.63,,83.55,
2022-01-11,1061,250,,6257,,383,41.72,31.96,,54.85,,59.23,46.76,,80.03,
2022-01-12,1347,327,,7673,,435,53.21,41.51,,67.22,,58.25,45.47,,78.02,
2022-01-13,1336,303,,7753,,517,53.05,38.19,,67.88,,55.84,42.56,,74.37,
2022-01-14,1458,365,,8518,,623,58.19,45.72,,74.52,,55.55,42.20,,73.08,
2022-01-15,1539,417,,8223,,553,61.62,52.12,,71.90,,54.77,42.34,,69.74,
2022-01-16,1456,360,,8079,,555,58.34,44.99,,70.63,,53.91,41.18,,67.90,
2022-01-17,1250,281,,6511,,479,50.20,35.10,,56.90,,53.76,41.37,,66.27,
2022-01-18,1087,245,,5439,,314,43.79,30.55,,47.50,,54.06,41.17,,65.22,
2022-01-19,880,186,,4109,,569,35.60,23.17,,35.86,,51.54,38.55,,60.74,
2022-01-20,1079,260,,5819,,599,43.82,32.34,,50.74,,50.22,37.71,,58.29,
2022-01-21,1061,221,,5307,,576,43.28,27.43,,46.24,,48.09,35.10,,54.25,
2022-01-22,885,223,,4765,,600,36.27,27.59,,41.49,,44.47,31.60,,49.91,
2022-01-23,835,223,,4175,,600,34.38,27.48,,36.32,,41.05,29.09,,45.01,
2022-01-24,814,182,,3496,,298,33.60,22.40,,30.40,,38.68,27.28,,41.22,
2022-01-25,561,142,,2347,,374,23.24,17.48,,20.40,,35.74,25.41,,37.35,
2022-01-26,801,191,,3805,,571,33.33,23.49,,33.04,,35.42,25.46,,36.95,
2022-01-27,960,236,,4004,,652,40.14,29.01,,34.73,,34.89,24.98,,34.66,
2022-01-28,833,181,,3806,,517,35.03,22.22,,32.98,,33.71,24.24,,32.77,
2022-01-29,765,207,,3480,,403,32.36,25.42,,30.12,,33.15,23.93,,31.14,
2022-01-30,623,185,,2807,,345,26.47,22.71,,24.27,,32.02,23.25,,29.42,
2022-01-31,529,119,,2125,,270,22.54,14.61,,18.36,,30.44,22.13,,27.70,
2022-02-01,408,103,,1807,,304,17.42,12.66,,15.61,,29.61,21.45,,27.02,
2022-02-02,683,164,,2643,,419,29.26,20.18,,22.81,,29.03,20.97,,25.55,
2022-02-03,626,172,,2921,,379,26.93,21.18,,25.19,,27.14,19.85,,24.19,
2022-02-04,685,170,,2827,,365,29.58,20.98,,24.35,,26.37,19.68,,22.96,
2022-02-05,497,126,,2233,,348,21.57,15.62,,19.21,,24.82,18.28,,21.40,
2022-02-06,468,127,,2076,,215,20.39,15.86,,17.84,,23.96,17.30,,20.48,
2022-02-07,351,82,,1443,,212,15.31,10.30,,12.39,,22.92,16.68,,19.63,
2022-02-08,362,92,,1402,,236,15.83,11.62,,12.03,,22.70,16.53,,19.12,
2022-02-09,456,131,,2173,,402,20.01,16.72,,18.62,,21.37,16.04,,18.52,
2022-02-10,425,131,,2159,,486,18.71,16.90,,18.47,,20.20,15.43,,17.56,
2022-02-11,422,135,,1967,,383,18.64,17.63,,16.81,,18.64,14.95,,16.48,
2022-02-12,474,136,,1980,,354,21.01,18.04,,16.89,,18.56,15.30,,16.15,
2022-02-13,330,77,,1553,,305,14.67,10.43,,13.22,,17.74,14.52,,15.49,
2022-02-14,282,83,,1237,,163,12.55,11.35,,10.52,,17.35,14.67,,15.22,
2022-02-15,260,59,,998,,276,11.60,8.14,,8.48,,16.74,14.17,,14.72,
2022-02-16,376,91,,1767,,297,16.82,12.71,,15.00,,16.29,13.60,,14.20,
2022-02-17,326,94,,1655,,252,14.64,13.29,,14.03,,15.70,13.08,,13.56,
2022-02-18,303,81,,1656,,297,13.62,11.57,,14.02,,14.99,12.22,,13.17,
2022-02-19,303,77,,1651,,213,13.66,11.17,,13.96,,13.94,11.24,,12.75,
2022-02-20,285,78,,1391,,212,12.87,11.52,,11.75,,13.68,11.39,,12.54,
2022-02-21,199,48,,976,,112,9.00,7.15,,8.24,,13.17,10.79,,12.21,
2022-02-22,186,28,,945,,123,8.42,4.20,,7.97,,12.72,10.23,,12.14,
2022-02-23,215,47,,1009,,154,9.75,7.12,,8.50,,11.71,9.43,,11.21,
2022-02-24,298,80,,1841,,185,13.54,12.24,,15.50,,11.55,9.28,,11.42,
2022-02-25,287,75,,1892,,173,13.07,11.61,,15.91,,11.47,9.29,,11.69,
2022-02-26,261,78,,1821,,178,11.91,12.24,,15.30,,11.22,9.44,,11.88,
2022-02-27,226,61,,1518,,196,10.33,9.73,,12.74,,10.86,9.18,,12.02,
2022-02-28,146,31,,1072,,66,6.68,4.98,,8.99,,10.53,8.87,,12.13,
2022-03-01,165,27,,858,,126,7.55,4.36,,7.19,,10.40,8.90,,12.02,
2022-03-02,215,49,,1522,,173,9.86,8.00,,12.75,,10.42,9.02,,12.63,
2022-03-03,259,66,,1762,,175,11.89,10.88,,14.75,,10.18,8.83,,12.52,
2022-03-04,207,54,,1638,,186,9.51,8.98,,13.70,,9.68,8.45,,12.20,
2022-03-05,183,54,,1496,,197,8.42,9.08,,12.50,,9.18,8.00,,11.80,
2022-03-06,205,47,,1416,,119,9.44,7.99,,11.83,,9.05,7.75,,11.67,
2022-03-07,146,38,,827,,63,6.73,6.49,,6.90,,9.06,7.97,,11.37,
2022-03-08,157,32,,901,,118,7.24,5.47,,7.52,,9.01,8.13,,11.42,
2022-03-09,207,36,,1579,,125,9.55,6.20,,13.17,,8.97,7.87,,11.48,
2022-03-10,209,47,,1760,,109,9.65,8.14,,14.68,,8.65,7.48,,11.47,
2022-03-11,,,271,719,956,184,,,9.58,14.50,13.76,,,,,
2022-03-12,,,242,648,987,138,,,8.57,13.09,14.18,,,,,
2022-03-13,,,183,490,807,151,,,6.50,9.92,11.56,,,,,
2022-03-14,,,160,335,574,47,,,5.69,6.79,8.22,,,,,
2022-03-15,,,153,303,527,93,,,5.45,6.15,7.53,,,,,
2022-03-16,,,215,612,1044,140,,,7.66,12.43,14.90,,,,,
2022-03-17,,,307,859,1084,148,,,10.96,17.46,15.46,,,7.77,11.48,12.23
2022-03-18,,,286,775,1210,231,,,10.22,15.77,17.23,,,7.86,11.66,12.73
2022-03-19,,,268,527,1010,273,,,9.59,10.74,14.36,,,8.01,11.32,12.75
2022-03-20,,,200,452,946,82,,,7.17,9.22,13.43,,,8.11,11.22,13.02
2022-03-21,,,175,295,632,115,,,6.28,6.02,8.97,,,8.19,11.11,13.13
2022-03-22,,,211,394,730,112,,,7.58,8.04,10.36,,,8.49,11.38,13.53
2022-03-23,,,234,561,1137,217,,,8.41,11.46,16.11,,,8.60,11.24,13.70
2022-03-24,,,273,656,1408,224,,,9.83,13.41,19.94,,,8.44,10.67,14.34
2022-03-25,,,291,734,1537,199,,,10.49,15.01,21.74,,,8.48,10.56,14.99
2022-03-26,,,289,732,1516,217,,,10.43,14.98,21.42,,,8.60,11.16,16.00
2022-03-27,,,251,560,1206,198,,,9.07,11.47,17.02,,,8.87,11.48,16.51
2022-03-28,,,236,442,970,93,,,8.54,9.06,13.68,,,9.19,11.92,17.18
2022-03-29,,,232,431,842,105,,,8.40,8.84,11.87,,,9.31,12.03,17.40
2022-03-30,,,312,773,1530,199,,,11.32,15.86,21.54,,,9.73,12.66,18.17
2022-03-31,,,367,840,1722,210,,,13.33,17.24,24.22,,,10.23,13.21,18.78
2022-04-01,,,387,983,1962,187,,,14.07,20.19,27.58,,,10.74,13.95,19.62
2022-04-02,,,441,864,1776,152,,,16.06,17.76,24.93,,,11.54,14.35,20.12
2022-04-03,,,378,745,1810,144,,,13.78,15.32,25.39,,,12.21,14.90,21.32
2022-04-04,,,309,525,1226,188,,,11.27,10.80,17.19,,,12.60,15.14,21.82
2022-04-05,,,258,541,1115,77,,,9.42,11.13,15.63,,,12.75,15.47,22.35
2022-04-06,,,410,930,1915,189,,,14.98,19.15,26.82,,,13.27,15.94,23.11
2022-04-07,,,482,1074,2418,250,,,17.63,22.13,33.84,,,13.89,16.64,24.48
2022-04-08,,,513,1098,2444,240,,,18.76,22.64,34.18,,,14.56,16.99,25.43
2022-04-09,,,423,937,2286,151,,,15.49,19.33,31.95,,,14.48,17.21,26.43
2022-04-10,,,450,801,2051,179,,,16.49,16.53,28.65,,,14.86,17.39,26.89
2022-04-11,,,293,489,1477,142,,,10.74,10.09,20.62,,,14.79,17.29,27.38
2022-04-12,,,326,525,1321,128,,,11.96,10.84,18.44,,,15.15,17.24,27.79
2022-04-13,,,415,977,2274,167,,,15.24,20.18,31.72,,,15.19,17.39,28.49
2022-04-14,,,547,1088,2764,190,,,20.09,22.49,38.53,,,15.54,17.44,29.16
2022-04-15,,,432,983,2642,275,,,15.88,20.33,36.81,,,15.13,17.11,29.53
2022-04-16,,,455,912,2668,166,,,16.74,18.87,37.14,,,15.31,17.05,30.27
2022-04-17,,,316,454,1560,120,,,11.63,9.40,21.70,,,14.61,16.03,29.28
2022-04-18,,,273,452,1399,95,,,10.05,9.36,19.46,,,14.51,15.92,29.11
2022-04-19,,,164,239,699,116,,,6.04,4.95,9.72,,,13.67,15.08,27.87
2022-04-20,,,104,247,599,123,,,3.83,5.12,8.32,,,12.04,12.93,24.53
2022-04-21,,,614,1037,3175,212,,,22.65,21.51,44.08,,,12.40,12.79,25.32
2022-04-22,,,489,1022,2939,218,,,18.05,21.22,40.77,,,12.71,12.92,25.88
2022-04-23,,,463,716,2420,221,,,17.10,14.88,33.54,,,12.76,12.35,25.37
2022-04-24,,,496,815,2612,175,,,18.34,16.95,36.18,,,13.72,13.43,27.44
2022-04-25,,,256,419,1259,94,,,9.47,8.71,17.43,,,13.64,13.33,27.15
2022-04-26,,,275,307,1125,120,,,10.17,6.39,15.57,,,14.23,13.54,27.98
2022-04-27,,,316,580,1943,166,,,11.70,12.08,26.87,,,15.35,14.53,30.63
2022-04-28,,,368,675,2319,198,,,13.63,14.07,32.05,,,14.07,13.47,28.92
2022-04-29,,,268,544,1775,173,,,9.93,11.35,24.51,,,12.91,12.06,26.59
2022-04-30,,,310,548,1763,178,,,11.49,11.43,24.34,,,12.10,11.57,25.28
2022-05-01,,,269,431,1441,102,,,9.98,9.00,19.88,,,10.91,10.43,22.95
2022-05-02,,,160,226,826,63,,,5.94,4.72,11.39,,,10.41,9.86,22.09
2022-05-03,,,199,251,952,145,,,7.39,5.24,13.13,,,10.01,9.70,21.74
2022-05-04,,,277,429,1626,156,,,10.29,8.97,22.40,,,9.81,9.25,21.10
2022-05-05,,,283,451,1767,199,,,10.52,9.43,24.33,,,9.36,8.59,20.00
2022-05-06,,,250,440,1562,166,,,9.29,9.21,21.50,,,9.27,8.29,19.57
2022-05-07,,,229,395,1377,163,,,8.51,8.27,18.94,,,8.85,7.83,18.80
2022-05-08,,,220,339,1285,94,,,8.18,7.10,17.67,,,8.59,7.56,18.48
2022-05-09,,,167,219,777,43,,,6.21,4.59,10.68,,,8.63,7.54,18.38
2022-05-10,,,161,210,623,95,,,5.99,4.40,8.56,,,8.43,7.42,17.73
2022-05-11,,,221,355,1289,130,,,8.23,7.45,17.70,,,8.13,7.21,17.05
2022-05-12,,,228,403,1396,133,,,8.49,8.46,19.16,,,7.84,7.07,16.32
2022-05-13,,,212,370,1264,123,,,7.90,7.77,17.34,,,7.64,6.86,15.72
2022-05-14,,,165,271,1061,78,,,6.15,5.70,14.54,,,7.31,6.50,15.09
2022-05-15,,,172,288,1044,60,,,6.42,6.05,14.31,,,7.06,6.35,14.61
2022-05-16,,,133,182,711,35,,,4.96,3.83,9.74,,,6.88,6.24,14.48
2022-05-17,,,135,185,637,71,,,5.04,3.89,8.73,,,6.74,6.16,14.50
2022-05-18,,,201,270,1087,134,,,7.51,5.68,14.88,,,6.64,5.91,14.10
2022-05-19,,,172,278,1050,65,,,6.43,5.85,14.37,,,6.34,5.54,13.42
2022-05-20,,,132,276,931,73,,,4.93,5.81,12.74,,,5.92,5.26,12.76
2022-05-21,,,141,228,797,55,,,5.27,4.80,10.90,,,5.79,5.13,12.24
2022-05-22,,,135,196,675,46,,,5.05,4.13,9.23,,,5.60,4.86,11.51
2022-05-23,,,88,109,444,27,,,3.29,2.30,6.07,,,5.36,4.64,10.99
2022-05-24,,,77,108,400,34,,,2.88,2.28,5.47,,,5.05,4.41,10.52
2022-05-25,,,90,136,457,92,,,3.37,2.87,6.24,,,4.46,4.01,9.29
2022-05-26,,,118,200,830,69,,,4.42,4.22,11.33,,,4.17,3.77,8.85
2022-05-27,,,120,167,732,77,,,4.50,3.52,9.99,,,4.11,3.45,8.46
2022-05-28,,,103,192,657,192,,,3.86,4.05,8.97,,,3.91,3.34,8.19
2022-05-29,,,95,159,582,42,,,3.56,3.36,7.94,,,3.70,3.23,8.00
2022-05-30,,,62,93,351,41,,,2.33,1.96,4.79,,,3.56,3.18,7.82
2022-05-31,,,82,110,347,51,,,3.08,2.32,4.73,,,3.59,3.19,7.71
2022-06-01,,,133,193,619,85,,,4.99,4.08,8.44,,,3.82,3.36,8.03
2022-06-02,,,113,167,673,85,,,4.24,3.53,9.17,,,3.79,3.26,7.72
2022-06-03,,,101,149,566,72,,,3.79,3.15,7.71,,,3.69,3.21,7.39
2022-06-04,,,97,163,505,136,,,3.65,3.45,6.88,,,3.66,3.12,7.09
2022-06-05,,,60,127,443,80,,,2.26,2.68,6.03,,,3.48,3.02,6.82
2022-06-06,,,68,68,297,35,,,2.56,1.44,4.04,,,3.51,2.95,6.71
2022-06-07,,,78,80,288,91,,,2.93,1.69,3.92,,,3.49,2.86,6.60
