Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.99251,0.4029,0.00344,0.01929,0.02231,0.00201,0.00524,0.00885,0.00282,0.02403,0.00602,0.02088,0.01146,0.00044,0,0
5 to 9,0.32199,6.95836,1.54283,0.06171,0.03316,0.00823,0.04276,0.02537,0.0143,0.03296,0.05432,0.05813,0.01407,0.00718,0,0.00422
10 to 14,0.05935,0.3974,9.19216,2.66553,0.0135,0.00264,0.0289,0.01899,0.01159,0.02181,0.06938,0.05135,0.0073,0.00281,0,0
15 to 19,0.06016,0.04104,0.26599,8.52432,1.07193,0.01279,0.01726,0.00904,0.04375,0.07282,0.06947,0.05473,0.03245,0,0.00152,0.00424
20 to 24,0.0166,0.04147,0.02724,0.10481,0.48249,0.02701,0.00653,0.00258,0.00124,0.00091,0.00093,0.00118,0.0028,0.00045,0,0
25 to 29,0.00622,0.00591,0.0047,0.005,0.00488,0.01089,0.00614,0.00401,0.00204,0.00256,0.00139,0.00604,0.00024,0.00034,0,0.00152
30 to 34,0.01488,0.01198,0.00744,0.00867,0.00434,0.00196,0.00582,0.00583,0.00209,0.00515,0.00403,0.00243,0.00224,0.00223,0,0
35 to 39,0.011,0.01137,0.01191,0.01225,0.00534,0.00264,0.0041,0.00442,0.00286,0.00452,0.00404,0.00414,0.00632,0.00098,0.00152,0
40 to 44,0.00507,0.01079,0.01217,0.01009,0.0034,0.00318,0.00453,0.005,0.00626,0.0043,0.00513,0.00531,0.00141,0.00099,0.00157,0
45 to 49,0.00611,0.00786,0.00975,0.01214,0.00426,0.00281,0.00238,0.00242,0.00225,0.00261,0.00707,0.00388,0.00225,0.0016,0.00423,0
50 to 54,0.0033,0.00663,0.00684,0.00671,0.00229,0.00078,0.00207,0.00038,0.00268,0.00342,0.00381,0.00358,0.00184,0.00037,0.00704,0
55 to 59,0.00252,0.00236,0.00394,0.00457,0.00179,0.00145,0.00036,0.00101,0.00085,0.00177,0.00228,0.00441,0.00102,0.00287,0.00429,0
60 to 64,4.00E-04,0.00112,0.00122,0.00127,0.00015,6.00E-04,0.00079,8.00E-05,0.00084,0.00051,0.00075,0.00156,0.00381,0.00159,0.00155,0
65 to 69,2.00E-04,0.00037,0.00019,0.00028,0.00029,0.00043,8.00E-05,0.00038,9.00E-05,0.00031,0,0,0.00218,0.00348,0.0016,0
70 to 74,0,7.00E-05,0,0,4.00E-05,9.00E-05,0,0,0,0,0,0.00016,0,0.00222,0.00158,0
75+,0,0,4.00E-05,0,0,0.00026,0,0,0,0,0,0.00015,0,0,0.00428,0
