,retail,grocery,park,trainsit,workplace,residential,date
0,0,-1,31,-6,-16,3,2020-02-15
1,0,-1,30,-6,-16,3,2020-02-16
2,0,-1,27,-5,-14,2,2020-02-17
3,0,0,23,-4,-11,2,2020-02-18
4,0,0,20,-3,-8,1,2020-02-19
5,1,1,19,-1,-5,1,2020-02-20
6,2,1,19,0,-2,0,2020-02-21
7,2,2,19,1,0,0,2020-02-22
8,2,2,17,1,0,0,2020-02-23
9,1,1,13,1,0,0,2020-02-24
10,0,0,9,0,0,0,2020-02-25
11,0,0,4,0,0,1,2020-02-26
12,-1,0,1,0,0,1,2020-02-27
13,0,0,0,0,1,1,2020-02-28
14,0,1,1,0,2,0,2020-02-29
15,1,2,3,0,2,0,2020-03-01
16,2,3,5,0,3,0,2020-03-02
17,3,3,8,0,3,0,2020-03-03
18,3,4,11,0,3,0,2020-03-04
19,4,4,16,1,3,0,2020-03-05
20,4,5,21,1,3,0,2020-03-06
21,4,6,25,0,3,0,2020-03-07
22,4,7,26,0,3,0,2020-03-08
23,4,10,24,-2,2,0,2020-03-09
24,2,13,20,-4,1,1,2020-03-10
25,1,16,16,-7,0,1,2020-03-11
26,-1,19,13,-11,-2,2,2020-03-12
27,-4,20,11,-16,-6,3,2020-03-13
28,-9,20,10,-21,-11,5,2020-03-14
29,-14,18,10,-28,-17,7,2020-03-15
30,-19,15,9,-34,-23,10,2020-03-16
31,-25,11,7,-40,-30,12,2020-03-17
32,-30,5,5,-45,-35,14,2020-03-18
33,-36,0,3,-49,-39,15,2020-03-19
34,-40,-4,0,-52,-42,16,2020-03-20
35,-44,-8,-1,-55,-45,17,2020-03-21
36,-46,-12,-3,-58,-47,18,2020-03-22
37,-48,-15,-5,-60,-50,19,2020-03-23
38,-50,-17,-6,-62,-52,20,2020-03-24
39,-52,-19,-8,-64,-54,21,2020-03-25
40,-53,-21,-9,-65,-55,21,2020-03-26
41,-54,-22,-11,-66,-55,21,2020-03-27
42,-54,-23,-13,-67,-56,21,2020-03-28
43,-54,-24,-15,-67,-56,21,2020-03-29
44,-54,-24,-15,-67,-57,22,2020-03-30
45,-54,-23,-15,-68,-58,22,2020-03-31
46,-54,-23,-15,-68,-58,22,2020-04-01
47,-54,-23,-14,-68,-58,22,2020-04-02
48,-54,-23,-14,-68,-58,22,2020-04-03
49,-55,-23,-14,-68,-57,22,2020-04-04
50,-55,-22,-14,-68,-58,22,2020-04-05
51,-55,-22,-16,-68,-59,22,2020-04-06
52,-56,-22,-18,-69,-61,23,2020-04-07
53,-57,-23,-20,-69,-62,23,2020-04-08
54,-58,-25,-23,-70,-63,24,2020-04-09
55,-60,-27,-25,-70,-63,24,2020-04-10
56,-60,-28,-27,-70,-63,23,2020-04-11
57,-60,-29,-29,-70,-62,23,2020-04-12
58,-59,-28,-30,-70,-62,23,2020-04-13
59,-58,-26,-31,-69,-61,23,2020-04-14
60,-57,-25,-30,-69,-60,23,2020-04-15
61,-56,-24,-29,-68,-58,23,2020-04-16
62,-56,-24,-28,-67,-57,22,2020-04-17
63,-56,-25,-27,-67,-56,22,2020-04-18
64,-56,-25,-25,-66,-56,22,2020-04-19
65,-55,-25,-24,-66,-56,22,2020-04-20
66,-55,-25,-23,-66,-56,22,2020-04-21
67,-55,-24,-21,-66,-56,22,2020-04-22
68,-55,-24,-18,-65,-56,22,2020-04-23
69,-55,-24,-15,-65,-55,21,2020-04-24
70,-54,-23,-12,-64,-55,21,2020-04-25
71,-54,-23,-9,-64,-54,20,2020-04-26
72,-53,-22,-8,-64,-55,20,2020-04-27
73,-53,-21,-6,-64,-55,20,2020-04-28
74,-52,-21,-4,-63,-55,20,2020-04-29
75,-51,-20,-1,-62,-54,20,2020-04-30
76,-51,-19,1,-62,-53,20,2020-05-01
77,-50,-19,5,-61,-52,20,2020-05-02
78,-50,-18,7,-61,-52,20,2020-05-03
79,-49,-17,7,-61,-52,20,2020-05-04
80,-49,-16,5,-61,-53,20,2020-05-05
81,-48,-16,1,-62,-52,20,2020-05-06
82,-48,-15,-2,-62,-52,20,2020-05-07
83,-48,-15,-6,-62,-51,20,2020-05-08
84,-47,-15,-7,-62,-50,19,2020-05-09
85,-47,-15,-6,-61,-50,19,2020-05-10
86,-46,-15,-3,-61,-50,19,2020-05-11
87,-45,-15,1,-61,-50,20,2020-05-12
88,-45,-15,7,-61,-51,20,2020-05-13
89,-45,-16,14,-60,-51,19,2020-05-14
90,-45,-16,20,-60,-51,19,2020-05-15
91,-44,-16,26,-59,-51,19,2020-05-16
92,-44,-16,32,-59,-51,19,2020-05-17
93,-43,-15,39,-59,-52,19,2020-05-18
94,-41,-13,46,-58,-51,18,2020-05-19
95,-39,-11,55,-57,-50,18,2020-05-20
96,-38,-9,64,-55,-48,17,2020-05-21
97,-36,-8,70,-54,-46,17,2020-05-22
98,-35,-8,74,-53,-44,16,2020-05-23
99,-34,-7,73,-52,-44,16,2020-05-24
100,-34,-7,69,-52,-44,16,2020-05-25
101,-34,-7,63,-53,-44,16,2020-05-26
102,-34,-7,57,-53,-43,16,2020-05-27
103,-34,-8,54,-52,-42,16,2020-05-28
104,-34,-8,53,-52,-40,16,2020-05-29
105,-34,-8,56,-51,-39,15,2020-05-30
106,-33,-7,60,-51,-39,15,2020-05-31
107,-33,-7,66,-51,-39,15,2020-06-01
108,-33,-7,72,-51,-40,15,2020-06-02
109,-32,-6,78,-51,-40,15,2020-06-03
110,-32,-6,85,-51,-39,15,2020-06-04
111,-31,-6,91,-50,-38,14,2020-06-05
112,-31,-6,95,-50,-37,14,2020-06-06
113,-30,-6,97,-50,-37,14,2020-06-07
114,-30,-6,97,-50,-37,14,2020-06-08
115,-29,-6,96,-50,-38,14,2020-06-09
116,-29,-5,96,-50,-38,14,2020-06-10
117,-29,-5,99,-49,-37,14,2020-06-11
118,-28,-5,104,-48,-35,13,2020-06-12
119,-27,-4,109,-47,-34,13,2020-06-13
120,-27,-4,114,-47,-34,13,2020-06-14
121,-26,-3,117,-47,-35,12,2020-06-15
122,-26,-2,119,-47,-36,12,2020-06-16
123,-26,-2,120,-47,-36,12,2020-06-17
124,-26,-1,121,-47,-35,12,2020-06-18
125,-26,-1,120,-46,-34,11,2020-06-19
126,-25,-1,117,-46,-33,11,2020-06-20
127,-25,-2,113,-46,-33,11,2020-06-21
128,-25,-2,110,-46,-34,11,2020-06-22
129,-25,-2,109,-46,-35,12,2020-06-23
130,-24,-2,112,-45,-36,12,2020-06-24
131,-24,-1,120,-45,-35,12,2020-06-25
132,-23,-1,130,-44,-34,11,2020-06-26
133,-23,0,142,-43,-34,11,2020-06-27
134,-22,0,153,-44,-35,10,2020-06-28
135,-22,0,162,-44,-37,11,2020-06-29
136,-22,0,169,-45,-39,11,2020-06-30
137,-22,0,173,-46,-40,11,2020-07-01
138,-22,0,173,-46,-40,11,2020-07-02
139,-22,0,170,-45,-39,11,2020-07-03
140,-22,0,164,-45,-37,10,2020-07-04
141,-21,0,156,-45,-36,10,2020-07-05
142,-21,0,146,-45,-36,10,2020-07-06
143,-21,0,137,-45,-36,11,2020-07-07
144,-21,0,129,-46,-36,11,2020-07-08
145,-21,0,124,-45,-35,11,2020-07-09
146,-21,0,123,-45,-34,11,2020-07-10
147,-21,0,124,-45,-33,10,2020-07-11
148,-20,0,127,-45,-33,10,2020-07-12
149,-20,0,129,-45,-34,10,2020-07-13
150,-20,0,131,-45,-35,10,2020-07-14
151,-20,0,133,-45,-35,10,2020-07-15
152,-20,0,136,-45,-34,10,2020-07-16
153,-20,0,138,-45,-33,10,2020-07-17
154,-20,0,140,-44,-33,10,2020-07-18
155,-20,0,141,-45,-33,10,2020-07-19
156,-20,0,140,-45,-33,10,2020-07-20
157,-19,0,141,-45,-34,10,2020-07-21
158,-19,0,143,-45,-35,10,2020-07-22
159,-19,0,148,-45,-34,10,2020-07-23
160,-19,0,153,-44,-33,9,2020-07-24
161,-19,0,156,-43,-32,9,2020-07-25
162,-18,0,157,-43,-32,9,2020-07-26
163,-18,0,156,-44,-33,9,2020-07-27
164,-18,0,155,-44,-35,9,2020-07-28
165,-17,0,154,-44,-36,9,2020-07-29
166,-18,0,154,-44,-37,9,2020-07-30
167,-18,0,154,-44,-37,9,2020-07-31
168,-18,-1,152,-44,-37,9,2020-08-01
169,-19,-2,150,-44,-38,9,2020-08-02
170,-18,-3,148,-45,-39,10,2020-08-03
171,-18,-2,149,-45,-39,10,2020-08-04
172,-17,-2,152,-45,-39,10,2020-08-05
173,-17,-1,158,-44,-37,9,2020-08-06
174,-16,-1,163,-43,-34,9,2020-08-07
175,-16,-1,166,-42,-32,8,2020-08-08
176,-15,-1,166,-42,-32,8,2020-08-09
177,-15,-1,164,-42,-32,8,2020-08-10
178,-15,-1,162,-43,-33,8,2020-08-11
179,-15,-1,160,-43,-34,9,2020-08-12
180,-15,-1,159,-43,-33,8,2020-08-13
181,-15,-1,158,-42,-32,8,2020-08-14
182,-16,-2,155,-42,-31,8,2020-08-15
183,-16,-2,151,-42,-31,8,2020-08-16
184,-15,-2,148,-42,-32,8,2020-08-17
185,-15,-1,147,-43,-33,8,2020-08-18
186,-15,-1,148,-43,-33,8,2020-08-19
187,-15,-1,151,-42,-33,8,2020-08-20
188,-15,-2,154,-42,-31,8,2020-08-21
189,-15,-2,154,-41,-30,7,2020-08-22
190,-15,-2,151,-41,-30,7,2020-08-23
191,-15,-2,146,-42,-31,8,2020-08-24
192,-15,-1,139,-42,-32,8,2020-08-25
193,-15,-1,134,-42,-33,8,2020-08-26
194,-15,-1,132,-42,-32,8,2020-08-27
195,-14,0,132,-41,-31,8,2020-08-28
196,-14,0,134,-40,-30,7,2020-08-29
197,-13,0,135,-40,-30,7,2020-08-30
198,-13,0,136,-40,-31,7,2020-08-31
199,-13,0,136,-41,-33,7,2020-09-01
200,-13,0,137,-41,-34,8,2020-09-02
201,-13,0,139,-41,-35,8,2020-09-03
202,-14,-1,141,-41,-35,8,2020-09-04
203,-15,-2,140,-41,-36,8,2020-09-05
204,-16,-3,134,-42,-37,8,2020-09-06
205,-17,-4,126,-43,-38,9,2020-09-07
206,-17,-4,116,-43,-38,9,2020-09-08
207,-17,-3,109,-43,-36,9,2020-09-09
208,-16,-2,105,-43,-34,9,2020-09-10
209,-15,-1,104,-42,-31,8,2020-09-11
210,-15,-1,104,-41,-29,8,2020-09-12
211,-15,-1,103,-41,-28,8,2020-09-13
212,-15,-1,101,-42,-28,8,2020-09-14
213,-15,-2,99,-42,-29,8,2020-09-15
214,-15,-2,99,-43,-29,8,2020-09-16
215,-15,-2,99,-42,-29,8,2020-09-17
216,-15,-2,100,-42,-28,8,2020-09-18
217,-16,-2,100,-42,-27,8,2020-09-19
218,-16,-2,99,-42,-27,8,2020-09-20
219,-16,-2,98,-43,-28,8,2020-09-21
220,-17,-2,96,-44,-28,8,2020-09-22
221,-17,-2,95,-44,-28,9,2020-09-23
222,-18,-2,96,-44,-28,9,2020-09-24
223,-18,-1,96,-44,-26,8,2020-09-25
224,-18,-1,94,-44,-25,8,2020-09-26
225,-18,-1,87,-44,-25,8,2020-09-27
226,-18,-1,78,-45,-26,9,2020-09-28
227,-18,-1,68,-46,-27,9,2020-09-29
228,-19,-1,59,-46,-28,9,2020-09-30
229,-19,-1,53,-46,-28,9,2020-10-01
230,-19,-1,49,-46,-27,9,2020-10-02
231,-20,-1,48,-46,-26,9,2020-10-03
232,-20,0,48,-46,-26,9,2020-10-04
233,-20,0,49,-46,-28,9,2020-10-05
234,-21,0,52,-47,-29,10,2020-10-06
235,-21,0,57,-47,-30,10,2020-10-07
236,-22,0,63,-47,-30,10,2020-10-08
237,-24,-1,70,-47,-31,10,2020-10-09
238,-25,-3,75,-48,-32,10,2020-10-10
239,-27,-5,76,-49,-33,10,2020-10-11
240,-27,-6,73,-49,-34,11,2020-10-12
241,-27,-7,66,-50,-34,11,2020-10-13
242,-26,-6,59,-50,-33,11,2020-10-14
243,-25,-5,52,-49,-31,11,2020-10-15
244,-24,-4,47,-48,-29,11,2020-10-16
245,-23,-4,43,-48,-27,11,2020-10-17
246,-23,-4,40,-48,-27,11,2020-10-18
247,-23,-3,37,-48,-27,11,2020-10-19
248,-23,-3,34,-48,-28,11,2020-10-20
249,-23,-3,34,-48,-28,11,2020-10-21
250,-23,-3,34,-48,-28,11,2020-10-22
251,-23,-3,35,-47,-27,11,2020-10-23
252,-23,-3,33,-47,-26,10,2020-10-24
253,-23,-3,30,-47,-26,10,2020-10-25
254,-23,-3,25,-48,-27,11,2020-10-26
255,-23,-2,20,-48,-28,11,2020-10-27
256,-23,-2,15,-48,-28,11,2020-10-28
257,-23,-2,12,-48,-27,11,2020-10-29
258,-23,-2,10,-48,-27,11,2020-10-30
259,-23,-2,9,-48,-26,11,2020-10-31
260,-23,-3,10,-48,-26,11,2020-11-01
261,-24,-4,14,-49,-27,11,2020-11-02
262,-24,-4,22,-49,-28,11,2020-11-03
263,-23,-4,32,-48,-28,11,2020-11-04
264,-22,-4,44,-48,-27,11,2020-11-05
265,-22,-4,54,-47,-26,10,2020-11-06
266,-21,-4,62,-47,-25,10,2020-11-07
267,-20,-3,64,-47,-25,10,2020-11-08
268,-20,-3,60,-47,-26,10,2020-11-09
269,-21,-3,51,-48,-27,11,2020-11-10
270,-21,-3,40,-49,-28,11,2020-11-11
271,-22,-4,28,-49,-28,11,2020-11-12
272,-22,-4,18,-50,-27,11,2020-11-13
273,-23,-5,9,-50,-27,11,2020-11-14
274,-24,-6,2,-51,-27,11,2020-11-15
275,-24,-6,-1,-51,-28,12,2020-11-16
276,-24,-6,-2,-51,-29,12,2020-11-17
277,-24,-6,-2,-51,-29,12,2020-11-18
278,-24,-6,-2,-51,-28,12,2020-11-19
279,-24,-6,-2,-51,-28,12,2020-11-20
280,-25,-6,-3,-51,-27,12,2020-11-21
281,-25,-6,-6,-52,-27,12,2020-11-22
282,-26,-6,-8,-52,-28,12,2020-11-23
283,-26,-6,-8,-53,-29,13,2020-11-24
284,-26,-6,-7,-53,-29,13,2020-11-25
285,-25,-6,-5,-53,-29,13,2020-11-26
286,-25,-5,-2,-53,-28,12,2020-11-27
287,-25,-5,-1,-52,-27,12,2020-11-28
288,-25,-5,-1,-53,-28,12,2020-11-29
289,-26,-5,-4,-53,-28,13,2020-11-30
290,-26,-6,-6,-53,-29,13,2020-12-01
291,-27,-5,-8,-54,-29,13,2020-12-02
292,-27,-5,-9,-54,-29,13,2020-12-03
293,-27,-5,-8,-53,-28,13,2020-12-04
294,-27,-5,-8,-53,-27,12,2020-12-05
295,-27,-5,-7,-53,-27,12,2020-12-06
296,-27,-5,-7,-54,-28,13,2020-12-07
297,-27,-4,-8,-54,-29,13,2020-12-08
298,-27,-4,-8,-54,-29,13,2020-12-09
299,-27,-4,-8,-54,-29,13,2020-12-10
300,-26,-3,-9,-54,-28,13,2020-12-11
301,-26,-3,-10,-54,-28,13,2020-12-12
302,-26,-3,-11,-54,-28,13,2020-12-13
303,-26,-3,-13,-54,-29,13,2020-12-14
304,-26,-2,-13,-54,-30,13,2020-12-15
305,-26,-1,-13,-54,-30,13,2020-12-16
306,-25,0,-12,-54,-30,13,2020-12-17
307,-25,2,-10,-54,-30,13,2020-12-18
308,-24,4,-7,-53,-31,13,2020-12-19
309,-24,6,-5,-54,-34,13,2020-12-20
310,-25,7,-4,-55,-38,14,2020-12-21
311,-28,5,-4,-58,-43,15,2020-12-22
312,-32,0,-4,-60,-48,16,2020-12-23
313,-37,-5,-5,-62,-52,17,2020-12-24
314,-42,-12,-4,-65,-54,18,2020-12-25
315,-46,-16,-4,-66,-55,19,2020-12-26
316,-47,-18,-2,-67,-56,20,2020-12-27
317,-48,-18,-1,-68,-57,20,2020-12-28
318,-47,-17,0,-68,-58,21,2020-12-29
319,-47,-16,0,-68,-57,21,2020-12-30
320,-48,-17,0,-68,-56,21,2020-12-31
321,-48,-18,0,-67,-53,21,2021-01-01
322,-49,-19,0,-66,-50,20,2021-01-02
323,-49,-19,-2,-65,-47,19,2021-01-03
324,-48,-18,-4,-65,-45,18,2021-01-04
325,-47,-17,-5,-64,-43,18,2021-01-05
326,-46,-16,-6,-64,-41,18,2021-01-06
327,-46,-15,-5,-63,-40,17,2021-01-07
328,-46,-15,-4,-63,-38,17,2021-01-08
329,-46,-15,-4,-63,-38,17,2021-01-09
330,-46,-15,-5,-63,-38,17,2021-01-10
331,-47,-16,-8,-64,-39,17,2021-01-11
332,-48,-17,-11,-65,-40,17,2021-01-12
333,-49,-18,-13,-65,-41,18,2021-01-13
334,-50,-20,-14,-66,-41,18,2021-01-14
335,-51,-21,-14,-66,-41,18,2021-01-15
336,-51,-22,-14,-66,-41,18,2021-01-16
337,-52,-23,-15,-67,-41,18,2021-01-17
338,-52,-23,-16,-67,-42,18,2021-01-18
339,-51,-22,-18,-67,-42,18,2021-01-19
340,-51,-22,-19,-67,-43,18,2021-01-20
341,-51,-22,-19,-67,-42,18,2021-01-21
342,-51,-21,-18,-67,-41,18,2021-01-22
343,-51,-21,-17,-66,-41,18,2021-01-23
344,-51,-22,-17,-67,-40,18,2021-01-24
345,-51,-22,-17,-67,-41,18,2021-01-25
346,-51,-22,-18,-67,-41,18,2021-01-26
347,-50,-21,-18,-67,-42,18,2021-01-27
348,-50,-20,-17,-67,-41,18,2021-01-28
349,-49,-20,-16,-67,-40,17,2021-01-29
350,-49,-19,-14,-66,-39,17,2021-01-30
351,-48,-19,-13,-67,-39,17,2021-01-31
352,-48,-18,-13,-67,-40,17,2021-02-01
353,-48,-18,-13,-67,-40,17,2021-02-02
354,-48,-18,-13,-67,-40,17,2021-02-03
355,-48,-18,-14,-67,-40,17,2021-02-04
356,-48,-18,-14,-67,-39,17,2021-02-05
357,-48,-18,-15,-66,-38,17,2021-02-06
358,-48,-18,-16,-66,-38,17,2021-02-07
359,-47,-17,-17,-66,-38,17,2021-02-08
360,-47,-16,-17,-66,-39,17,2021-02-09
361,-46,-15,-16,-66,-40,17,2021-02-10
362,-46,-14,-14,-66,-40,17,2021-02-11
363,-46,-14,-11,-66,-40,17,2021-02-12
364,-46,-15,-8,-66,-41,17,2021-02-13
365,-45,-15,-6,-66,-42,17,2021-02-14
366,-45,-16,-6,-66,-42,17,2021-02-15
367,-44,-15,-7,-65,-42,17,2021-02-16
368,-42,-15,-8,-64,-40,17,2021-02-17
369,-41,-13,-8,-63,-38,16,2021-02-18
370,-39,-13,-6,-62,-35,15,2021-02-19
371,-38,-12,-5,-61,-33,15,2021-02-20
372,-37,-11,-4,-61,-33,14,2021-02-21
373,-36,-11,-5,-61,-33,14,2021-02-22
374,-36,-11,-6,-61,-33,14,2021-02-23
375,-35,-10,-6,-61,-33,14,2021-02-24
376,-35,-10,-6,-60,-33,14,2021-02-25
377,-34,-10,-6,-60,-32,14,2021-02-26
378,-34,-10,-7,-60,-31,14,2021-02-27
379,-34,-10,-7,-60,-31,13,2021-02-28
380,-34,-10,-8,-60,-32,14,2021-03-01
381,-34,-10,-8,-60,-33,14,2021-03-02
382,-34,-10,-7,-60,-33,14,2021-03-03
383,-33,-9,-4,-60,-32,14,2021-03-04
384,-33,-9,0,-59,-31,14,2021-03-05
385,-32,-9,4,-59,-31,13,2021-03-06
386,-31,-8,8,-58,-31,13,2021-03-07
387,-30,-8,12,-58,-31,13,2021-03-08
388,-29,-7,15,-58,-32,13,2021-03-09
389,-29,-7,16,-57,-32,13,2021-03-10
390,-28,-7,16,-57,-31,13,2021-03-11
391,-28,-7,16,-57,-31,13,2021-03-12
392,-27,-6,14,-56,-30,13,2021-03-13
393,-27,-6,14,-56,-30,13,2021-03-14
394,-27,-6,14,-56,-31,13,2021-03-15
395,-27,-6,16,-56,-31,13,2021-03-16
396,-27,-6,22,-56,-31,13,2021-03-17
397,-26,-5,31,-55,-31,12,2021-03-18
398,-25,-5,42,-55,-30,12,2021-03-19
399,-24,-4,50,-54,-29,12,2021-03-20
400,-24,-4,55,-54,-29,12,2021-03-21
401,-24,-4,55,-54,-30,12,2021-03-22
402,-24,-4,50,-55,-31,12,2021-03-23
403,-25,-4,42,-55,-31,12,2021-03-24
404,-25,-4,34,-56,-31,13,2021-03-25
405,-25,-4,27,-56,-30,12,2021-03-26
406,-25,-4,22,-56,-30,12,2021-03-27
407,-25,-3,20,-56,-31,12,2021-03-28
408,-25,-2,20,-57,-32,13,2021-03-29
409,-25,-2,23,-57,-35,13,2021-03-30
410,-27,-2,28,-58,-37,14,2021-03-31
411,-28,-4,35,-59,-39,14,2021-04-01
412,-30,-5,43,-59,-40,14,2021-04-02
413,-32,-7,51,-59,-40,14,2021-04-03
414,-33,-8,57,-59,-40,14,2021-04-04
415,-34,-8,61,-59,-40,14,2021-04-05
416,-34,-7,63,-59,-39,14,2021-04-06
417,-34,-7,63,-59,-38,14,2021-04-07
418,-35,-7,62,-59,-37,14,2021-04-08
419,-36,-7,59,-60,-36,14,2021-04-09
420,-37,-7,55,-60,-36,14,2021-04-10
421,-38,-8,49,-60,-36,14,2021-04-11
422,-39,-8,44,-61,-38,15,2021-04-12
423,-39,-8,38,-61,-39,15,2021-04-13
424,-40,-8,33,-62,-39,16,2021-04-14
425,-40,-9,30,-62,-39,16,2021-04-15
426,-41,-9,26,-62,-39,16,2021-04-16
427,-42,-10,24,-63,-38,16,2021-04-17
428,-42,-10,21,-63,-38,16,2021-04-18
429,-42,-10,19,-63,-39,16,2021-04-19
430,-42,-10,19,-63,-40,16,2021-04-20
431,-41,-9,22,-63,-40,16,2021-04-21
432,-41,-9,27,-62,-39,16,2021-04-22
433,-40,-8,33,-62,-38,16,2021-04-23
434,-40,-7,37,-62,-37,16,2021-04-24
435,-39,-7,39,-62,-37,15,2021-04-25
436,-39,-6,37,-62,-38,16,2021-04-26
437,-38,-6,33,-62,-39,16,2021-04-27
438,-38,-5,30,-61,-39,16,2021-04-28
439,-38,-5,29,-61,-39,16,2021-04-29
440,-37,-4,30,-61,-38,15,2021-04-30
441,-37,-4,31,-60,-37,15,2021-05-01
442,-37,-3,33,-60,-37,15,2021-05-02
443,-36,-3,35,-60,-38,15,2021-05-03
444,-36,-2,37,-60,-38,15,2021-05-04
445,-35,-1,41,-60,-39,15,2021-05-05
446,-35,0,47,-60,-38,15,2021-05-06
447,-34,1,53,-59,-37,14,2021-05-07
448,-33,1,58,-59,-36,14,2021-05-08
449,-33,2,64,-59,-36,14,2021-05-09
450,-32,2,70,-59,-37,14,2021-05-10
451,-32,2,77,-58,-37,14,2021-05-11
452,-31,2,87,-58,-38,14,2021-05-12
453,-31,2,98,-57,-37,13,2021-05-13
454,-30,3,108,-56,-36,13,2021-05-14
455,-29,3,116,-56,-36,12,2021-05-15
456,-29,4,119,-56,-36,12,2021-05-16
457,-29,4,119,-56,-36,12,2021-05-17
458,-28,5,118,-57,-37,13,2021-05-18
459,-28,5,119,-57,-38,13,2021-05-19
460,-29,5,123,-57,-38,13,2021-05-20
461,-29,4,129,-57,-39,13,2021-05-21
462,-29,3,134,-58,-39,12,2021-05-22
463,-30,2,135,-58,-40,13,2021-05-23
464,-30,2,131,-59,-41,13,2021-05-24
465,-30,2,122,-59,-41,13,2021-05-25
466,-30,3,112,-59,-40,13,2021-05-26
467,-30,4,106,-58,-37,13,2021-05-27
468,-29,5,105,-58,-35,12,2021-05-28
469,-28,6,107,-57,-33,12,2021-05-29
470,-27,6,112,-57,-33,12,2021-05-30
471,-27,7,116,-56,-33,12,2021-05-31
472,-27,8,119,-56,-34,12,2021-06-01
473,-27,8,122,-56,-34,12,2021-06-02
474,-27,8,126,-56,-34,12,2021-06-03
475,-27,8,130,-55,-33,11,2021-06-04
476,-27,8,132,-55,-32,11,2021-06-05
