Geographic code,Geographic_name_english,Longitude,Latitude,Population_ 2016,Geographic code_ Census division,CSD type_ english
3520005,Toronto,-79.3831843,43.653226,2731571,3520,City
3506008,Ottawa,-75.6971931,45.4215296,934243,3506,City
3521005,Mississauga,-79.6441198,43.5890452,721599,3521,City
3521010,Brampton,-79.7624177,43.7315479,593638,3521,City
3525005,Hamilton,-79.8711024,43.2557206,536917,3525,City
3539036,London,-81.2452768,42.9849233,383822,3539,City
3519036,Markham,-79.3370188,43.8561002,328966,3519,City
3519028,Vaughan,-79.5085383,43.8563158,306233,3519,City
3530013,Kitchener,-80.4925337,43.4516395,233222,3530,City
3537039,Windsor,-83.0363633,42.3149367,217188,3537,City
3519038,Richmond_Hill,-79.4402808,43.8828401,195022,3519,City
3524001,Oakville,-79.6876659,43.467517,193832,3524,City
3524002,Burlington,-79.7990319,43.3255196,183314,3524,City
3553005,Greater_Sudbury,-80.993029,46.4917317,161531,3553,City
3518013,Oshawa,-78.8657912,43.8970929,159458,3518,City
3543042,Barrie,-79.6903316,44.3893556,141434,3543,City
3526053,St._Catharines,-79.2468626,43.1593745,133113,3526,City
3523008,Guelph,-80.2481666,43.5448048,131794,3523,City
3530010,Cambridge,-80.3144276,43.3616211,129920,3530,City
3518009,Whitby,-78.9429329,43.8975446,128377,3518,City
3510010,Kingston,-76.4859544,44.2311717,123798,3510,City
3518005,Ajax,-79.0203732,43.8508553,119677,3518,City
3524009,Milton,-79.8774042,43.5182991,110128,3524,City
3558004,Thunder_Bay,-89.2476823,48.3808951,107909,3558,City
3530016,Waterloo,-80.5204096,43.4642578,104986,3530,City
3536020,Chatham-Kent,-82.1910378,42.4048028,101647,3536,City
3529006,Brantford,-80.2644254,43.1393867,97496,3529,City
3518017,Clarington,-78.6000336,43.9345347,92013,3518,City
3518001,Pickering,-79.0867579,43.8384117,91771,3518,City
3526043,Niagara_Falls,-79.0849436,43.0895577,88071,3526,City
3519048,Newmarket,-79.461256,44.059187,84224,3519,City
3515014,Peterborough,-78.319747,44.309058,81032,3515,City
3516010,Kawartha_Lakes,-78.9006484,44.5337469,75423,3516,City
3557061,Sault_Ste._Marie,-84.3357526,46.5136494,73368,3557,City
3538030,Sarnia,-82.4065901,42.974536,71594,3538,City
3521024,Caledon,-79.8744836,43.8363372,66502,3521,City
3528052,Norfolk_County,-80.4136271,42.7967232,64044,3528,City
3524015,Halton_Hills,-80.017663,43.646987,61161,3524,City
3519046,Aurora,-79.450396,44.00648,55445,3519,City
3526032,Welland,-79.2482555,42.9921579,52293,3526,City
3548044,North_Bay,-79.4608204,46.3091152,51553,3548,City
3512005,Belleville,-77.3832315,44.1627589,50716,3512,City
3501012,Cornwall,-74.730345,45.0212762,46589,3501,City
3519044,Whitchurch-Stouffville,-79.2442842,43.9705861,45837,3519,City
3528018,Haldimand_County,-79.876197,42.9276849,45608,3528,City
3519070,Georgina,-79.436232,44.296296,45418,3519,City
3512015,Quinte_West,-77.5861029,44.1790105,43577,3512,City
3556027,Timmins,-81.3304953,48.4758208,41788,3556,City
3532042,Woodstock,-80.7471651,43.1314966,40902,3532,City
3534021,St._Thomas,-81.1826527,42.7777214,38909,3534,City
3529005,Brant,-80.171591,43.152667,36707,3529,City
3537064,Lakeshore,-82.683333,42.25,36611,3537,City
3543017,Innisfil,-79.6114973,44.3008813,36566,3543,City
3543014,Bradford_West_Gwillimbury,-79.5629529,44.114899,35325,3543,City
3543007,New_Tecumseth,-79.8685861,44.1529303,34242,3543,City
3531011,Stratford,-80.9822286,43.3700007,31465,3531,City
3543052,Orillia,-79.4196783,44.6082465,31166,3543,City
3526003,Fort_Erie,-78.9721745,42.9017764,30710,3526,City
3537034,LaSalle,-83.1024769,42.2355411,30180,3537,City
3522014,Orangeville,-80.0943113,43.9199788,28900,3522,City
3523025,Centre_Wellington,-80.3213106,43.7236325,28191,3523,City
3537003,Leamington,-82.5998874,42.0531634,27595,3537,City
3526065,Grimsby,-79.5624195,43.1942126,27314,3526,City
3530035,Woolwich,-80.4771472,43.5656002,25006,3530,City
3513020,Prince_Edward_County,-77.2504937,44.0003383,24735,3513,City
3502036,Clarence-Rockland,-75.280351,45.5508523,24512,3502,City
3519049,King,-79.6052884,43.9631844,24512,3519,City
3519054,East_Gwillimbury,-79.4417811,44.1010645,23991,3519,City
3526057,Lincoln,-79.4849,43.139227,23787,3526,City
3537048,Tecumseh,-82.8857592,42.3117966,23229,3537,City
3537028,Amherstburg,-83.1086977,42.1013779,21936,3537,City
3543031,Collingwood,-80.2169047,44.5007687,21793,3543,City
3518020,Scugog,-78.9740725,44.1294198,21617,3518,City
3537013,Kingsville,-82.7396377,42.0378703,21552,3537,City
3507015,Brockville,-75.6842858,44.5895244,21346,3507,City
3542059,Owen_Sound,-80.9405602,44.5690305,21341,3542,City
3518029,Uxbridge,-79.1204998,44.1094028,21176,3518,City
3543021,Essa,-79.7848422,44.280472,21083,3543,City
3543023,Oro-Medonte,-79.5920352,44.5620514,21036,3543,City
3539015,Strathroy-Caradoc,-81.6232333,42.95542,20867,3539,City
3543064,Wasaga_Beach,-80.0160668,44.5207419,20675,3543,City
3530020,Wilmot,-80.6498888,43.4000577,20545,3530,City
3537016,Essex,-82.818899,42.1726977,20427,3537,City
3544042,Huntsville,-79.2167539,45.3269323,19816,3544,City
3514021,Cobourg,-78.1677363,43.9593373,19440,3514,City
3543009,Springwater,-79.8744836,44.5130038,19059,3543,City
3526037,Thorold,-79.1989299,43.1236091,18801,3526,City
3510020,South_Frontenac,-76.5356683,44.538565,18646,3510,City
3526011,Port_Colborne,-79.2508558,42.8865204,18306,3526,City
3526047,Niagara-on-the-Lake,-79.0772616,43.2549988,17511,3526,City
3539033,Middlesex_Centre,-81.4510568,43.0500157,17262,3539,City
3547076,Petawawa,-77.2828772,45.8982631,17187,3547,City
3526028,Pelham,-79.328764,43.037222,17110,3526,City
3515015,Selwyn,-78.354093,44.4227884,17060,3515,City
3511005,Loyalist,-76.7182925,44.2770379,16971,3511,City
3543074,Midland,-79.8921923,44.749516,16864,3543,City
3514020,Port_Hope,-78.2934468,43.9491784,16753,3514,City
3502048,Russell,-75.357609,45.2592652,16520,3502,City
3507065,North_Grenville,-75.6281825,44.9552349,16451,3507,City
