,hospitalization,icu,cfr
0,0.013080871721890255,0.0012252812832703255,9.892531164114386e-05
1,0.013074551976521197,0.0012247657506074087,9.890065698956958e-05
2,0.01305070060275093,0.001222820076926595,9.880760778022108e-05
3,0.01300861252467594,0.0012193867457241548,9.86434133641847e-05
4,0.012938497157982778,0.0012136670909608921,9.836987861952735e-05
5,0.012828122229819097,0.0012046632660735618,9.793928288544312e-05
6,0.012663766036360472,0.001191255924300663,9.729809491865546e-05
7,0.012432017158266317,0.0011723510303096962,9.639399396070818e-05
8,0.012126572564373436,0.0011478086319690083,9.545444566005722e-05
9,0.011744426013149342,0.0011173913454675735,9.447300947976317e-05
10,0.011296094803335162,0.0010822558543944806,9.369193010950812e-05
11,0.010807677627962618,0.0010449721855829756,9.35100800211294e-05
12,0.01032205829066869,0.0010096052968105484,9.447647083182095e-05
13,0.009894873141755186,0.000981286633380399,9.720751138942268e-05
14,0.009583139844446245,0.000965088250515384,0.00010220910066315919
15,0.009428307618895553,0.0009644021041680489,0.00010965017439341126
16,0.009441325500278057,0.0009795846160834426,0.00011921192088757465
17,0.009599130234496189,0.0010077571431049482,0.00013013265774266012
18,0.009868304710582218,0.0010463963540254476,0.00014198764183471281
19,0.01019344264623113,0.0010896414402874822,0.0001537572125681682
20,0.01053668807408407,0.0011343574574344964,0.00016506120003176178
21,0.010877447741240663,0.0011794464916531485,0.00017592775429376285
22,0.011212190153269087,0.0012257825319735266,0.00018675171586535837
23,0.011550541787661281,0.0012757591623571267,0.00019819901541871188
24,0.011910100632255114,0.0013326534535349466,0.00021108217031133198
25,0.012312788868038278,0.0014000039224699346,0.0002262064310511927
26,0.012772611727553349,0.001480277870242068,0.0002442013385777696
27,0.013298933268339709,0.0015746474657375106,0.00026533379614206056
28,0.013893033510353132,0.00168444548120045,0.0002901326660733388
29,0.014538451362694028,0.0018061845847725541,0.00031781717593097955
30,0.015210695710873851,0.001936207503081012,0.0003477428169079715
31,0.015880876269779205,0.002070723337358585,0.0003793195364499833
32,0.016522873428491514,0.0022071896225637692,0.0004123302915207172
33,0.017120419220036466,0.002345650130575058,0.00044722195262735453
34,0.017668177317481635,0.0024882352279788304,0.00048494661602731514
35,0.018173419535353754,0.0026394179208283136,0.0005269507682763581
36,0.018651046846250626,0.002804190830063245,0.0005746688880374121
37,0.01911734176744488,0.0029861705032383293,0.0006289944277189947
38,0.019603672718532427,0.003191481206493787,0.0006925979792505093
39,0.020113687085976516,0.0034167971056645392,0.0007641920951625698
40,0.020656815188865887,0.003659212903027805,0.0008434730152711685
41,0.021243265303425102,0.003915502246018167,0.0009305214589928403
42,0.021889421651185324,0.00418452640109466,0.0010266080457589542
43,0.022616759176154112,0.004468277375221951,0.001134542263172719
44,0.02347026188723317,0.004776068360267269,0.0012594819431160505
45,0.024490832641707122,0.005118904987909602,0.001407159282086015
46,0.025715259144950743,0.005508232176734489,0.0015828352288971917
47,0.027163429464563064,0.005951698203364493,0.0017894535640164968
48,0.02886068342808057,0.006456891464819836,0.0020333248889523588
49,0.030767051981862803,0.007014499257293935,0.002309044049719626
50,0.03283707297847565,0.0076115846036609106,0.0026124300308883563
51,0.0350201383021217,0.008232307075707074,0.0029396774407672585
52,0.03728182630048176,0.008863951799977695,0.003290577218435309
53,0.03961868151484495,0.009500530986747588,0.0036705391759818146
54,0.04208876772567501,0.01015473519945922,0.0040948273226982445
55,0.04478471444588746,0.010847408307541592,0.0045838313264257215
56,0.047824463165036094,0.011607248294418539,0.005160892330685038
57,0.051320590481433025,0.01246294045177679,0.005846720373217272
58,0.05538891176306278,0.013437162032700336,0.0066700589359322505
59,0.06003777712695077,0.014533654815099233,0.007630387804190984
60,0.06522043828560908,0.015736494953268714,0.008723148484924188
61,0.07082412774330266,0.017009372075633244,0.009935465305181992
62,0.07670319745742721,0.018302481133937558,0.01125401367314275
63,0.08270503436070355,0.019557599820228377,0.012671639991809149
64,0.08882350956456238,0.020749644221006208,0.014212747241051142
65,0.095115497523405,0.021865168829793558,0.015918560709840632
66,0.10173805385668577,0.02291723495898403,0.017847873873209484
67,0.1088928947025302,0.023936802003900977,0.020060642081316533
68,0.11679362750385328,0.024935807505503275,0.022672890150322256
69,0.1254906269642956,0.025934983395397036,0.02568896600663773
70,0.1348937743236487,0.0269144611111996,0.029117269916759125
71,0.14473141214381735,0.02781551253565572,0.032940543518882204
72,0.1545827544461749,0.028542267930829597,0.037130645512006996
73,0.16385475663089843,0.02895563511436761,0.04163887953986447
74,0.17227824604564504,0.02897288994539035,0.046505759494593644
75,0.17956270602577995,0.028512626165713238,0.05173737914217268
76,0.1856298803649946,0.027559244483773556,0.05732175662721999
77,0.19057707677618566,0.02617073048334308,0.06319072829265172
78,0.19459308788202603,0.02446565556790053,0.06919897984256627
79,0.19787449446971175,0.0225956238893816,0.07513462774414587
80,0.20057576268212646,0.020714156179303098,0.0807571445301459
81,0.20279818369687003,0.01895150826570899,0.08584512309679815
82,0.20460341331080462,0.017400063785064368,0.09023560159453976
83,0.20595167334810383,0.016106942194115185,0.09380399661544132
84,0.2070115890305777,0.015090372826429886,0.09660924021777463
85,0.2078023315453484,0.014331968519809774,0.09870207214519378
86,0.20836188521704363,0.013795298356676108,0.10018302424698872
87,0.2087370824947672,0.013435445147897747,0.10117604640936524
88,0.20897518552112468,0.013207079583588683,0.1018062257740356
89,0.20911802192768728,0.013070084615118278,0.10218426614301554
90,0.20919893775541382,0.012992477921314418,0.10239842337439783
91,0.2092421891953696,0.012950995292371046,0.1025128955227337
92,0.2092639910715597,0.01293008502577206,0.10257059782369267
93,0.2092639910715597,0.01293008502577206,0.10257059782369267
94,0.2092639910715597,0.01293008502577206,0.10257059782369267
95,0.2092639910715597,0.01293008502577206,0.10257059782369267
96,0.2092639910715597,0.01293008502577206,0.10257059782369267
97,0.2092639910715597,0.01293008502577206,0.10257059782369267
98,0.2092639910715597,0.01293008502577206,0.10257059782369267
99,0.2092639910715597,0.01293008502577206,0.10257059782369267
