,Cases,ICU,Ventilator,Hospitalization,CFR
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,1.0,0.0,0.0,0.0,0.0
12,2.0,0.0,0.0,0.0,0.0
13,2.0,0.0,0.0,0.0,0.0
14,2.0,0.0,0.0,0.0,0.0
15,2.0,0.0,0.0,0.0,0.0
16,4.0,0.0,0.0,0.0,0.0
17,16.0,0.0,0.0,0.0,0.0
18,17.0,0.0,0.0,0.0,0.0
19,18.0,0.0,0.0,0.0,0.0
20,18.0,0.0,0.0,0.0,0.0
21,18.0,0.0,0.0,0.0,0.0
22,19.0,0.0,0.0,0.0,0.0
23,19.0,0.0,0.0,0.0,0.0
24,19.0,0.0,0.0,0.0,0.0
25,19.0,0.0,0.0,0.0,0.0
26,19.0,0.0,0.0,0.0,0.0
27,18.0,0.0,0.0,0.0,0.0
28,18.0,0.0,0.0,0.0,0.0
29,17.0,0.0,0.0,0.0,0.0
30,17.0,0.0,0.0,0.0,0.0
31,17.0,0.0,0.0,0.0,0.0
32,17.0,0.0,0.0,0.0,0.0
33,17.0,0.0,0.0,0.0,0.0
34,17.0,0.0,0.0,0.0,0.0
35,17.0,0.0,0.0,0.0,0.0
36,17.0,0.0,0.0,0.0,0.0
37,17.0,0.0,0.0,0.0,0.0
38,17.0,0.0,0.0,0.0,0.0
39,18.0,0.0,0.0,0.0,0.0
40,19.0,0.0,0.0,0.0,0.0
41,19.0,0.0,0.0,0.0,0.0
42,21.0,0.0,0.0,0.0,0.0
43,22.0,0.0,0.0,0.0,0.0
44,25.0,0.0,0.0,0.0,0.0
45,27.0,0.0,0.0,0.0,0.0
46,30.0,0.0,0.0,0.0,0.0
47,36.0,0.0,0.0,0.0,0.0
48,42.0,0.0,0.0,0.0,0.0
49,49.0,0.0,0.0,0.0,0.0
50,58.0,0.0,0.0,0.0,0.0
51,70.0,0.0,0.0,0.0,0.0
52,83.0,0.0,0.0,0.0,0.0
