date,retail,grocery,park,trainsit,workplace,residential
2/15/2020,2,3,20,5,1,-1
2/16/2020,16,13,44,5,-2,-2
2/17/2020,-26,-37,70,-40,-72,16
2/18/2020,-1,12,-5,2,0,1
2/19/2020,0,4,-4,-2,1,0
2/20/2020,4,4,3,0,2,0
2/21/2020,1,-3,11,-1,-7,1
2/22/2020,8,6,44,11,7,-2
2/23/2020,12,6,53,9,5,-1
2/24/2020,2,2,18,-2,2,0
2/25/2020,1,7,2,1,3,0
2/26/2020,-8,-5,-15,-6,-2,3
2/27/2020,-13,-12,-17,-5,-8,5
2/28/2020,-5,-4,-10,-1,-1,2
2/29/2020,5,6,9,6,8,-1
3/1/2020,11,10,23,4,6,-1
3/2/2020,2,4,0,-2,4,0
3/3/2020,1,3,-6,0,4,0
3/4/2020,4,4,1,0,4,0
3/5/2020,6,6,21,2,0,0
3/6/2020,-3,-4,-4,-3,3,1
3/7/2020,10,9,41,8,9,-1
3/8/2020,13,10,86,6,5,-1
3/9/2020,4,5,41,-3,3,1
3/10/2020,1,4,-2,-4,3,1
3/11/2020,3,7,1,-5,2,1
3/12/2020,6,32,9,-6,1,1
3/13/2020,-3,41,-7,-16,-4,3
3/14/2020,-10,26,5,-17,0,3
3/15/2020,-10,14,44,-22,-6,4
3/16/2020,-12,27,10,-39,-31,11
3/17/2020,-29,15,2,-46,-39,15
3/18/2020,-36,1,1,-51,-44,17
3/19/2020,-38,2,11,-54,-47,19
3/20/2020,-45,-8,-15,-56,-49,21
3/21/2020,-48,-12,16,-49,-34,13
3/22/2020,-51,-22,6,-55,-38,12
3/23/2020,-47,-13,-39,-66,-55,22
3/24/2020,-48,-12,-6,-64,-57,22
3/25/2020,-54,-23,5,-67,-61,25
3/26/2020,-55,-22,-10,-68,-61,26
3/27/2020,-54,-21,10,-67,-61,26
3/28/2020,-60,-29,-31,-65,-46,16
3/29/2020,-59,-33,-14,-66,-46,14
3/30/2020,-55,-27,-34,-71,-63,25
3/31/2020,-51,-17,-27,-69,-62,24
4/1/2020,-51,-21,1,-69,-63,25
4/2/2020,-51,-20,3,-69,-63,26
4/3/2020,-55,-22,-28,-70,-62,27
4/4/2020,-57,-27,-18,-63,-46,16
4/5/2020,-60,-32,-11,-67,-47,14
4/6/2020,-55,-23,-5,-70,-63,24
4/7/2020,-55,-18,-21,-69,-63,25
4/8/2020,-52,-14,-10,-69,-64,25
4/9/2020,-44,7,-31,-68,-64,25
4/10/2020,-82,-67,-38,-81,-86,36
4/11/2020,-54,-9,-20,-62,-48,16
4/12/2020,-80,-68,-20,-70,-55,15
4/13/2020,-58,-25,-47,-75,-69,27
4/14/2020,-52,-14,-31,-70,-63,25
4/15/2020,-53,-20,-37,-70,-63,26
4/16/2020,-54,-19,-32,-70,-63,27
4/17/2020,-56,-23,-33,-69,-62,28
4/18/2020,-58,-27,-11,-58,-43,15
4/19/2020,-61,-36,-36,-66,-44,14
4/20/2020,-53,-23,-5,-68,-62,24
4/21/2020,-56,-26,-44,-70,-62,25
4/22/2020,-54,-22,-27,-69,-62,25
4/23/2020,-54,-21,-25,-68,-62,26
4/24/2020,-56,-25,-19,-67,-61,26
4/25/2020,-56,-25,22,-54,-41,14
4/26/2020,-59,-32,-36,-65,-43,14
4/27/2020,-51,-20,19,-65,-60,23
