GEO_CODE_(POR),GEO_NAME,GEO_CODE_(POW),GEO_NAME,Dim:_Sex_(3):_Member_ID:_[1]:_Total_-_Sex,Dim:_Sex_(3):_Member_ID:_[2]:_Male,Dim:_Sex_(3):_Member_ID:_[3]:_Female
3501050,North_Glengarry,3501050,North_Glengarry,1710,850,855
3501050,North_Glengarry,3501042,North_Stormont,130,95,30
3501050,North_Glengarry,3501020,South_Dundas,30,15,15
3501050,North_Glengarry,3501012,Cornwall,340,145,200
3501050,North_Glengarry,3501011,South_Stormont,55,40,10
3501050,North_Glengarry,3501005,South_Glengarry,205,85,120
3502001,East_Hawkesbury,3506008,Ottawa,60,40,15
3502001,East_Hawkesbury,3502036,Clarence-Rockland,20,0,15
3502001,East_Hawkesbury,3502025,The_Nation_La_Nation,20,20,0
3502001,East_Hawkesbury,3502023,Alfred_and_Plantagenet,20,10,10
3502001,East_Hawkesbury,3502010,Champlain,185,105,80
3502001,East_Hawkesbury,3502008,Hawkesbury,315,130,185
3502001,East_Hawkesbury,3502001,East_Hawkesbury,190,95,95
3502001,East_Hawkesbury,3501050,North_Glengarry,50,15,30
3502008,Hawkesbury,3506008,Ottawa,170,100,70
3502008,Hawkesbury,3502044,Casselman,25,15,10
3502008,Hawkesbury,3502036,Clarence-Rockland,50,20,35
3502008,Hawkesbury,3502025,The_Nation_La_Nation,55,50,10
3502008,Hawkesbury,3502023,Alfred_and_Plantagenet,95,45,50
3502008,Hawkesbury,3502010,Champlain,435,270,165
3502008,Hawkesbury,3502008,Hawkesbury,2125,880,1245
3502008,Hawkesbury,3502001,East_Hawkesbury,60,20,45
3502008,Hawkesbury,3501050,North_Glengarry,40,30,20
3502008,Hawkesbury,3501012,Cornwall,20,10,10
3502010,Champlain,3506008,Ottawa,240,120,120
3502010,Champlain,3502048,Russell,30,10,20
3502010,Champlain,3502044,Casselman,30,10,20
3502010,Champlain,3502036,Clarence-Rockland,45,10,35
3502010,Champlain,3502025,The_Nation_La_Nation,90,50,40
3502010,Champlain,3502023,Alfred_and_Plantagenet,125,65,60
3502010,Champlain,3502010,Champlain,940,500,440
3502010,Champlain,3502008,Hawkesbury,1450,635,810
3502010,Champlain,3502001,East_Hawkesbury,50,30,20
3502010,Champlain,3501050,North_Glengarry,100,45,55
3502010,Champlain,3501042,North_Stormont,20,10,15
3502010,Champlain,3501012,Cornwall,40,0,40
3502010,Champlain,3501005,South_Glengarry,40,20,15
3502023,Alfred_and_Plantagenet,3506008,Ottawa,1245,555,690
3502023,Alfred_and_Plantagenet,3502048,Russell,50,25,25
3502023,Alfred_and_Plantagenet,3502044,Casselman,25,20,0
3502023,Alfred_and_Plantagenet,3502036,Clarence-Rockland,645,250,390
3502023,Alfred_and_Plantagenet,3502025,The_Nation_La_Nation,70,45,25
3502023,Alfred_and_Plantagenet,3502023,Alfred_and_Plantagenet,810,355,455
3502023,Alfred_and_Plantagenet,3502010,Champlain,155,95,55
3502023,Alfred_and_Plantagenet,3502008,Hawkesbury,290,120,170
3502023,Alfred_and_Plantagenet,3501050,North_Glengarry,25,0,15
3502023,Alfred_and_Plantagenet,3501012,Cornwall,30,15,15
3502025,The_Nation_La_Nation,3506008,Ottawa,2875,1380,1495
3502025,The_Nation_La_Nation,3502048,Russell,460,230,225
3502025,The_Nation_La_Nation,3502044,Casselman,555,235,320
3502025,The_Nation_La_Nation,3502036,Clarence-Rockland,115,55,60
3502025,The_Nation_La_Nation,3502025,The_Nation_La_Nation,840,460,380
3502025,The_Nation_La_Nation,3502023,Alfred_and_Plantagenet,85,30,60
3502025,The_Nation_La_Nation,3502010,Champlain,140,70,70
3502025,The_Nation_La_Nation,3502008,Hawkesbury,115,45,70
3502025,The_Nation_La_Nation,3501050,North_Glengarry,90,65,25
3502025,The_Nation_La_Nation,3501042,North_Stormont,50,15,30
3502025,The_Nation_La_Nation,3501030,North_Dundas,35,20,20
3502025,The_Nation_La_Nation,3501012,Cornwall,85,25,55
3502036,Clarence-Rockland,3547002,Arnprior,20,0,15
3502036,Clarence-Rockland,3507065,North_Grenville,20,10,10
3502036,Clarence-Rockland,3506008,Ottawa,6505,3185,3315
3502036,Clarence-Rockland,3502048,Russell,120,55,65
3502036,Clarence-Rockland,3502044,Casselman,65,30,35
3502036,Clarence-Rockland,3502036,Clarence-Rockland,2635,1075,1560
3502036,Clarence-Rockland,3502025,The_Nation_La_Nation,95,55,45
3502036,Clarence-Rockland,3502023,Alfred_and_Plantagenet,135,85,55
3502036,Clarence-Rockland,3502010,Champlain,75,55,20
3502036,Clarence-Rockland,3502008,Hawkesbury,65,20,40
3502036,Clarence-Rockland,3501012,Cornwall,20,10,20
3502044,Casselman,3506008,Ottawa,680,320,355
3502044,Casselman,3502048,Russell,140,55,90
3502044,Casselman,3502044,Casselman,455,185,270
3502044,Casselman,3502025,The_Nation_La_Nation,105,50,55
3502044,Casselman,3501050,North_Glengarry,20,10,10
3502044,Casselman,3501012,Cornwall,35,10,20
3502048,Russell,3506008,Ottawa,4845,2510,2330
3502048,Russell,3502048,Russell,1480,580,910
3502048,Russell,3502044,Casselman,195,95,105
3502048,Russell,3502036,Clarence-Rockland,35,15,30
3502048,Russell,3502025,The_Nation_La_Nation,180,95,90
3502048,Russell,3502023,Alfred_and_Plantagenet,20,0,10
3502048,Russell,3502010,Champlain,20,10,15
3502048,Russell,3502008,Hawkesbury,25,10,10
3502048,Russell,3501042,North_Stormont,20,20,0
3502048,Russell,3501030,North_Dundas,90,25,65
3502048,Russell,3501012,Cornwall,25,20,10
3506008,Ottawa,3557061,Sault_Ste._Marie,25,15,10
3506008,Ottawa,3553005,Greater_Sudbury_Grand_Sudbury,50,35,10
3506008,Ottawa,3548044,North_Bay,45,15,30
3506008,Ottawa,3547090,Laurentian_Hills,70,55,15
3506008,Ottawa,3547076,Petawawa,110,105,10
3506008,Ottawa,3547064,Pembroke,85,45,45
3506008,Ottawa,3547056,Whitewater_Region,20,10,10
3506008,Ottawa,3547048,Renfrew,130,65,65
3506008,Ottawa,3547003,McNab_Braeside,35,30,0
3506008,Ottawa,3547002,Arnprior,610,310,300
3506008,Ottawa,3544042,Huntsville,20,15,10
3506008,Ottawa,3543021,Essa,40,35,0
3506008,Ottawa,3539036,London,80,25,50
3506008,Ottawa,3530016,Waterloo,45,45,10
3506008,Ottawa,3530013,Kitchener,20,10,10
3506008,Ottawa,3530010,Cambridge,20,15,0
3506008,Ottawa,3525005,Hamilton,70,25,40
3506008,Ottawa,3523008,Guelph,80,40,35
3506008,Ottawa,3521010,Brampton,40,25,20
3506008,Ottawa,3521005,Mississauga,200,135,70
