"report_date","previous_day_total_doses_administered","previous_day_at_least_one","previous_day_fully_vaccinated","previous_day_3doses","total_doses_administered","total_individuals_at_least_one","total_individuals_partially_vaccinated","total_doses_in_fully_vaccinated_individuals","total_individuals_fully_vaccinated","total_individuals_3doses"
2020-12-24,,,,,10756,,,,,
2020-12-30,7847,,,,18603,,,,,
2020-12-31,4899,,,,23502,,,,,
2021-01-01,5385,,,,28887,,,,,
2021-01-02,4304,,,,33191,,,,,
2021-01-03,4360,,,,37551,,,,,
2021-01-04,4868,,,,42419,,,,,
2021-01-05,7611,,,,50030,,,,,
2021-01-06,10350,,,,60380,59950,,860,430,
2021-01-07,12251,11594,657,,72631,71544,,2173,1087,
2021-01-08,14932,13992,940,,87563,85536,,4053,2027,
2021-01-09,15700,14787,913,,103263,100323,,5880,2940,
2021-01-10,9983,9981,2,,113246,110304,,5884,2942,
2021-01-11,8859,8859,0,,122105,119163,,5884,2942,
2021-01-12,11448,11367,81,,133553,130530,,6046,3023,
2021-01-13,11231,9865,1366,,144784,140395,,8778,4389,
2021-01-14,14237,11979,2258,,159021,152374,,13293,6647,
2021-01-15,15609,13709,1900,,174630,166083,,17094,8547,
2021-01-16,14460,13340,1120,,189090,179423,,19333,9667,
2021-01-17,11007,9817,1190,,200097,189240,,21714,10857,
2021-01-18,9691,9672,19,,209788,198912,,21752,10876,
2021-01-19,14346,12417,1929,,224134,211329,,25609,12805,
2021-01-20,13784,10408,3376,,237918,221737,,32361,16181,
2021-01-21,15899,11967,3932,,253817,233704,,40225,20113,
2021-01-22,11168,6635,4533,,264985,240339,,49292,24646,
2021-01-23,11161,6853,4308,,276146,247192,,57907,28954,
2021-01-24,4427,1940,2487,,280573,249132,,62881,31441,
2021-01-25,5537,1350,4187,,286110,250482,,71256,35628,
2021-01-26,9707,3692,6015,,295817,254174,,83285,41643,
2021-01-27,9513,2926,6587,,305330,257100,,96459,48230,
2021-01-28,11910,4854,7056,,317240,261954,,110571,55286,
2021-01-29,10215,3822,6393,,327455,265776,,123357,61679,
2021-01-30,9373,3265,6108,,336828,269041,,135574,67787,
2021-01-31,2816,1754,1062,,339644,270795,,137698,68849,
2021-02-01,2256,812,1444,,341900,271607,,140585,70293,
2021-02-02,2715,951,1764,,344615,272558,,144113,72057,
2021-02-03,3716,779,2937,,348331,273337,,149987,74994,
2021-02-04,6724,741,5983,,355055,274078,,161954,80977,
2021-02-05,7694,840,6854,,362749,274918,,175662,87831,
2021-02-06,9917,1175,8742,,372666,276093,,193146,96573,
2021-02-07,6518,1347,5171,,379184,277440,,203487,101744,
2021-02-08,6987,2568,4419,,386171,280008,,212326,106163,
2021-02-09,12462,3096,9366,,398633,283104,,231058,115529,
2021-02-10,13486,3290,10196,,412119,286394,,251449,125725,
2021-02-11,14717,3454,11263,,426836,289848,,273975,136988,
2021-02-12,15605,1311,14294,,442441,291159,,302563,151282,
2021-02-13,14506,1481,13025,,456947,292640,,328614,164307,
2021-02-14,10679,343,10336,,467626,292983,,349286,174643,
2021-02-15,7698,204,7494,,475324,293187,,364274,182137,
2021-02-16,5053,256,4797,,480377,293443,,373867,186934,
2021-02-17,9107,675,8432,,489484,294118,,390731,195366,
2021-02-18,12383,1947,10436,,501867,296065,,411604,205802,
2021-02-19,16967,5054,11913,,518834,301119,,435429,217715,
2021-02-20,21295,9859,11436,,540129,310978,,458301,229151,
2021-02-21,16404,9633,6771,,556533,320611,,471843,235922,
2021-02-22,12922,8175,4747,,569455,328786,,481337,240669,
2021-02-23,16252,9879,6373,,585707,338665,,494083,247042,
2021-02-24,17141,12593,4548,,602848,351258,,503180,251590,
2021-02-25,19112,15253,3859,,621960,366511,,510897,255449,
2021-02-26,21805,19240,2565,,643765,385751,,516028,258014,
2021-02-27,24339,21381,2958,,668104,407132,,521943,260972,
2021-02-28,19167,18036,1131,,687271,425168,,524205,262103,
2021-03-01,17424,16313,1111,,704695,441481,,526427,263214,
2021-03-02,22326,20644,1682,,727021,462125,,529792,264896,
2021-03-03,27398,25584,1814,,754419,487709,,533420,266710,
2021-03-04,30409,29001,1408,,784828,516710,,536235,268118,
2021-03-05,35886,34941,945,,820714,551651,,538126,269063,
2021-03-06,39698,38136,1562,,860412,589787,,541250,270625,
2021-03-07,30192,29010,1182,,890604,618797,,543614,271807,
2021-03-08,21882,20013,1869,,912486,638810,,547352,273676,
2021-03-09,31047,28530,2517,,943533,667340,,552385,276193,
2021-03-10,35264,32253,3011,,978797,699593,,558407,279204,
2021-03-11,40610,38100,2510,,1019407,737693,,563428,281714,
2021-03-12,43503,42469,1034,,1062910,780162,,565495,282748,
2021-03-13,53586,51648,1938,,1116496,831810,,569371,284686,
2021-03-14,41859,40930,929,,1158355,872740,,571229,285615,
2021-03-15,33198,31530,1668,,1191553,904270,,574566,287283,
2021-03-16,51579,49944,1635,,1243132,954214,,577836,288918,
2021-03-17,58202,56461,1741,,1301334,1010675,,581318,290659,
2021-03-18,58119,56509,1610,,1359453,1067184,,584537,292269,
2021-03-19,61146,58666,2480,,1420599,1125850,,589498,294749,
2021-03-20,60283,57898,2385,,1480882,1183748,,594267,297134,
2021-03-21,40823,39408,1415,,1521705,1223156,,597098,298549,
2021-03-22,31335,30587,748,,1553040,1253743,,598594,299297,
2021-03-23,50659,48913,1746,,1603699,1302656,,602086,301043,
2021-03-24,72451,70830,1621,,1676150,1373486,,605328,302664,
2021-03-25,79446,77724,1722,,1755596,1451210,,608771,304386,
2021-03-26,82996,81009,1987,,1838592,1532219,,612746,306373,
2021-03-27,77740,75812,1928,,1916332,1608031,,616602,308301,
2021-03-28,64950,63966,984,,1981282,1671997,,618570,309285,
2021-03-29,50453,48490,1963,,2031735,1720487,,622495,311248,
