"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-11","Ontario","2016A000235","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063943","7.1.1.1.1.1","12585.2","","","","1"
"2022-11","Ontario","2016A000235","Population","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063970","7.1.1.2.1.1","1864.1","","","","1"
"2022-11","Ontario","2016A000235","Population","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064051","7.1.1.5.1.1","10721.1","","","","1"
"2022-11","Ontario","2016A000235","Population","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064078","7.1.1.6.1.1","6004.4","","","","1"
"2022-11","Ontario","2016A000235","Population","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064105","7.1.1.7.1.1","4716.7","","","","1"
"2022-11","Ontario","2016A000235","Labour force","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063944","7.2.1.1.1.1","8153.8","","","","1"
"2022-11","Ontario","2016A000235","Labour force","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063971","7.2.1.2.1.1","1147.3","","","","1"
"2022-11","Ontario","2016A000235","Labour force","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064052","7.2.1.5.1.1","7006.5","","","","1"
"2022-11","Ontario","2016A000235","Labour force","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064079","7.2.1.6.1.1","5259.1","","","","1"
"2022-11","Ontario","2016A000235","Labour force","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064106","7.2.1.7.1.1","1747.4","","","","1"
"2022-11","Ontario","2016A000235","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063945","7.3.1.1.1.1","7701.6","","","","1"
"2022-11","Ontario","2016A000235","Employment","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063972","7.3.1.2.1.1","1007.8","","","","1"
"2022-11","Ontario","2016A000235","Employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064053","7.3.1.5.1.1","6693.8","","","","1"
"2022-11","Ontario","2016A000235","Employment","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064080","7.3.1.6.1.1","5028.0","","","","1"
"2022-11","Ontario","2016A000235","Employment","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064107","7.3.1.7.1.1","1665.7","","","","1"
"2022-11","Ontario","2016A000235","Full-time employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063946","7.4.1.1.1.1","6375.2","","","","1"
"2022-11","Ontario","2016A000235","Full-time employment","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063973","7.4.1.2.1.1","518.7","","","","1"
"2022-11","Ontario","2016A000235","Full-time employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064054","7.4.1.5.1.1","5856.5","","","","1"
"2022-11","Ontario","2016A000235","Full-time employment","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064081","7.4.1.6.1.1","4515.8","","","","1"
"2022-11","Ontario","2016A000235","Full-time employment","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064108","7.4.1.7.1.1","1340.6","","","","1"
"2022-11","Ontario","2016A000235","Part-time employment ","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063947","7.5.1.1.1.1","1326.4","","","","1"
"2022-11","Ontario","2016A000235","Part-time employment ","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063974","7.5.1.2.1.1","489.1","","","","1"
"2022-11","Ontario","2016A000235","Part-time employment ","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064055","7.5.1.5.1.1","837.3","","","","1"
"2022-11","Ontario","2016A000235","Part-time employment ","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064082","7.5.1.6.1.1","512.2","","","","1"
"2022-11","Ontario","2016A000235","Part-time employment ","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064109","7.5.1.7.1.1","325.1","","","","1"
"2022-11","Ontario","2016A000235","Unemployment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063948","7.6.1.1.1.1","452.1","","","","1"
"2022-11","Ontario","2016A000235","Unemployment","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063975","7.6.1.2.1.1","139.4","","","","1"
