country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline
Canada,Ontario,Thunder Bay District,2020-02-15,-5,4,17,11,-4
Canada,Ontario,Thunder Bay District,2020-02-16,3,14,14,4,-2
Canada,Ontario,Thunder Bay District,2020-02-17,-43,-51,,-18,-67
Canada,Ontario,Thunder Bay District,2020-02-18,3,24,-7,-5,-2
Canada,Ontario,Thunder Bay District,2020-02-19,-3,3,-10,-8,-2
Canada,Ontario,Thunder Bay District,2020-02-20,3,12,-7,-6,0
Canada,Ontario,Thunder Bay District,2020-02-21,1,1,32,3,-6
Canada,Ontario,Thunder Bay District,2020-02-22,4,8,56,14,7
Canada,Ontario,Thunder Bay District,2020-02-23,7,10,42,7,4
Canada,Ontario,Thunder Bay District,2020-02-24,-1,5,,0,0
Canada,Ontario,Thunder Bay District,2020-02-25,4,5,17,-6,1
Canada,Ontario,Thunder Bay District,2020-02-26,2,7,17,-2,0
Canada,Ontario,Thunder Bay District,2020-02-27,2,11,19,-6,2
Canada,Ontario,Thunder Bay District,2020-02-28,4,4,18,-5,-1
Canada,Ontario,Thunder Bay District,2020-02-29,9,12,16,15,6
Canada,Ontario,Thunder Bay District,2020-03-01,7,15,41,18,2
Canada,Ontario,Thunder Bay District,2020-03-02,2,4,11,1,3
Canada,Ontario,Thunder Bay District,2020-03-03,2,4,4,2,4
Canada,Ontario,Thunder Bay District,2020-03-04,5,7,18,7,2
Canada,Ontario,Thunder Bay District,2020-03-05,-8,-5,-9,2,-1
Canada,Ontario,Thunder Bay District,2020-03-06,1,4,15,-1,7
Canada,Ontario,Thunder Bay District,2020-03-07,7,9,49,10,6
Canada,Ontario,Thunder Bay District,2020-03-08,5,10,34,4,4
Canada,Ontario,Thunder Bay District,2020-03-09,-1,4,10,-5,2
Canada,Ontario,Thunder Bay District,2020-03-10,5,11,21,1,4
Canada,Ontario,Thunder Bay District,2020-03-11,5,14,16,1,3
Canada,Ontario,Thunder Bay District,2020-03-12,8,36,7,3,4
Canada,Ontario,Thunder Bay District,2020-03-13,0,28,-9,-5,2
Canada,Ontario,Thunder Bay District,2020-03-14,-3,24,22,0,4
Canada,Ontario,Thunder Bay District,2020-03-15,-8,15,29,-1,-3
Canada,Ontario,Thunder Bay District,2020-03-16,-11,23,14,-26,-24
Canada,Ontario,Thunder Bay District,2020-03-17,-21,26,,-27,-29
Canada,Ontario,Thunder Bay District,2020-03-18,-30,12,,-31,-34
Canada,Ontario,Thunder Bay District,2020-03-19,-35,8,-1,-38,-39
Canada,Ontario,Thunder Bay District,2020-03-20,-36,6,30,-27,-38
Canada,Ontario,Thunder Bay District,2020-03-21,-44,-6,32,-16,-29
Canada,Ontario,Thunder Bay District,2020-03-22,-44,-10,33,-20,-31
Canada,Ontario,Thunder Bay District,2020-03-23,-35,1,,-39,-43
Canada,Ontario,Thunder Bay District,2020-03-24,-41,-3,,-38,-46
Canada,Ontario,Thunder Bay District,2020-03-25,-49,-12,26,-44,-50
Canada,Ontario,Thunder Bay District,2020-03-26,-47,-9,,-45,-49
Canada,Ontario,Thunder Bay District,2020-03-27,-48,-13,52,-45,-48
Canada,Ontario,Thunder Bay District,2020-03-28,-53,-16,34,-25,-37
Canada,Ontario,Thunder Bay District,2020-03-29,-56,-32,-24,-46,-39
Canada,Ontario,Thunder Bay District,2020-03-30,-49,-16,,-54,-52
Canada,Ontario,Thunder Bay District,2020-03-31,-42,-5,29,-50,-53
Canada,Ontario,Thunder Bay District,2020-04-01,-46,-14,25,-53,-53
Canada,Ontario,Thunder Bay District,2020-04-02,-48,-13,27,-54,-52
Canada,Ontario,Thunder Bay District,2020-04-03,-49,-18,13,-53,-51
Canada,Ontario,Thunder Bay District,2020-04-04,-55,-23,-12,-40,-40
Canada,Ontario,Thunder Bay District,2020-04-05,-58,-26,22,-44,-40
Canada,Ontario,Thunder Bay District,2020-04-06,-51,-20,,-58,-55
Canada,Ontario,Thunder Bay District,2020-04-07,-53,-11,-12,-60,-55
Canada,Ontario,Thunder Bay District,2020-04-08,-48,-4,16,-56,-55
Canada,Ontario,Thunder Bay District,2020-04-09,-37,20,-6,-53,-54
Canada,Ontario,Thunder Bay District,2020-04-10,-78,-66,37,-66,-79
Canada,Ontario,Thunder Bay District,2020-04-11,-50,0,4,-43,-43
Canada,Ontario,Thunder Bay District,2020-04-12,-82,-66,5,-59,-52
Canada,Ontario,Thunder Bay District,2020-04-13,-59,-25,-19,-69,-64
Canada,Ontario,Thunder Bay District,2020-04-14,-51,-11,-13,-58,-55
Canada,Ontario,Thunder Bay District,2020-04-15,-49,-10,11,-55,-55
Canada,Ontario,Thunder Bay District,2020-04-16,-55,-16,3,-55,-55
Canada,Ontario,Thunder Bay District,2020-04-17,-56,-19,33,-52,-53
Canada,Ontario,Thunder Bay District,2020-04-18,-58,-24,4,-41,-39
Canada,Ontario,Thunder Bay District,2020-04-19,-56,-25,11,-46,-38
Canada,Ontario,Thunder Bay District,2020-04-20,-53,-16,,-56,-53
Canada,Ontario,Thunder Bay District,2020-04-21,-50,-12,19,-55,-53
Canada,Ontario,Thunder Bay District,2020-04-22,-50,-12,38,-54,-53
Canada,Ontario,Thunder Bay District,2020-04-23,-51,-10,31,-55,-52
Canada,Ontario,Thunder Bay District,2020-04-24,-54,-16,51,-48,-50
Canada,Ontario,Thunder Bay District,2020-04-25,-56,-17,48,-36,-38
Canada,Ontario,Thunder Bay District,2020-04-26,-52,-16,55,-44,-35
Canada,Ontario,Thunder Bay District,2020-04-27,-54,-14,,-58,-51
Canada,Ontario,Thunder Bay District,2020-04-28,-50,-7,20,-52,-51
Canada,Ontario,Thunder Bay District,2020-04-29,-46,-5,,-48,-50
Canada,Ontario,Thunder Bay District,2020-04-30,-43,4,,-43,-48
Canada,Ontario,Thunder Bay District,2020-05-01,-46,-7,,-43,-46
Canada,Ontario,Thunder Bay District,2020-05-02,-54,-15,25,-32,-38
Canada,Ontario,Thunder Bay District,2020-05-03,-53,-16,26,-44,-34
Canada,Ontario,Thunder Bay District,2020-05-04,-48,-1,,-49,-49
Canada,Ontario,Thunder Bay District,2020-05-05,-43,-3,,-49,-47
Canada,Ontario,Thunder Bay District,2020-05-06,-44,-3,,-47,-49
Canada,Ontario,Thunder Bay District,2020-05-07,-47,-7,34,-52,-48
Canada,Ontario,Thunder Bay District,2020-05-08,-50,-9,25,-47,-46
Canada,Ontario,Thunder Bay District,2020-05-09,-46,-3,30,-31,-30
Canada,Ontario,Thunder Bay District,2020-05-10,-43,-6,14,-39,-26
Canada,Ontario,Thunder Bay District,2020-05-11,-45,-9,,-48,-45
Canada,Ontario,Thunder Bay District,2020-05-12,-40,-5,,-45,-46
Canada,Ontario,Thunder Bay District,2020-05-13,-41,-6,,-45,-47
Canada,Ontario,Thunder Bay District,2020-05-14,-42,-1,28,-51,-47
Canada,Ontario,Thunder Bay District,2020-05-15,-42,-6,,-45,-45
