country_region,sub_region_1,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline
Canada,Ontario,2022-06-20,1,9,94,-34,-27
Canada,Ontario,2022-06-20,19,26,,-29,-8
Canada,Ontario,2022-06-20,33,,,,-11
Canada,Ontario,2022-06-20,7,26,,,-10
Canada,Ontario,2022-06-20,65,49,,,25
Canada,Ontario,2022-06-20,10,14,,47,-7
Canada,Ontario,2022-06-20,8,43,,-43,-17
Canada,Ontario,2022-06-20,18,18,,,-12
Canada,Ontario,2022-06-20,18,7,,63,-5
Canada,Ontario,2022-06-20,0,15,146,-33,-19
Canada,Ontario,2022-06-20,6,4,102,-22,-23
Canada,Ontario,2022-06-20,10,14,,-40,-7
Canada,Ontario,2022-06-20,36,18,59,,-6
Canada,Ontario,2022-06-20,47,3,,,-10
Canada,Ontario,2022-06-20,,,,,0
Canada,Ontario,2022-06-20,4,14,48,-35,-17
Canada,Ontario,2022-06-20,25,34,,67,1
Canada,Ontario,2022-06-20,29,28,,,1
Canada,Ontario,2022-06-20,26,31,,,-8
Canada,Ontario,2022-06-20,60,37,,,-4
Canada,Ontario,2022-06-20,15,14,,-41,0
Canada,Ontario,2022-06-20,36,21,,,-16
Canada,Ontario,2022-06-20,31,30,,117,-12
Canada,Ontario,2022-06-20,,58,,77,-8
Canada,Ontario,2022-06-20,,,,,7
Canada,Ontario,2022-06-20,0,5,57,-50,-21
Canada,Ontario,2022-06-20,26,46,,,2
Canada,Ontario,2022-06-20,33,14,,-21,-7
Canada,Ontario,2022-06-20,23,25,,,-2
Canada,Ontario,2022-06-20,40,37,,58,-5
Canada,Ontario,2022-06-20,-7,6,65,-47,-43
Canada,Ontario,2022-06-20,9,29,,13,-19
Canada,Ontario,2022-06-20,80,46,,,12
Canada,Ontario,2022-06-20,19,16,,,-1
Canada,Ontario,2022-06-20,19,27,,-25,-16
Canada,Ontario,2022-06-20,37,24,,,-18
Canada,Ontario,2022-06-20,,,,,-14
Canada,Ontario,2022-06-20,,,,,-12
Canada,Ontario,2022-06-20,6,7,42,-50,-28
Canada,Ontario,2022-06-20,-1,13,139,-42,-33
Canada,Ontario,2022-06-20,22,14,65,-49,-21
Canada,Ontario,2022-06-20,-5,4,77,-22,-33
Canada,Ontario,2022-06-20,5,7,188,-34,-32
Canada,Ontario,2022-06-20,30,34,,,-4
Canada,Ontario,2022-06-20,17,18,199,-22,-8
Canada,Ontario,2022-06-20,,,,,3
Canada,Ontario,2022-06-20,8,20,,-24,-17
Canada,Ontario,2022-06-20,34,23,,,-3
Canada,Ontario,2022-06-20,-11,2,49,-38,-37
Canada,Ontario,2022-06-20,0,8,-13,-36,-24
Canada,Ontario,2022-06-20,-3,4,83,-16,-28
