country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline
Canada,Ontario,Essex County,2020-02-15,0,-2,8,6,1
Canada,Ontario,Essex County,2020-02-16,9,1,62,1,1
Canada,Ontario,Essex County,2020-02-17,-17,-15,58,-38,-53
Canada,Ontario,Essex County,2020-02-18,-1,8,2,8,1
Canada,Ontario,Essex County,2020-02-19,0,2,6,8,3
Canada,Ontario,Essex County,2020-02-20,5,2,4,0,2
Canada,Ontario,Essex County,2020-02-21,1,-3,8,-2,-7
Canada,Ontario,Essex County,2020-02-22,8,3,86,21,4
Canada,Ontario,Essex County,2020-02-23,8,0,91,11,1
Canada,Ontario,Essex County,2020-02-24,-1,-1,9,2,4
Canada,Ontario,Essex County,2020-02-25,-1,4,-8,2,4
Canada,Ontario,Essex County,2020-02-26,-10,-9,-20,-7,2
Canada,Ontario,Essex County,2020-02-27,-2,-4,-12,-6,1
Canada,Ontario,Essex County,2020-02-28,2,-2,-2,0,3
Canada,Ontario,Essex County,2020-02-29,8,4,37,12,6
Canada,Ontario,Essex County,2020-03-01,10,3,42,3,7
Canada,Ontario,Essex County,2020-03-02,4,0,15,2,2
Canada,Ontario,Essex County,2020-03-03,3,-3,11,1,1
Canada,Ontario,Essex County,2020-03-04,4,-1,15,3,2
Canada,Ontario,Essex County,2020-03-05,11,-1,38,4,-1
Canada,Ontario,Essex County,2020-03-06,1,-9,-6,-3,3
Canada,Ontario,Essex County,2020-03-07,11,1,89,16,7
Canada,Ontario,Essex County,2020-03-08,10,0,152,5,3
Canada,Ontario,Essex County,2020-03-09,4,-3,50,-1,1
Canada,Ontario,Essex County,2020-03-10,4,0,30,-2,1
Canada,Ontario,Essex County,2020-03-11,6,5,29,2,2
Canada,Ontario,Essex County,2020-03-12,11,33,28,-5,2
Canada,Ontario,Essex County,2020-03-13,4,39,19,-8,-1
Canada,Ontario,Essex County,2020-03-14,-7,17,25,-12,2
Canada,Ontario,Essex County,2020-03-15,-6,9,97,-20,-3
Canada,Ontario,Essex County,2020-03-16,-7,25,30,-31,-24
Canada,Ontario,Essex County,2020-03-17,-24,17,66,-33,-29
Canada,Ontario,Essex County,2020-03-18,-32,5,17,-40,-35
Canada,Ontario,Essex County,2020-03-19,-33,9,20,-45,-40
Canada,Ontario,Essex County,2020-03-20,-38,-1,38,-44,-41
Canada,Ontario,Essex County,2020-03-21,-48,-9,32,-46,-34
Canada,Ontario,Essex County,2020-03-22,-51,-26,28,-49,-38
