country_region,sub_region_1,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline
Canada,Ontario,2022-06-09,0,9,73,-33,-24
Canada,Ontario,2022-06-09,22,30,,-25,-2
Canada,Ontario,2022-06-09,24,,,,-11
Canada,Ontario,2022-06-09,2,30,,,-11
Canada,Ontario,2022-06-09,52,42,,,31
Canada,Ontario,2022-06-09,14,24,,29,0
Canada,Ontario,2022-06-09,9,37,,-37,-10
Canada,Ontario,2022-06-09,15,11,,,-11
Canada,Ontario,2022-06-09,23,19,,27,-5
Canada,Ontario,2022-06-09,2,15,161,-31,-16
Canada,Ontario,2022-06-09,-3,1,16,-32,-18
Canada,Ontario,2022-06-09,8,17,,-38,-3
Canada,Ontario,2022-06-09,33,13,,,2
Canada,Ontario,2022-06-09,49,9,,,-9
Canada,Ontario,2022-06-09,,,,,-12
Canada,Ontario,2022-06-09,2,17,35,-37,-15
Canada,Ontario,2022-06-09,15,26,,27,3
Canada,Ontario,2022-06-09,32,25,,,5
Canada,Ontario,2022-06-09,21,36,,,-9
Canada,Ontario,2022-06-09,44,33,,,-5
Canada,Ontario,2022-06-09,19,11,,-42,3
Canada,Ontario,2022-06-09,32,14,,,-16
Canada,Ontario,2022-06-09,18,28,,55,-8
Canada,Ontario,2022-06-09,,50,,21,-5
Canada,Ontario,2022-06-09,,,,,12
Canada,Ontario,2022-06-09,-2,8,97,-48,-14
Canada,Ontario,2022-06-09,21,31,,,2
Canada,Ontario,2022-06-09,21,6,,-31,-5
Canada,Ontario,2022-06-09,38,22,,,1
Canada,Ontario,2022-06-09,32,32,,39,-2
Canada,Ontario,2022-06-09,-7,3,-7,-50,-40
Canada,Ontario,2022-06-09,8,31,,-1,-17
Canada,Ontario,2022-06-09,60,37,,,12
Canada,Ontario,2022-06-09,15,12,,,1
Canada,Ontario,2022-06-09,14,21,,-18,-14
Canada,Ontario,2022-06-09,26,26,,,-19
Canada,Ontario,2022-06-09,,,,,-15
Canada,Ontario,2022-06-09,,,,,-1
Canada,Ontario,2022-06-09,8,7,26,-49,-27
Canada,Ontario,2022-06-09,0,9,117,-36,-30
Canada,Ontario,2022-06-09,19,20,50,-52,-13
Canada,Ontario,2022-06-09,-3,5,60,-25,-31
Canada,Ontario,2022-06-09,2,9,122,-36,-31
Canada,Ontario,2022-06-09,25,30,,,-5
Canada,Ontario,2022-06-09,21,21,184,-20,-1
Canada,Ontario,2022-06-09,,,,,-2
Canada,Ontario,2022-06-09,6,19,,-20,-13
Canada,Ontario,2022-06-09,28,,,,-1
Canada,Ontario,2022-06-09,-11,1,41,-36,-34
Canada,Ontario,2022-06-09,2,14,-9,-31,-19
Canada,Ontario,2022-06-09,-6,2,65,-15,-22
