country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline
Canada,Ontario,Renfrew County,2020-02-15,13,10,,,6
Canada,Ontario,Renfrew County,2020-02-16,20,30,,,2
Canada,Ontario,Renfrew County,2020-02-17,-36,-46,,,-60
Canada,Ontario,Renfrew County,2020-02-18,-1,10,,,1
Canada,Ontario,Renfrew County,2020-02-19,-1,5,,,4
Canada,Ontario,Renfrew County,2020-02-20,11,11,,,5
Canada,Ontario,Renfrew County,2020-02-21,2,-4,,,-5
Canada,Ontario,Renfrew County,2020-02-22,14,5,,,10
Canada,Ontario,Renfrew County,2020-02-23,17,25,,,6
Canada,Ontario,Renfrew County,2020-02-24,3,5,,,5
Canada,Ontario,Renfrew County,2020-02-25,2,8,,,6
Canada,Ontario,Renfrew County,2020-02-26,-5,6,,,3
Canada,Ontario,Renfrew County,2020-02-27,-34,-34,,,-29
Canada,Ontario,Renfrew County,2020-02-28,4,-1,,,3
Canada,Ontario,Renfrew County,2020-02-29,18,9,,,9
Canada,Ontario,Renfrew County,2020-03-01,24,29,,,11
Canada,Ontario,Renfrew County,2020-03-02,10,1,,,3
Canada,Ontario,Renfrew County,2020-03-03,4,-2,,,5
Canada,Ontario,Renfrew County,2020-03-04,6,-8,,,4
Canada,Ontario,Renfrew County,2020-03-05,10,3,,,4
Canada,Ontario,Renfrew County,2020-03-06,0,-11,,,4
Canada,Ontario,Renfrew County,2020-03-07,17,3,,,9
Canada,Ontario,Renfrew County,2020-03-08,22,19,,,10
Canada,Ontario,Renfrew County,2020-03-09,3,-3,,,3
Canada,Ontario,Renfrew County,2020-03-10,3,0,,,3
Canada,Ontario,Renfrew County,2020-03-11,2,-4,,,3
Canada,Ontario,Renfrew County,2020-03-12,17,27,,,4
Canada,Ontario,Renfrew County,2020-03-13,4,32,-41,,-2
Canada,Ontario,Renfrew County,2020-03-14,6,23,,,7
Canada,Ontario,Renfrew County,2020-03-15,2,30,,,3
Canada,Ontario,Renfrew County,2020-03-16,-6,28,,,-28
Canada,Ontario,Renfrew County,2020-03-17,-24,15,,,-35
Canada,Ontario,Renfrew County,2020-03-18,-29,2,,,-39
Canada,Ontario,Renfrew County,2020-03-19,-29,10,,,-42
Canada,Ontario,Renfrew County,2020-03-20,-36,-5,-36,,-45
Canada,Ontario,Renfrew County,2020-03-21,-32,-9,,,-24
Canada,Ontario,Renfrew County,2020-03-22,-33,0,,,-26
Canada,Ontario,Renfrew County,2020-03-23,-35,-8,,,-48
Canada,Ontario,Renfrew County,2020-03-24,-38,-12,,,-49
Canada,Ontario,Renfrew County,2020-03-25,-50,-23,,,-52
Canada,Ontario,Renfrew County,2020-03-26,-46,-15,,,-53
Canada,Ontario,Renfrew County,2020-03-27,-46,-20,,,-51
Canada,Ontario,Renfrew County,2020-03-28,-45,-23,,,-36
Canada,Ontario,Renfrew County,2020-03-29,-52,-20,-47,,-40
Canada,Ontario,Renfrew County,2020-03-30,-45,-21,,,-55
Canada,Ontario,Renfrew County,2020-03-31,-36,-13,,,-55
Canada,Ontario,Renfrew County,2020-04-01,-40,-20,,,-55
Canada,Ontario,Renfrew County,2020-04-02,-40,-16,,,-54
Canada,Ontario,Renfrew County,2020-04-03,-46,-20,-46,,-54
Canada,Ontario,Renfrew County,2020-04-04,-42,-23,,,-37
Canada,Ontario,Renfrew County,2020-04-05,-50,-19,,,-41
Canada,Ontario,Renfrew County,2020-04-06,-43,-20,,,-56
Canada,Ontario,Renfrew County,2020-04-07,-44,-11,,,-56
Canada,Ontario,Renfrew County,2020-04-08,-45,-6,,,-55
Canada,Ontario,Renfrew County,2020-04-09,-29,29,,,-55
Canada,Ontario,Renfrew County,2020-04-10,-82,-74,-41,,-83
Canada,Ontario,Renfrew County,2020-04-11,-34,8,,,-39
Canada,Ontario,Renfrew County,2020-04-12,-80,-72,,,-52
Canada,Ontario,Renfrew County,2020-04-13,-49,-19,,,-65
Canada,Ontario,Renfrew County,2020-04-14,-41,-9,,,-54
Canada,Ontario,Renfrew County,2020-04-15,-41,-12,,,-52
Canada,Ontario,Renfrew County,2020-04-16,-37,-13,,,-52
Canada,Ontario,Renfrew County,2020-04-17,-45,-26,,,-53
Canada,Ontario,Renfrew County,2020-04-18,-37,-27,,,-33
Canada,Ontario,Renfrew County,2020-04-19,-43,-16,,,-37
Canada,Ontario,Renfrew County,2020-04-20,-37,-14,,,-52
Canada,Ontario,Renfrew County,2020-04-21,-43,-15,,,-54
Canada,Ontario,Renfrew County,2020-04-22,-38,-17,,,-52
Canada,Ontario,Renfrew County,2020-04-23,-34,-14,,,-51
Canada,Ontario,Renfrew County,2020-04-24,-42,-22,,,-49
Canada,Ontario,Renfrew County,2020-04-25,-32,-21,,,-35
Canada,Ontario,Renfrew County,2020-04-26,-33,-13,,,-36
Canada,Ontario,Renfrew County,2020-04-27,-32,-12,,,-50
Canada,Ontario,Renfrew County,2020-04-28,-27,-9,,,-50
Canada,Ontario,Renfrew County,2020-04-29,-34,-13,,,-50
Canada,Ontario,Renfrew County,2020-04-30,-30,2,,,-50
Canada,Ontario,Renfrew County,2020-05-01,-32,-12,,,-48
Canada,Ontario,Renfrew County,2020-05-02,-23,-15,,,-29
Canada,Ontario,Renfrew County,2020-05-03,-20,1,,,-29
Canada,Ontario,Renfrew County,2020-05-04,-29,-8,,,-48
Canada,Ontario,Renfrew County,2020-05-05,-28,-4,,,-47
Canada,Ontario,Renfrew County,2020-05-06,-27,-6,,,-47
Canada,Ontario,Renfrew County,2020-05-07,-26,3,,,-47
Canada,Ontario,Renfrew County,2020-05-08,-34,-11,,,-47
Canada,Ontario,Renfrew County,2020-05-09,-16,6,,,-25
Canada,Ontario,Renfrew County,2020-05-10,-7,22,,,-21
Canada,Ontario,Renfrew County,2020-05-11,-24,-5,,,-46
Canada,Ontario,Renfrew County,2020-05-12,-22,-7,,,-45
Canada,Ontario,Renfrew County,2020-05-13,-18,-5,,,-44
Canada,Ontario,Renfrew County,2020-05-14,-16,6,,,-45
Canada,Ontario,Renfrew County,2020-05-15,-18,1,,,-47
Canada,Ontario,Renfrew County,2020-05-16,-4,3,,,-20
Canada,Ontario,Renfrew County,2020-05-17,6,26,,,-16
Canada,Ontario,Renfrew County,2020-05-18,-32,-35,,,-77
Canada,Ontario,Renfrew County,2020-05-19,-6,18,,,-42
Canada,Ontario,Renfrew County,2020-05-20,-4,22,,,-42
Canada,Ontario,Renfrew County,2020-05-21,2,26,,,-40
Canada,Ontario,Renfrew County,2020-05-22,-10,7,,,-38
Canada,Ontario,Renfrew County,2020-05-23,4,15,,,-11
Canada,Ontario,Renfrew County,2020-05-24,4,22,,,-18
Canada,Ontario,Renfrew County,2020-05-25,-7,14,,,-43
Canada,Ontario,Renfrew County,2020-05-26,-9,7,,,-40
Canada,Ontario,Renfrew County,2020-05-27,-9,12,,,-41
Canada,Ontario,Renfrew County,2020-05-28,-6,20,,,-37
Canada,Ontario,Renfrew County,2020-05-29,-12,5,,,-39
Canada,Ontario,Renfrew County,2020-05-30,-2,10,,,-7
Canada,Ontario,Renfrew County,2020-05-31,1,19,,,-6
Canada,Ontario,Renfrew County,2020-06-01,-4,9,,,-36
Canada,Ontario,Renfrew County,2020-06-02,-13,7,,,-38
Canada,Ontario,Renfrew County,2020-06-03,-17,4,,,-37
Canada,Ontario,Renfrew County,2020-06-04,-5,12,,,-35
Canada,Ontario,Renfrew County,2020-06-05,-9,-1,,,-36
Canada,Ontario,Renfrew County,2020-06-06,3,7,,,-5
Canada,Ontario,Renfrew County,2020-06-07,11,25,,,-2
Canada,Ontario,Renfrew County,2020-06-08,-4,9,,,-35
Canada,Ontario,Renfrew County,2020-06-09,-10,5,,,-33
Canada,Ontario,Renfrew County,2020-06-10,-9,6,,,-35
Canada,Ontario,Renfrew County,2020-06-11,-3,19,,,-32
Canada,Ontario,Renfrew County,2020-06-12,-6,4,,,-32
Canada,Ontario,Renfrew County,2020-06-13,12,22,,,6
Canada,Ontario,Renfrew County,2020-06-14,19,28,,,2
Canada,Ontario,Renfrew County,2020-06-15,7,18,,,-32
Canada,Ontario,Renfrew County,2020-06-16,1,19,,,-31
Canada,Ontario,Renfrew County,2020-06-17,2,15,,,-32
Canada,Ontario,Renfrew County,2020-06-18,5,30,,,-31
Canada,Ontario,Renfrew County,2020-06-19,4,22,,,-31
Canada,Ontario,Renfrew County,2020-06-20,18,34,,,2
Canada,Ontario,Renfrew County,2020-06-21,23,38,,,9
Canada,Ontario,Renfrew County,2020-06-22,0,18,,,-34
Canada,Ontario,Renfrew County,2020-06-23,-1,21,,,-32
Canada,Ontario,Renfrew County,2020-06-24,1,21,,,-30
Canada,Ontario,Renfrew County,2020-06-25,6,26,,,-29
Canada,Ontario,Renfrew County,2020-06-26,2,13,,,-30
Canada,Ontario,Renfrew County,2020-06-27,8,16,,,0
Canada,Ontario,Renfrew County,2020-06-28,22,32,,,6
Canada,Ontario,Renfrew County,2020-06-29,13,31,,,-36
Canada,Ontario,Renfrew County,2020-06-30,38,60,,,-35
Canada,Ontario,Renfrew County,2020-07-01,-25,-18,,,-67
Canada,Ontario,Renfrew County,2020-07-02,21,46,,,-38
Canada,Ontario,Renfrew County,2020-07-03,9,23,,,-38
Canada,Ontario,Renfrew County,2020-07-04,18,26,,,-1
Canada,Ontario,Renfrew County,2020-07-05,32,29,,,3
Canada,Ontario,Renfrew County,2020-07-06,8,24,,,-34
Canada,Ontario,Renfrew County,2020-07-07,4,19,,,-34
Canada,Ontario,Renfrew County,2020-07-08,4,18,,,-33
Canada,Ontario,Renfrew County,2020-07-09,10,28,,,-31
Canada,Ontario,Renfrew County,2020-07-10,1,12,,,-35
Canada,Ontario,Renfrew County,2020-07-11,7,20,,,0
Canada,Ontario,Renfrew County,2020-07-12,18,31,,,7
Canada,Ontario,Renfrew County,2020-07-13,6,20,,,-31
Canada,Ontario,Renfrew County,2020-07-14,3,12,,,-33
Canada,Ontario,Renfrew County,2020-07-15,7,19,,,-34
Canada,Ontario,Renfrew County,2020-07-16,8,28,,,-33
Canada,Ontario,Renfrew County,2020-07-17,9,15,,,-32
Canada,Ontario,Renfrew County,2020-07-18,23,23,,,7
Canada,Ontario,Renfrew County,2020-07-19,26,28,,,-1
Canada,Ontario,Renfrew County,2020-07-20,17,27,,,-32
Canada,Ontario,Renfrew County,2020-07-21,10,20,,,-31
Canada,Ontario,Renfrew County,2020-07-22,6,17,,,-33
Canada,Ontario,Renfrew County,2020-07-23,15,21,,,-30
Canada,Ontario,Renfrew County,2020-07-24,8,12,,,-30
Canada,Ontario,Renfrew County,2020-07-25,25,23,,,4
Canada,Ontario,Renfrew County,2020-07-26,35,30,,,0
Canada,Ontario,Renfrew County,2020-07-27,13,27,,,-36
Canada,Ontario,Renfrew County,2020-07-28,10,19,,,-33
Canada,Ontario,Renfrew County,2020-07-29,10,16,,,-33
Canada,Ontario,Renfrew County,2020-07-30,24,35,,,-32
Canada,Ontario,Renfrew County,2020-07-31,26,27,,,-33
Canada,Ontario,Renfrew County,2020-08-01,33,32,,,0
Canada,Ontario,Renfrew County,2020-08-02,27,36,,,-9
Canada,Ontario,Renfrew County,2020-08-03,11,-1,,,-68
Canada,Ontario,Renfrew County,2020-08-04,17,26,,,-37
Canada,Ontario,Renfrew County,2020-08-05,15,24,,,-32
Canada,Ontario,Renfrew County,2020-08-06,21,27,,,-29
Canada,Ontario,Renfrew County,2020-08-07,15,8,,,-32
Canada,Ontario,Renfrew County,2020-08-08,27,21,,,6
Canada,Ontario,Renfrew County,2020-08-09,37,31,,,-3
Canada,Ontario,Renfrew County,2020-08-10,17,15,,,-31
Canada,Ontario,Renfrew County,2020-08-11,9,14,,,-30
Canada,Ontario,Renfrew County,2020-08-12,13,15,,,-28
Canada,Ontario,Renfrew County,2020-08-13,21,27,,,-26
Canada,Ontario,Renfrew County,2020-08-14,20,13,,,-27
Canada,Ontario,Renfrew County,2020-08-15,30,23,,,5
Canada,Ontario,Renfrew County,2020-08-16,29,31,,,-1
Canada,Ontario,Renfrew County,2020-08-17,,,,,-31
Canada,Ontario,Renfrew County,2020-08-18,,,,,-26
Canada,Ontario,Renfrew County,2020-08-19,,,,,-25
Canada,Ontario,Renfrew County,2020-08-20,,,,,-26
Canada,Ontario,Renfrew County,2020-08-21,,,,,-28
Canada,Ontario,Renfrew County,2020-08-24,,,,,-27
Canada,Ontario,Renfrew County,2020-08-25,,,,,-27
Canada,Ontario,Renfrew County,2020-08-26,,,,,-25
Canada,Ontario,Renfrew County,2020-08-27,,,,,-26
Canada,Ontario,Renfrew County,2020-08-28,,,,,-26
Canada,Ontario,Renfrew County,2020-08-31,,,,,-27
Canada,Ontario,Renfrew County,2020-09-01,,,,,-28
Canada,Ontario,Renfrew County,2020-09-02,,,,,-27
Canada,Ontario,Renfrew County,2020-09-03,,,,,-26
Canada,Ontario,Renfrew County,2020-09-04,,,,,-32
Canada,Ontario,Renfrew County,2020-09-07,,,,,-74
Canada,Ontario,Renfrew County,2020-09-08,,,,,-29
Canada,Ontario,Renfrew County,2020-09-09,,,,,-26
Canada,Ontario,Renfrew County,2020-09-10,,,,,-26
Canada,Ontario,Renfrew County,2020-09-11,5,4,,,-26
Canada,Ontario,Renfrew County,2020-09-12,16,12,,,2
Canada,Ontario,Renfrew County,2020-09-13,17,23,,,-1
Canada,Ontario,Renfrew County,2020-09-14,2,7,,,-25
Canada,Ontario,Renfrew County,2020-09-15,6,8,,,-24
Canada,Ontario,Renfrew County,2020-09-16,-2,2,,,-24
Canada,Ontario,Renfrew County,2020-09-17,6,10,,,-22
Canada,Ontario,Renfrew County,2020-09-18,3,5,,,-24
Canada,Ontario,Renfrew County,2020-09-19,14,13,,,0
Canada,Ontario,Renfrew County,2020-09-20,21,29,,,5
Canada,Ontario,Renfrew County,2020-09-21,2,7,,,-25
Canada,Ontario,Renfrew County,2020-09-22,0,8,,,-22
Canada,Ontario,Renfrew County,2020-09-23,-6,5,,,-21
Canada,Ontario,Renfrew County,2020-09-24,2,13,,,-21
Canada,Ontario,Renfrew County,2020-09-25,-1,3,,,-21
Canada,Ontario,Renfrew County,2020-09-26,15,12,,,4
Canada,Ontario,Renfrew County,2020-09-27,17,28,,,5
Canada,Ontario,Renfrew County,2020-09-28,1,8,,,-22
Canada,Ontario,Renfrew County,2020-09-29,-1,8,,,-20
Canada,Ontario,Renfrew County,2020-09-30,0,11,,,-23
Canada,Ontario,Renfrew County,2020-10-01,5,19,,,-20
Canada,Ontario,Renfrew County,2020-10-02,-1,1,,,-21
Canada,Ontario,Renfrew County,2020-10-03,17,18,,,-2
Canada,Ontario,Renfrew County,2020-10-04,17,24,,,-3
Canada,Ontario,Renfrew County,2020-10-05,-1,8,,,-25
Canada,Ontario,Renfrew County,2020-10-06,-1,9,,,-23
Canada,Ontario,Renfrew County,2020-10-07,-6,6,,,-21
Canada,Ontario,Renfrew County,2020-10-08,10,24,,,-20
