country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline
Canada,Ontario,Leeds and Grenville United Counties,2020-02-15,18,6,,95,5
Canada,Ontario,Leeds and Grenville United Counties,2020-02-16,16,16,,11,0
Canada,Ontario,Leeds and Grenville United Counties,2020-02-17,-11,-20,,135,-62
Canada,Ontario,Leeds and Grenville United Counties,2020-02-18,-4,7,,12,0
Canada,Ontario,Leeds and Grenville United Counties,2020-02-19,2,6,,10,5
Canada,Ontario,Leeds and Grenville United Counties,2020-02-20,9,10,,12,5
Canada,Ontario,Leeds and Grenville United Counties,2020-02-21,3,-3,,10,-5
Canada,Ontario,Leeds and Grenville United Counties,2020-02-22,21,9,,37,7
Canada,Ontario,Leeds and Grenville United Counties,2020-02-23,20,15,,19,5
Canada,Ontario,Leeds and Grenville United Counties,2020-02-24,8,11,,17,3
Canada,Ontario,Leeds and Grenville United Counties,2020-02-25,8,12,,13,4
Canada,Ontario,Leeds and Grenville United Counties,2020-02-26,-5,7,,18,5
Canada,Ontario,Leeds and Grenville United Counties,2020-02-27,-23,-22,,4,-15
Canada,Ontario,Leeds and Grenville United Counties,2020-02-28,3,7,,22,-2
Canada,Ontario,Leeds and Grenville United Counties,2020-02-29,25,13,,46,11
Canada,Ontario,Leeds and Grenville United Counties,2020-03-01,20,20,,16,7
Canada,Ontario,Leeds and Grenville United Counties,2020-03-02,6,13,,7,4
Canada,Ontario,Leeds and Grenville United Counties,2020-03-03,6,5,,9,6
Canada,Ontario,Leeds and Grenville United Counties,2020-03-04,6,4,,7,7
Canada,Ontario,Leeds and Grenville United Counties,2020-03-05,9,2,,26,6
Canada,Ontario,Leeds and Grenville United Counties,2020-03-06,-1,-7,,7,5
Canada,Ontario,Leeds and Grenville United Counties,2020-03-07,28,7,,44,14
Canada,Ontario,Leeds and Grenville United Counties,2020-03-08,16,9,,20,8
Canada,Ontario,Leeds and Grenville United Counties,2020-03-09,11,7,,18,4
Canada,Ontario,Leeds and Grenville United Counties,2020-03-10,7,7,,7,5
Canada,Ontario,Leeds and Grenville United Counties,2020-03-11,7,13,,8,7
Canada,Ontario,Leeds and Grenville United Counties,2020-03-12,13,31,,11,8
Canada,Ontario,Leeds and Grenville United Counties,2020-03-13,5,34,,4,2
Canada,Ontario,Leeds and Grenville United Counties,2020-03-14,19,34,,27,8
Canada,Ontario,Leeds and Grenville United Counties,2020-03-15,4,30,,-6,2
Canada,Ontario,Leeds and Grenville United Counties,2020-03-16,3,38,,18,-21
Canada,Ontario,Leeds and Grenville United Counties,2020-03-17,-15,30,,15,-27
Canada,Ontario,Leeds and Grenville United Counties,2020-03-18,-25,13,,17,-31
Canada,Ontario,Leeds and Grenville United Counties,2020-03-19,-24,15,,-1,-35
Canada,Ontario,Leeds and Grenville United Counties,2020-03-20,-31,-2,,-26,-37
Canada,Ontario,Leeds and Grenville United Counties,2020-03-21,-26,-6,,-9,-20
Canada,Ontario,Leeds and Grenville United Counties,2020-03-22,-34,-9,,-41,-23
Canada,Ontario,Leeds and Grenville United Counties,2020-03-23,-32,-4,,-28,-41
Canada,Ontario,Leeds and Grenville United Counties,2020-03-24,-35,-1,,-17,-43
Canada,Ontario,Leeds and Grenville United Counties,2020-03-25,-43,-20,,-22,-45
Canada,Ontario,Leeds and Grenville United Counties,2020-03-26,-41,-13,,-39,-45
Canada,Ontario,Leeds and Grenville United Counties,2020-03-27,-41,-13,,-58,-47
Canada,Ontario,Leeds and Grenville United Counties,2020-03-28,-37,-19,,-45,-28
Canada,Ontario,Leeds and Grenville United Counties,2020-03-29,-48,-28,,-69,-32
Canada,Ontario,Leeds and Grenville United Counties,2020-03-30,-39,-16,,-46,-48
Canada,Ontario,Leeds and Grenville United Counties,2020-03-31,-31,-2,,-40,-47
Canada,Ontario,Leeds and Grenville United Counties,2020-04-01,-36,-15,,-38,-48
Canada,Ontario,Leeds and Grenville United Counties,2020-04-02,-34,-12,,-46,-47
Canada,Ontario,Leeds and Grenville United Counties,2020-04-03,-43,-18,,-67,-49
Canada,Ontario,Leeds and Grenville United Counties,2020-04-04,-32,-21,,-54,-32
Canada,Ontario,Leeds and Grenville United Counties,2020-04-05,-50,-25,,-75,-34
Canada,Ontario,Leeds and Grenville United Counties,2020-04-06,-39,-14,,-54,-47
Canada,Ontario,Leeds and Grenville United Counties,2020-04-07,-38,-9,,-46,-49
Canada,Ontario,Leeds and Grenville United Counties,2020-04-08,-39,-6,,-40,-47
Canada,Ontario,Leeds and Grenville United Counties,2020-04-09,-26,28,,-47,-49
Canada,Ontario,Leeds and Grenville United Counties,2020-04-10,-79,-74,,-72,-79
Canada,Ontario,Leeds and Grenville United Counties,2020-04-11,-29,7,,-63,-31
Canada,Ontario,Leeds and Grenville United Counties,2020-04-12,-79,-75,,-77,-43
Canada,Ontario,Leeds and Grenville United Counties,2020-04-13,-51,-21,,-54,-58
Canada,Ontario,Leeds and Grenville United Counties,2020-04-14,-35,0,,-45,-49
Canada,Ontario,Leeds and Grenville United Counties,2020-04-15,-39,-12,,-43,-48
Canada,Ontario,Leeds and Grenville United Counties,2020-04-16,-38,-9,,-52,-47
Canada,Ontario,Leeds and Grenville United Counties,2020-04-17,-44,-20,,-66,-48
Canada,Ontario,Leeds and Grenville United Counties,2020-04-18,-32,-17,,-54,-26
Canada,Ontario,Leeds and Grenville United Counties,2020-04-19,-48,-22,,-74,-32
Canada,Ontario,Leeds and Grenville United Counties,2020-04-20,-35,-7,,-48,-46
Canada,Ontario,Leeds and Grenville United Counties,2020-04-21,-40,-12,,-41,-48
Canada,Ontario,Leeds and Grenville United Counties,2020-04-22,-36,-8,,-41,-45
Canada,Ontario,Leeds and Grenville United Counties,2020-04-23,-35,-13,,-41,-46
Canada,Ontario,Leeds and Grenville United Counties,2020-04-24,-42,-17,,-64,-47
Canada,Ontario,Leeds and Grenville United Counties,2020-04-25,-29,-15,,-43,-25
Canada,Ontario,Leeds and Grenville United Counties,2020-04-26,-41,-19,,-71,-35
Canada,Ontario,Leeds and Grenville United Counties,2020-04-27,-35,-10,,-44,-46
Canada,Ontario,Leeds and Grenville United Counties,2020-04-28,-27,0,,-34,-46
Canada,Ontario,Leeds and Grenville United Counties,2020-04-29,-30,-10,,-34,-44
Canada,Ontario,Leeds and Grenville United Counties,2020-04-30,-28,-2,,-37,-45
Canada,Ontario,Leeds and Grenville United Counties,2020-05-01,-35,-9,,-60,-45
Canada,Ontario,Leeds and Grenville United Counties,2020-05-02,-20,-13,,-42,-25
Canada,Ontario,Leeds and Grenville United Counties,2020-05-03,-25,-5,,-64,-28
Canada,Ontario,Leeds and Grenville United Counties,2020-05-04,-27,-4,,-41,-45
Canada,Ontario,Leeds and Grenville United Counties,2020-05-05,-23,0,,-31,-44
Canada,Ontario,Leeds and Grenville United Counties,2020-05-06,-24,-4,,-31,-40
Canada,Ontario,Leeds and Grenville United Counties,2020-05-07,-28,4,,-41,-42
Canada,Ontario,Leeds and Grenville United Counties,2020-05-08,-34,-6,,-58,-43
Canada,Ontario,Leeds and Grenville United Counties,2020-05-09,-16,7,,-40,-22
Canada,Ontario,Leeds and Grenville United Counties,2020-05-10,-15,3,,-64,-20
Canada,Ontario,Leeds and Grenville United Counties,2020-05-11,-28,-8,,-32,-42
Canada,Ontario,Leeds and Grenville United Counties,2020-05-12,-24,0,,-27,-40
Canada,Ontario,Leeds and Grenville United Counties,2020-05-13,-19,0,,-28,-38
Canada,Ontario,Leeds and Grenville United Counties,2020-05-14,-18,0,,-36,-40
Canada,Ontario,Leeds and Grenville United Counties,2020-05-15,-28,-5,,-47,-44
Canada,Ontario,Leeds and Grenville United Counties,2020-05-16,-8,3,,-33,-21
Canada,Ontario,Leeds and Grenville United Counties,2020-05-17,-6,12,,-66,-16
Canada,Ontario,Leeds and Grenville United Counties,2020-05-18,-32,-28,,-34,-75
Canada,Ontario,Leeds and Grenville United Counties,2020-05-19,-4,20,,-26,-37
Canada,Ontario,Leeds and Grenville United Counties,2020-05-20,-4,18,,-22,-36
Canada,Ontario,Leeds and Grenville United Counties,2020-05-21,-2,13,,-30,-37
Canada,Ontario,Leeds and Grenville United Counties,2020-05-22,-15,5,,-46,-37
Canada,Ontario,Leeds and Grenville United Counties,2020-05-23,3,7,,-23,-12
Canada,Ontario,Leeds and Grenville United Counties,2020-05-24,-7,5,,-55,-15
Canada,Ontario,Leeds and Grenville United Counties,2020-05-25,-8,14,,-26,-39
Canada,Ontario,Leeds and Grenville United Counties,2020-05-26,-8,10,,-13,-36
Canada,Ontario,Leeds and Grenville United Counties,2020-05-27,-7,13,,-24,-34
Canada,Ontario,Leeds and Grenville United Counties,2020-05-28,-11,10,,-24,-34
Canada,Ontario,Leeds and Grenville United Counties,2020-05-29,-15,4,,-42,-35
Canada,Ontario,Leeds and Grenville United Counties,2020-05-30,-1,8,,-21,0
Canada,Ontario,Leeds and Grenville United Counties,2020-05-31,-8,12,,-49,-8
Canada,Ontario,Leeds and Grenville United Counties,2020-06-01,-7,9,,-20,-32
Canada,Ontario,Leeds and Grenville United Counties,2020-06-02,-15,7,,-19,-34
Canada,Ontario,Leeds and Grenville United Counties,2020-06-03,-12,8,,-8,-33
Canada,Ontario,Leeds and Grenville United Counties,2020-06-04,-11,12,,-19,-32
Canada,Ontario,Leeds and Grenville United Counties,2020-06-05,-15,3,,-44,-33
Canada,Ontario,Leeds and Grenville United Counties,2020-06-06,-2,12,,-22,-5
Canada,Ontario,Leeds and Grenville United Counties,2020-06-07,-2,18,,-49,-8
Canada,Ontario,Leeds and Grenville United Counties,2020-06-08,-6,14,,-18,-34
Canada,Ontario,Leeds and Grenville United Counties,2020-06-09,-6,10,,-8,-32
Canada,Ontario,Leeds and Grenville United Counties,2020-06-10,-4,15,,-13,-32
Canada,Ontario,Leeds and Grenville United Counties,2020-06-11,-1,14,,-16,-30
Canada,Ontario,Leeds and Grenville United Counties,2020-06-12,-8,3,,-33,-30
Canada,Ontario,Leeds and Grenville United Counties,2020-06-13,8,12,,-7,0
Canada,Ontario,Leeds and Grenville United Counties,2020-06-14,6,9,,-36,0
Canada,Ontario,Leeds and Grenville United Counties,2020-06-15,-1,15,,-9,-32
Canada,Ontario,Leeds and Grenville United Counties,2020-06-16,1,19,,-4,-30
Canada,Ontario,Leeds and Grenville United Counties,2020-06-17,1,13,,7,-29
Canada,Ontario,Leeds and Grenville United Counties,2020-06-18,2,20,,-7,-29
Canada,Ontario,Leeds and Grenville United Counties,2020-06-19,-1,16,,-19,-31
Canada,Ontario,Leeds and Grenville United Counties,2020-06-20,15,21,,1,3
Canada,Ontario,Leeds and Grenville United Counties,2020-06-21,13,22,,-36,5
Canada,Ontario,Leeds and Grenville United Counties,2020-06-22,-1,11,,0,-32
Canada,Ontario,Leeds and Grenville United Counties,2020-06-23,1,17,,-3,-31
Canada,Ontario,Leeds and Grenville United Counties,2020-06-24,-5,12,,8,-29
Canada,Ontario,Leeds and Grenville United Counties,2020-06-25,2,19,,0,-29
Canada,Ontario,Leeds and Grenville United Counties,2020-06-26,-5,9,,-5,-29
Canada,Ontario,Leeds and Grenville United Counties,2020-06-27,6,11,,13,2
Canada,Ontario,Leeds and Grenville United Counties,2020-06-28,3,22,,-21,2
Canada,Ontario,Leeds and Grenville United Counties,2020-06-29,5,27,,2,-34
Canada,Ontario,Leeds and Grenville United Counties,2020-06-30,30,67,,22,-32
Canada,Ontario,Leeds and Grenville United Counties,2020-07-01,-20,-6,,28,-65
Canada,Ontario,Leeds and Grenville United Counties,2020-07-02,7,30,,15,-35
Canada,Ontario,Leeds and Grenville United Counties,2020-07-03,2,23,,0,-35
Canada,Ontario,Leeds and Grenville United Counties,2020-07-04,16,25,,35,2
Canada,Ontario,Leeds and Grenville United Counties,2020-07-05,11,30,,1,-4
Canada,Ontario,Leeds and Grenville United Counties,2020-07-06,8,26,,16,-32
Canada,Ontario,Leeds and Grenville United Counties,2020-07-07,4,25,,4,-31
Canada,Ontario,Leeds and Grenville United Counties,2020-07-08,5,28,,9,-29
Canada,Ontario,Leeds and Grenville United Counties,2020-07-09,5,23,,1,-29
Canada,Ontario,Leeds and Grenville United Counties,2020-07-10,0,14,,-14,-31
Canada,Ontario,Leeds and Grenville United Counties,2020-07-11,9,21,,19,-2
Canada,Ontario,Leeds and Grenville United Counties,2020-07-12,4,28,,-15,-3
Canada,Ontario,Leeds and Grenville United Counties,2020-07-13,3,20,,19,-32
Canada,Ontario,Leeds and Grenville United Counties,2020-07-14,3,22,,7,-29
Canada,Ontario,Leeds and Grenville United Counties,2020-07-15,5,19,,18,-28
Canada,Ontario,Leeds and Grenville United Counties,2020-07-16,0,21,,19,-27
Canada,Ontario,Leeds and Grenville United Counties,2020-07-17,1,13,,11,-29
Canada,Ontario,Leeds and Grenville United Counties,2020-07-18,21,24,,47,4
Canada,Ontario,Leeds and Grenville United Counties,2020-07-19,10,26,,4,-2
Canada,Ontario,Leeds and Grenville United Counties,2020-07-20,12,25,,20,-29
Canada,Ontario,Leeds and Grenville United Counties,2020-07-21,10,26,,18,-28
Canada,Ontario,Leeds and Grenville United Counties,2020-07-22,4,23,,22,-28
Canada,Ontario,Leeds and Grenville United Counties,2020-07-23,9,24,,28,-26
Canada,Ontario,Leeds and Grenville United Counties,2020-07-24,4,16,,8,-28
Canada,Ontario,Leeds and Grenville United Counties,2020-07-25,23,26,,56,3
Canada,Ontario,Leeds and Grenville United Counties,2020-07-26,19,23,,12,-2
Canada,Ontario,Leeds and Grenville United Counties,2020-07-27,8,30,,24,-32
Canada,Ontario,Leeds and Grenville United Counties,2020-07-28,13,27,,34,-30
Canada,Ontario,Leeds and Grenville United Counties,2020-07-29,11,21,,28,-28
Canada,Ontario,Leeds and Grenville United Counties,2020-07-30,13,23,,35,-29
Canada,Ontario,Leeds and Grenville United Counties,2020-07-31,14,23,,42,-31
Canada,Ontario,Leeds and Grenville United Counties,2020-08-01,32,30,,117,7
Canada,Ontario,Leeds and Grenville United Counties,2020-08-02,15,24,,10,-10
Canada,Ontario,Leeds and Grenville United Counties,2020-08-03,12,-1,,89,-66
Canada,Ontario,Leeds and Grenville United Counties,2020-08-04,6,19,,44,-34
Canada,Ontario,Leeds and Grenville United Counties,2020-08-05,15,16,,33,-29
Canada,Ontario,Leeds and Grenville United Counties,2020-08-06,18,15,,36,-28
Canada,Ontario,Leeds and Grenville United Counties,2020-08-07,10,7,,15,-30
Canada,Ontario,Leeds and Grenville United Counties,2020-08-08,31,14,,64,8
Canada,Ontario,Leeds and Grenville United Counties,2020-08-09,17,15,,23,1
Canada,Ontario,Leeds and Grenville United Counties,2020-08-10,11,10,,40,-32
Canada,Ontario,Leeds and Grenville United Counties,2020-08-11,13,16,,26,-30
Canada,Ontario,Leeds and Grenville United Counties,2020-08-12,14,7,,26,-28
Canada,Ontario,Leeds and Grenville United Counties,2020-08-13,18,9,,49,-27
