country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline
Canada,Ontario,Brant County,2020-02-15,19,,,,
Canada,Ontario,Brant County,2020-02-16,20,,,,
Canada,Ontario,Brant County,2020-02-17,-25,,,,-72
Canada,Ontario,Brant County,2020-02-18,-3,,,,1
Canada,Ontario,Brant County,2020-02-19,-2,,,,4
Canada,Ontario,Brant County,2020-02-20,9,,,,4
Canada,Ontario,Brant County,2020-02-21,3,,,,-6
Canada,Ontario,Brant County,2020-02-22,18,,,,
Canada,Ontario,Brant County,2020-02-23,19,,,,
Canada,Ontario,Brant County,2020-02-24,-3,,,,5
Canada,Ontario,Brant County,2020-02-25,-1,,,,5
Canada,Ontario,Brant County,2020-02-26,-7,,,,2
Canada,Ontario,Brant County,2020-02-27,-14,,,,0
Canada,Ontario,Brant County,2020-02-28,0,,,,2
Canada,Ontario,Brant County,2020-02-29,15,,,,
Canada,Ontario,Brant County,2020-03-01,16,,,,
Canada,Ontario,Brant County,2020-03-02,0,,,,4
Canada,Ontario,Brant County,2020-03-03,-1,,,,6
Canada,Ontario,Brant County,2020-03-04,6,,,,7
Canada,Ontario,Brant County,2020-03-05,9,,,,2
Canada,Ontario,Brant County,2020-03-06,-7,,,,4
Canada,Ontario,Brant County,2020-03-07,28,,,,
Canada,Ontario,Brant County,2020-03-08,32,,,,
Canada,Ontario,Brant County,2020-03-09,9,,,,6
Canada,Ontario,Brant County,2020-03-10,-1,,,,4
Canada,Ontario,Brant County,2020-03-11,4,,,,4
Canada,Ontario,Brant County,2020-03-12,11,,,,2
Canada,Ontario,Brant County,2020-03-13,5,,,,1
Canada,Ontario,Brant County,2020-03-14,12,,,,
Canada,Ontario,Brant County,2020-03-15,8,,,,
Canada,Ontario,Brant County,2020-03-16,-4,,,,-19
Canada,Ontario,Brant County,2020-03-17,-21,,,,-25
Canada,Ontario,Brant County,2020-03-18,-30,,,,-31
Canada,Ontario,Brant County,2020-03-19,-23,,,,-35
Canada,Ontario,Brant County,2020-03-20,-30,,,,-39
Canada,Ontario,Brant County,2020-03-21,-28,,,,-17
Canada,Ontario,Brant County,2020-03-22,-36,,,,
Canada,Ontario,Brant County,2020-03-23,-35,,,,-43
Canada,Ontario,Brant County,2020-03-24,-34,,,,-46
Canada,Ontario,Brant County,2020-03-25,-46,,,,-50
Canada,Ontario,Brant County,2020-03-26,-45,,,,-51
Canada,Ontario,Brant County,2020-03-27,-42,,,,-50
Canada,Ontario,Brant County,2020-03-28,-37,,,,-30
Canada,Ontario,Brant County,2020-03-29,-23,,,,-38
Canada,Ontario,Brant County,2020-03-30,-50,,,,-51
Canada,Ontario,Brant County,2020-03-31,-48,,,,-51
Canada,Ontario,Brant County,2020-04-01,-46,,,,-50
Canada,Ontario,Brant County,2020-04-02,-44,,,,-52
