country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-02-15,5,2,,30,0
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-02-16,13,24,,11,-7
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-02-17,-41,-49,,50,-64
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-02-18,-6,20,,10,1
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-02-19,-5,10,,9,4
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-02-20,7,22,,4,4
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-02-21,-3,3,,12,-7
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-02-22,11,6,,12,3
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-02-23,17,12,,19,1
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-02-24,4,13,,2,3
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-02-25,6,18,,12,5
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-02-26,-4,18,,2,1
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-02-27,-26,-18,,-5,-16
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-02-28,-4,1,,25,-4
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-02-29,13,5,,30,5
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-01,17,12,,22,4
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-02,1,7,,11,4
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-03,6,7,,17,6
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-04,8,5,,16,4
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-05,9,7,,8,1
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-06,-4,-7,,8,5
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-07,18,2,,25,4
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-08,19,13,,24,3
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-09,9,9,,6,4
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-10,7,6,,8,7
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-11,10,7,,4,6
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-12,12,32,,-5,5
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-13,-3,29,,-13,3
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-14,2,26,,-6,2
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-15,-3,15,,-16,-4
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-16,-9,30,,-9,-21
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-17,-26,19,,-14,-26
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-18,-28,11,,-13,-30
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-19,-28,17,,-12,-32
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-20,-35,2,,-22,-35
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-21,-36,0,,-16,-25
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-22,-36,-6,,-35,-24
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-23,-39,1,,-20,-37
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-24,-41,-3,,-18,-39
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-25,-46,-13,,-21,-43
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-26,-46,-9,,-30,-44
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-27,-45,-12,,-39,-44
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-28,-47,-15,,-39,-32
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-29,-56,-25,-44,-58,-35
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-30,-46,-13,,-36,-48
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-03-31,-33,3,,-26,-45
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-01,-39,-8,,-33,-46
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-02,-40,-7,,-36,-44
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-03,-47,-11,-27,-45,-46
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-04,-42,-10,,-48,-37
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-05,-52,-18,,-59,-37
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-06,-40,-5,,-39,-46
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-07,-43,-4,,-30,-47
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-08,-42,1,,-34,-48
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-09,-29,24,,-39,-47
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-10,-78,-67,,-62,-79
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-11,-38,7,,-60,-35
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-12,-72,-64,,-64,-44
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-13,-48,-14,,-49,-56
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-14,-38,0,,-31,-45
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-15,-36,-3,,-33,-44
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-16,-40,2,,-36,-45
