country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline
Canada,Ontario,Perth County,2020-02-15,2,6,,,-3
Canada,Ontario,Perth County,2020-02-16,19,23,,,-13
Canada,Ontario,Perth County,2020-02-17,-30,-75,,,-72
Canada,Ontario,Perth County,2020-02-18,0,17,,,2
Canada,Ontario,Perth County,2020-02-19,-2,6,,,3
Canada,Ontario,Perth County,2020-02-20,2,1,,,3
Canada,Ontario,Perth County,2020-02-21,-1,-3,,,-7
Canada,Ontario,Perth County,2020-02-22,4,3,,,5
Canada,Ontario,Perth County,2020-02-23,20,12,,,2
Canada,Ontario,Perth County,2020-02-24,4,3,,,3
Canada,Ontario,Perth County,2020-02-25,-4,3,,,3
Canada,Ontario,Perth County,2020-02-26,-9,-6,,,1
Canada,Ontario,Perth County,2020-02-27,-26,-20,,,-11
Canada,Ontario,Perth County,2020-02-28,-34,-21,,,-25
Canada,Ontario,Perth County,2020-02-29,3,7,,,4
Canada,Ontario,Perth County,2020-03-01,24,16,,,4
Canada,Ontario,Perth County,2020-03-02,11,6,,,4
Canada,Ontario,Perth County,2020-03-03,6,4,,,1
Canada,Ontario,Perth County,2020-03-04,5,2,,,3
Canada,Ontario,Perth County,2020-03-05,7,1,,,3
Canada,Ontario,Perth County,2020-03-06,-4,-10,,,3
Canada,Ontario,Perth County,2020-03-07,13,3,,,11
Canada,Ontario,Perth County,2020-03-08,26,16,,,2
Canada,Ontario,Perth County,2020-03-09,10,0,,,3
Canada,Ontario,Perth County,2020-03-10,5,4,,,4
Canada,Ontario,Perth County,2020-03-11,7,4,,,4
Canada,Ontario,Perth County,2020-03-12,11,27,,,4
Canada,Ontario,Perth County,2020-03-13,4,45,,,2
Canada,Ontario,Perth County,2020-03-14,-4,23,,,0
Canada,Ontario,Perth County,2020-03-15,5,20,,,-3
Canada,Ontario,Perth County,2020-03-16,-6,28,,,-15
Canada,Ontario,Perth County,2020-03-17,-27,15,,,-23
Canada,Ontario,Perth County,2020-03-18,-34,5,,,-26
Canada,Ontario,Perth County,2020-03-19,-37,4,,,-29
Canada,Ontario,Perth County,2020-03-20,-43,-11,,,-32
Canada,Ontario,Perth County,2020-03-21,-41,-9,,,-23
Canada,Ontario,Perth County,2020-03-22,-41,-12,,,-32
Canada,Ontario,Perth County,2020-03-23,-43,-4,,,-42
Canada,Ontario,Perth County,2020-03-24,-44,-11,,,-43
