country_region,sub_region_1,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline
Canada,Ontario,2022-06-08,0,7,83,-33,-25
Canada,Ontario,2022-06-08,13,22,,-29,-1
Canada,Ontario,2022-06-08,21,,,,-10
Canada,Ontario,2022-06-08,2,26,,,-9
Canada,Ontario,2022-06-08,48,35,,,27
Canada,Ontario,2022-06-08,6,12,,19,-7
Canada,Ontario,2022-06-08,11,36,,-40,-9
Canada,Ontario,2022-06-08,16,11,,,-11
Canada,Ontario,2022-06-08,14,17,,29,-6
Canada,Ontario,2022-06-08,-3,12,93,-31,-15
Canada,Ontario,2022-06-08,-4,-2,81,-26,-18
Canada,Ontario,2022-06-08,6,14,,-41,-2
Canada,Ontario,2022-06-08,29,8,71,,-5
Canada,Ontario,2022-06-08,36,1,,,-11
Canada,Ontario,2022-06-08,,,,,-6
Canada,Ontario,2022-06-08,0,13,52,-34,-15
Canada,Ontario,2022-06-08,14,22,,41,0
Canada,Ontario,2022-06-08,26,19,,,0
Canada,Ontario,2022-06-08,15,19,,,-5
Canada,Ontario,2022-06-08,45,22,,,-6
Canada,Ontario,2022-06-08,13,7,,-27,2
Canada,Ontario,2022-06-08,29,17,,,-17
Canada,Ontario,2022-06-08,18,27,,54,-8
Canada,Ontario,2022-06-08,,43,,8,-10
Canada,Ontario,2022-06-08,,,,,5
Canada,Ontario,2022-06-08,-3,5,105,-46,-18
Canada,Ontario,2022-06-08,19,27,,,1
Canada,Ontario,2022-06-08,20,13,,-21,-4
Canada,Ontario,2022-06-08,33,11,,,-3
Canada,Ontario,2022-06-08,28,28,,34,-3
Canada,Ontario,2022-06-08,-7,9,49,-49,-39
Canada,Ontario,2022-06-08,6,20,,-4,-17
Canada,Ontario,2022-06-08,58,31,,,9
Canada,Ontario,2022-06-08,15,18,,,1
Canada,Ontario,2022-06-08,17,19,,-7,-13
Canada,Ontario,2022-06-08,29,22,,,-16
Canada,Ontario,2022-06-08,,,,,-17
Canada,Ontario,2022-06-08,,,,,-6
Canada,Ontario,2022-06-08,9,10,42,-48,-25
Canada,Ontario,2022-06-08,-1,6,124,-38,-33
Canada,Ontario,2022-06-08,18,20,69,-45,-16
Canada,Ontario,2022-06-08,-4,1,66,-26,-31
Canada,Ontario,2022-06-08,3,8,156,-31,-32
Canada,Ontario,2022-06-08,16,21,,,-5
Canada,Ontario,2022-06-08,13,16,185,-25,-6
Canada,Ontario,2022-06-08,,,,,0
Canada,Ontario,2022-06-08,2,14,,-28,-14
Canada,Ontario,2022-06-08,25,26,,,-5
Canada,Ontario,2022-06-08,-11,-2,53,-36,-36
Canada,Ontario,2022-06-08,1,8,-1,-27,-22
Canada,Ontario,2022-06-08,-6,6,80,-21,-26
