country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline
Canada,Ontario,Oxford County,2020-02-15,2,-3,7,45,-1
Canada,Ontario,Oxford County,2020-02-16,15,14,,6,-6
Canada,Ontario,Oxford County,2020-02-17,-30,-57,,31,-68
Canada,Ontario,Oxford County,2020-02-18,5,18,,11,2
Canada,Ontario,Oxford County,2020-02-19,1,1,-13,2,1
Canada,Ontario,Oxford County,2020-02-20,8,4,,10,3
Canada,Ontario,Oxford County,2020-02-21,5,-2,,9,-4
Canada,Ontario,Oxford County,2020-02-22,13,1,,27,6
Canada,Ontario,Oxford County,2020-02-23,12,4,,29,4
Canada,Ontario,Oxford County,2020-02-24,3,-2,,5,4
Canada,Ontario,Oxford County,2020-02-25,4,5,,6,4
Canada,Ontario,Oxford County,2020-02-26,-6,-5,-24,-7,0
Canada,Ontario,Oxford County,2020-02-27,-12,-3,-30,-1,-6
Canada,Ontario,Oxford County,2020-02-28,-2,2,-6,4,0
Canada,Ontario,Oxford County,2020-02-29,7,2,,18,10
Canada,Ontario,Oxford County,2020-03-01,12,12,,6,5
Canada,Ontario,Oxford County,2020-03-02,5,6,,5,4
Canada,Ontario,Oxford County,2020-03-03,7,4,,6,0
Canada,Ontario,Oxford County,2020-03-04,5,2,-10,4,3
Canada,Ontario,Oxford County,2020-03-05,11,7,,12,3
Canada,Ontario,Oxford County,2020-03-06,0,1,-12,6,-1
Canada,Ontario,Oxford County,2020-03-07,12,6,,22,12
Canada,Ontario,Oxford County,2020-03-08,10,7,,14,4
Canada,Ontario,Oxford County,2020-03-09,10,6,,5,3
Canada,Ontario,Oxford County,2020-03-10,6,6,,8,2
Canada,Ontario,Oxford County,2020-03-11,10,8,6,5,3
Canada,Ontario,Oxford County,2020-03-12,14,31,,3,5
Canada,Ontario,Oxford County,2020-03-13,8,41,-8,-2,5
Canada,Ontario,Oxford County,2020-03-14,3,27,,4,4
Canada,Ontario,Oxford County,2020-03-15,1,16,,-12,0
Canada,Ontario,Oxford County,2020-03-16,1,45,,-5,-15
Canada,Ontario,Oxford County,2020-03-17,-17,23,,-5,-21
Canada,Ontario,Oxford County,2020-03-18,-25,7,-13,-10,-26
Canada,Ontario,Oxford County,2020-03-19,-27,11,,-16,-29
Canada,Ontario,Oxford County,2020-03-20,-34,16,-17,-35,-37
Canada,Ontario,Oxford County,2020-03-21,-37,2,,-34,-25
