country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline
Canada,Ontario,Kawartha Lakes,2020-02-15,19,18,,,7
Canada,Ontario,Kawartha Lakes,2020-02-16,16,16,,,1
Canada,Ontario,Kawartha Lakes,2020-02-17,-21,-20,,,-68
Canada,Ontario,Kawartha Lakes,2020-02-18,-5,8,,,1
Canada,Ontario,Kawartha Lakes,2020-02-19,3,4,,,2
Canada,Ontario,Kawartha Lakes,2020-02-20,5,8,,,3
Canada,Ontario,Kawartha Lakes,2020-02-21,0,-1,,,-4
Canada,Ontario,Kawartha Lakes,2020-02-22,23,17,,,10
Canada,Ontario,Kawartha Lakes,2020-02-23,8,10,,,9
Canada,Ontario,Kawartha Lakes,2020-02-24,-2,7,,,1
Canada,Ontario,Kawartha Lakes,2020-02-25,-1,16,,,2
Canada,Ontario,Kawartha Lakes,2020-02-26,-17,-6,,,-4
Canada,Ontario,Kawartha Lakes,2020-02-27,-37,-27,,,-27
Canada,Ontario,Kawartha Lakes,2020-02-28,-9,5,,,-10
Canada,Ontario,Kawartha Lakes,2020-02-29,27,20,,,16
Canada,Ontario,Kawartha Lakes,2020-03-01,21,16,,,4
Canada,Ontario,Kawartha Lakes,2020-03-02,9,13,,,6
Canada,Ontario,Kawartha Lakes,2020-03-03,0,2,,,6
Canada,Ontario,Kawartha Lakes,2020-03-04,10,5,,,4
Canada,Ontario,Kawartha Lakes,2020-03-05,10,12,,,0
Canada,Ontario,Kawartha Lakes,2020-03-06,-3,-6,,,6
Canada,Ontario,Kawartha Lakes,2020-03-07,37,16,,,15
Canada,Ontario,Kawartha Lakes,2020-03-08,18,19,,,1
Canada,Ontario,Kawartha Lakes,2020-03-09,10,10,,,6
Canada,Ontario,Kawartha Lakes,2020-03-10,1,8,,,5
Canada,Ontario,Kawartha Lakes,2020-03-11,10,5,,,5
Canada,Ontario,Kawartha Lakes,2020-03-12,15,30,,,5
Canada,Ontario,Kawartha Lakes,2020-03-13,7,37,,,0
Canada,Ontario,Kawartha Lakes,2020-03-14,21,40,,,20
