country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline
Canada,Ontario,Algoma District,2020-02-15,0,0,23,8,-2
Canada,Ontario,Algoma District,2020-02-16,5,-1,,-3,-5
Canada,Ontario,Algoma District,2020-02-17,-51,-66,,-28,-66
Canada,Ontario,Algoma District,2020-02-18,-10,3,-16,-4,-4
Canada,Ontario,Algoma District,2020-02-19,3,-1,-6,-1,0
Canada,Ontario,Algoma District,2020-02-20,11,11,-1,8,1
Canada,Ontario,Algoma District,2020-02-21,6,-2,7,0,-10
Canada,Ontario,Algoma District,2020-02-22,5,5,,14,4
Canada,Ontario,Algoma District,2020-02-23,10,-7,,-1,3
Canada,Ontario,Algoma District,2020-02-24,7,-1,,-6,2
Canada,Ontario,Algoma District,2020-02-25,7,2,,-4,4
Canada,Ontario,Algoma District,2020-02-26,4,2,0,-12,3
Canada,Ontario,Algoma District,2020-02-27,-5,-6,-19,-15,2
Canada,Ontario,Algoma District,2020-02-28,-9,-8,-15,-5,-4
Canada,Ontario,Algoma District,2020-02-29,10,10,44,25,8
Canada,Ontario,Algoma District,2020-03-01,13,2,31,-6,6
Canada,Ontario,Algoma District,2020-03-02,14,7,,-13,2
Canada,Ontario,Algoma District,2020-03-03,13,1,,-10,5
Canada,Ontario,Algoma District,2020-03-04,8,-2,4,-12,5
Canada,Ontario,Algoma District,2020-03-05,-1,-3,1,-8,0
Canada,Ontario,Algoma District,2020-03-06,1,-2,9,0,2
Canada,Ontario,Algoma District,2020-03-07,12,2,,13,10
Canada,Ontario,Algoma District,2020-03-08,15,0,,4,0
Canada,Ontario,Algoma District,2020-03-09,10,3,,-12,3
Canada,Ontario,Algoma District,2020-03-10,10,5,,-4,4
Canada,Ontario,Algoma District,2020-03-11,6,2,-11,-12,3
Canada,Ontario,Algoma District,2020-03-12,13,33,-5,-5,2
Canada,Ontario,Algoma District,2020-03-13,-6,24,-29,-13,-4
Canada,Ontario,Algoma District,2020-03-14,3,27,37,9,2
Canada,Ontario,Algoma District,2020-03-15,-3,0,,-6,-6
Canada,Ontario,Algoma District,2020-03-16,5,34,,-23,-28
Canada,Ontario,Algoma District,2020-03-17,-18,15,,-15,-35
Canada,Ontario,Algoma District,2020-03-18,-32,4,,-27,-39
Canada,Ontario,Algoma District,2020-03-19,-27,8,,-24,-42
Canada,Ontario,Algoma District,2020-03-20,-39,-6,2,-27,-43
