Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.31777,0.57029,0.17601,0.11065,0.16303,0.24348,0.19576,0.14771,0.09142,0.02555,0.03247,0.04087,0.02516,0.01804,0.00535,0.0077
5 to 9,0.5775,2.17463,0.94732,0.35261,0.21021,0.12814,0.14086,0.17627,0.1201,0.04252,0.0617,0.03682,0.02786,0.02415,0.01149,0.00793
10 to 14,0.30273,0.81639,3.43256,1.6807,0.32105,0.11817,0.21918,0.13601,0.19275,0.05674,0.07175,0.04057,0.02456,0.01572,0.01695,0.012
15 to 19,0.23592,0.23891,0.56603,5.31753,2.1811,0.48736,0.18432,0.10621,0.13058,0.11413,0.11249,0.05079,0.04116,0.01745,0.03336,0.00699
20 to 24,0.41142,0.20873,0.38621,1.328,3.63861,1.40456,0.50344,0.26099,0.24181,0.16184,0.21194,0.13121,0.08949,0.05256,0.03191,0.01579
25 to 29,0.66835,0.44064,0.34743,0.66072,1.52997,1.90658,0.78732,0.48728,0.30885,0.2137,0.28619,0.23527,0.14649,0.08732,0.0495,0.02243
30 to 34,0.83238,0.57976,0.4322,0.45094,0.97706,1.16831,1.06413,0.65719,0.4594,0.28243,0.22602,0.26274,0.16293,0.11913,0.05495,0.0459
35 to 39,0.73845,0.66581,0.5343,0.55818,0.67097,0.8088,0.78547,0.82778,0.51322,0.32617,0.22666,0.22538,0.2019,0.11038,0.07907,0.03809
40 to 44,0.54741,0.61658,0.67546,0.6258,0.57124,0.59204,0.54113,0.63187,0.6094,0.34258,0.28079,0.24115,0.1906,0.11502,0.10135,0.03978
45 to 49,0.40557,0.30987,0.44885,0.58217,0.69684,0.56069,0.43247,0.42421,0.3882,0.3673,0.32811,0.17778,0.16145,0.09567,0.07991,0.0516
50 to 54,0.50095,0.25357,0.30134,0.26859,0.43248,0.48436,0.44829,0.29553,0.27221,0.29209,0.26341,0.26663,0.14932,0.10805,0.06679,0.03846
55 to 59,0.45705,0.28714,0.20478,0.14576,0.313,0.28381,0.35357,0.25596,0.13993,0.14614,0.22808,0.27206,0.20225,0.12788,0.0729,0.04057
60 to 64,0.34861,0.30641,0.16512,0.12275,0.14468,0.12847,0.18593,0.25254,0.15228,0.11941,0.15924,0.20237,0.20208,0.13932,0.13782,0.0441
65 to 69,0.29448,0.22446,0.16767,0.10971,0.10915,0.09401,0.13325,0.17366,0.10633,0.07777,0.08652,0.11236,0.14656,0.12073,0.12354,0.05848
70 to 74,0.20776,0.11974,0.1339,0.0736,0.13446,0.06626,0.07556,0.11522,0.09111,0.07807,0.06423,0.07014,0.11578,0.07204,0.12826,0.05737
75+,0.10193,0.0922,0.12015,0.05095,0.11047,0.03484,0.07323,0.04755,0.04012,0.06287,0.04516,0.03972,0.05068,0.04484,0.04877,0.0406
