Age_Band_i/Age_band_j,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,0.56723,0.28407,0.15339,0.08017,0.15372,0.45877,0.56631,0.51846,0.29062,0.16904,0.29592,0.57209,0.74485,0.50714,0.26435,0.20421
5 to 9,0.45473,0.78965,0.41371,0.14859,0.0697,0.16537,0.55621,0.7867,0.58725,0.34305,0.254,0.55409,0.66141,0.71225,0.67573,0.25121
10 to 14,0.23148,0.40437,1.37566,0.42867,0.08682,0.04831,0.23835,0.64265,0.77746,0.53085,0.39099,0.33085,0.39259,0.54835,0.50047,0.32786
15 to 19,0.09935,0.14828,0.39901,1.15531,0.37167,0.08112,0.04374,0.26227,0.51031,0.72371,0.4782,0.43121,0.34584,0.27372,0.39907,0.25217
20 to 24,0.16015,0.03997,0.05806,0.18439,1.15044,0.22366,0.06192,0.03287,0.11013,0.35996,0.39435,0.34411,0.22622,0.1936,0.0742,0.07053
25 to 29,0.34229,0.17031,0.03889,0.04538,0.20132,0.98654,0.20717,0.04318,0.0359,0.08797,0.24272,0.38594,0.29816,0.20881,0.17218,0.05644
30 to 34,0.54515,0.42018,0.12368,0.02888,0.0451,0.19815,0.88731,0.17684,0.07707,0.03588,0.11001,0.2986,0.37284,0.33868,0.15905,0.08178
35 to 39,0.47059,0.52113,0.38776,0.20498,0.01957,0.03126,0.22434,0.92928,0.18493,0.09008,0.06032,0.11162,0.27331,0.3709,0.35439,0.15479
40 to 44,0.19983,0.40922,0.53769,0.38666,0.1122,0.01547,0.05771,0.17549,0.82219,0.18403,0.09566,0.05348,0.1407,0.31751,0.28759,0.1572
45 to 49,0.06142,0.12196,0.22352,0.38969,0.32613,0.06558,0.01904,0.04117,0.15694,0.84532,0.19438,0.15426,0.07393,0.1093,0.2241,0.14746
50 to 54,0.05405,0.0532,0.0752,0.18263,0.1964,0.15605,0.04107,0.02977,0.045,0.16722,0.706,0.29408,0.1601,0.12092,0.148,0.18816
55 to 59,0.03181,0.03388,0.02242,0.05016,0.08787,0.08102,0.05005,0.02129,0.00809,0.03392,0.16124,0.87675,0.27008,0.15257,0.08229,0.0773
60 to 64,0.02534,0.0174,0.01069,0.01827,0.01877,0.03996,0.04908,0.03596,0.02531,0.0161,0.03466,0.17162,0.92779,0.19929,0.15005,0.03783
65 to 69,0.01157,0.01191,0.01406,0.01128,0.00459,0.01087,0.01117,0.02454,0.03251,0.01363,0.01201,0.05971,0.17803,0.7828,0.22615,0.06778
70 to 74,0.00619,0.00514,0.00899,0.00604,0.00347,0.00145,0.00687,0.01292,0.0105,0.01031,0.01003,0.0106,0.03311,0.12104,0.48962,0.04971
75+,0.01019,0.00483,0.00443,0.00334,0.00409,0.00543,0.00489,0.00383,0.00728,0.01607,0.02601,0.02327,0.01013,0.02041,0.11356,0.12596
